timestamp,tds_v,tempC,ph_v
19,0.02903,17.500,6.04355
19,0.03710,17.500,6.03387
20,0.02742,17.500,6.03710
21,0.02258,17.500,6.04355
21,0.02903,17.500,6.04355
22,0.03065,17.500,6.04194
22,0.02581,17.500,6.03871
23,0.02581,17.500,6.04032
24,0.03065,17.500,6.03871
24,0.04516,17.500,6.03871
25,0.03226,17.500,6.03710
25,0.02419,17.500,6.03226
26,0.03226,17.500,6.03548
27,0.03226,17.500,6.03387
27,0.02903,17.500,6.04839
28,0.03387,17.500,6.04677
28,0.02742,17.500,6.03710
29,0.02742,17.500,6.04032
30,0.03226,17.500,6.04355
30,0.02742,17.500,6.04355
31,0.02903,17.500,6.04355
31,0.03065,17.500,6.04194
32,0.03871,17.500,6.04516
32,0.03065,17.500,6.04194
33,0.03226,17.500,6.04677
34,0.03065,17.500,6.03710
34,0.03065,17.500,6.04516
35,0.03710,17.500,6.04194
35,0.03226,17.500,6.04355
36,0.02581,17.500,6.04355
37,0.03065,17.500,6.04355
37,0.03548,17.500,6.04194
38,0.02903,17.500,6.04677
38,0.03226,17.500,6.03871
39,0.04355,17.500,6.04677
40,0.03065,17.500,6.04355
40,0.03548,17.500,6.04839
41,0.02258,17.500,6.03871
41,0.00968,17.500,6.03710
42,0.01935,17.500,6.04194
43,0.03871,17.500,6.03710
43,0.03387,17.500,6.04355
44,0.03065,17.500,6.03871
44,0.04032,17.500,6.04839
45,0.02258,17.500,6.04839
46,0.03548,17.500,6.03548
46,0.03065,17.500,6.04194
46,0.03065,17.500,6.03871
46,0.03065,17.500,6.04677
47,0.03387,17.500,6.05323
48,0.03387,17.500,6.04032
48,0.02903,17.500,6.04516
49,0.04677,17.500,6.04677
49,0.03387,17.500,6.04516
50,0.03871,17.500,6.04677
51,0.02903,17.500,6.04839
51,0.03387,17.500,6.04839
52,0.03710,17.500,6.04677
52,0.03226,17.500,6.04032
53,0.02419,17.500,6.04677
54,0.03387,17.500,6.04516
54,0.02742,17.500,6.03871
55,0.03871,17.500,6.05645
55,0.02903,17.500,6.04677
56,0.03387,17.500,6.04355
57,0.04839,17.500,6.04194
57,0.03226,17.500,6.04677
58,0.04032,17.500,6.04194
58,0.03710,17.500,6.04032
59,0.03387,17.500,6.04839
60,0.03548,17.500,6.04355
60,0.03065,17.500,6.05161
61,0.03871,17.500,6.04677
61,0.03387,17.500,6.04516
62,0.03065,17.500,6.04355
62,0.02742,17.500,6.03710
63,0.03387,17.500,6.03710
63,0.02419,17.500,6.04355
64,0.02742,17.500,6.04355
65,0.03226,17.500,6.04194
65,0.03226,17.500,6.04355
66,0.02258,17.500,6.05161
66,0.02742,17.500,6.04677
67,0.02903,17.500,6.04355
