timestamp,tds_v,tempC,ph_v
19,0.01935,17.500,6.03387
20,0.02419,17.500,6.03387
20,0.02903,17.500,6.03387
21,0.02581,17.500,6.03548
21,0.01935,17.500,6.03065
22,0.02419,17.500,6.03387
23,0.02581,17.500,6.03065
23,0.05323,17.500,6.03387
24,0.03548,17.500,6.03710
24,0.02903,17.500,6.03226
25,0.02097,17.500,6.03548
26,0.02097,17.500,6.02742
26,0.02258,17.500,6.02903
27,0.03065,17.500,6.03065
27,0.02097,17.500,6.03226
28,0.02258,17.500,6.03065
29,0.03226,17.500,6.02903
29,0.02097,17.500,6.04032
30,0.02581,17.500,6.04032
30,0.02903,17.500,6.03065
31,0.03226,17.500,6.02742
32,0.02097,17.500,6.03548
32,0.01935,17.500,6.03226
33,0.03387,17.500,6.03871
33,0.05806,17.500,6.03548
34,0.02903,17.500,6.03548
35,0.02581,17.500,6.03548
35,0.02903,17.500,6.03871
36,0.01935,17.500,6.03710
36,0.02581,17.500,6.03387
37,0.02903,17.500,6.03387
38,0.02903,17.500,6.03871
38,0.02742,17.500,6.03387
39,0.00968,17.500,6.02419
39,0.02581,17.500,6.03226
40,0.02903,17.500,6.03226
41,0.02742,17.500,6.03387
41,0.02419,17.500,6.03387
42,0.03226,17.500,6.03387
42,0.02258,17.500,6.04032
43,0.02581,17.500,6.03548
44,0.02903,17.500,6.02903
44,0.02581,17.500,6.03387
45,0.02581,17.500,6.02742
45,0.02742,17.500,6.04516
45,0.02581,17.500,6.03226
45,0.02419,17.500,6.03548
46,0.03710,17.500,6.03226
47,0.02742,17.500,6.03226
47,0.03065,17.500,6.03226
48,0.02581,17.500,6.02903
48,0.02258,17.500,6.03387
49,0.02258,17.500,6.03548
50,0.02419,17.500,6.04194
50,0.01774,17.500,6.03871
51,0.02903,17.500,6.03548
51,0.03065,17.500,6.03548
52,0.02903,17.500,6.03710
53,0.02903,17.500,6.03065
53,0.02581,17.500,6.03871
54,0.02742,17.500,6.03387
54,0.03226,17.500,6.04032
55,0.02419,17.500,6.04032
56,0.02742,17.500,6.04194
56,0.02581,17.500,6.04677
57,0.02258,17.500,6.03710
57,0.02903,17.500,6.03226
58,0.02419,17.500,6.03226
59,0.03065,17.500,6.04032
59,0.03226,17.500,6.02903
60,0.01613,17.500,6.03387
60,0.02903,17.500,6.03065
61,0.02258,17.500,6.04194
62,0.01935,17.500,6.03710
62,0.02419,17.500,6.03710
63,0.02742,17.500,6.03710
63,0.02419,17.500,6.03387
64,0.02903,17.500,6.03387
65,0.02903,17.500,6.03548
65,0.02742,17.500,6.03548
66,0.02742,17.500,6.03871
66,0.02581,17.500,6.02903
67,0.02581,17.500,6.02742
68,0.01129,17.500,6.04032
68,0.02258,17.500,6.04194
69,0.02258,17.500,6.03065
69,0.02903,17.500,6.03548
70,0.03226,17.500,6.03065
71,0.01613,17.500,6.03710
71,0.03226,17.500,6.03387
72,0.02258,17.500,6.03226
72,0.02903,17.500,6.03710
73,0.02581,17.500,6.03387
73,0.03065,17.500,6.03710
74,0.02097,17.500,6.03710
75,0.02581,17.500,6.03548
75,0.03065,17.500,6.03548
76,0.01774,17.500,6.03871
76,0.02419,17.500,6.03871
77,0.03226,17.500,6.03548
78,0.02742,17.500,6.03710
78,0.02581,17.500,6.03387
79,0.03871,17.500,6.03871
79,0.02742,17.500,6.03226
80,0.02903,17.500,6.03387
81,0.03548,17.500,6.03226
81,0.02742,17.500,6.03548
82,0.01935,17.500,6.04516
82,0.02419,17.500,6.03226
83,0.01935,17.500,6.03710
84,0.02742,17.500,6.02903
84,0.02581,17.500,6.02742
85,0.01774,17.500,6.03871
85,0.01452,17.500,6.03387
86,0.03387,17.500,6.03065
87,0.03871,17.500,6.03226
87,0.02903,17.500,6.03871
87,0.02258,17.500,6.03387
87,0.03065,17.500,6.03387
88,0.02903,17.500,6.03387
89,0.02903,17.500,6.03226
89,0.02903,17.500,6.03871
90,0.02903,17.500,6.04032
90,0.02581,17.500,6.03871
91,0.02903,17.500,6.03226
92,0.02742,17.500,6.03226
92,0.02742,17.500,6.04194
93,0.03548,17.500,6.03548
93,0.03065,17.500,6.03710
94,0.02742,17.500,6.03710
