timestamp,tds_v,tempC,ph_v
19,0.03065,17.500,6.04032
20,0.02903,17.500,6.04839
20,0.03065,17.500,6.04032
21,0.02581,17.500,6.04032
21,0.02258,17.500,6.03871
22,0.03871,17.500,6.04516
23,0.03065,17.500,6.03387
23,0.03226,17.500,6.04355
24,0.02419,17.500,6.04194
24,0.03226,17.500,6.05806
25,0.02581,17.500,6.05323
26,0.03065,17.500,6.04194
26,0.02419,17.500,6.04677
27,0.02097,17.500,6.04516
27,0.02097,17.500,6.05323
28,0.03226,17.500,6.04194
29,0.02903,17.500,6.04677
29,0.03387,17.500,6.04516
30,0.02903,17.500,6.04355
30,0.02258,17.500,6.04516
31,0.02903,17.500,6.05645
32,0.03548,17.500,6.05161
32,0.02258,17.500,6.04194
33,0.02581,17.500,6.04032
33,0.02581,17.500,6.05645
34,0.03387,17.500,6.04355
35,0.04516,17.500,6.03871
35,0.03387,17.500,6.04355
36,0.03710,17.500,6.04032
36,0.03871,17.500,6.03710
37,0.03387,17.500,6.05000
38,0.02097,17.500,6.04355
38,0.02742,17.500,6.04355
39,0.03226,17.500,6.04194
39,0.04032,17.500,6.04677
40,0.02742,17.500,6.04032
41,0.02419,17.500,6.04355
41,0.04516,17.500,6.04032
42,0.03548,17.500,6.03871
42,0.02258,17.500,6.04677
43,0.02742,17.500,6.03871
44,0.02903,17.500,6.03871
44,0.02581,17.500,6.04677
44,0.05323,17.500,6.05000
44,0.03065,17.500,6.04516
45,0.02419,17.500,6.03871
45,0.03548,17.500,6.04355
46,0.03065,17.500,6.03871
47,0.04355,17.500,6.05161
47,0.03226,17.500,6.04032
48,0.03226,17.500,6.04194
48,0.03548,17.500,6.04516
49,0.03387,17.500,6.03710
50,0.02581,17.500,6.04355
50,0.02742,17.500,6.03871
51,0.04194,17.500,6.03548
51,0.02097,17.500,6.03871
52,0.02903,17.500,6.04839
53,0.03065,17.500,6.04194
53,0.03387,17.500,6.04516
54,0.03548,17.500,6.04194
54,0.03548,17.500,6.03710
55,0.02742,17.500,6.04677
56,0.03548,17.500,6.04032
56,0.03871,17.500,6.04839
57,0.03226,17.500,6.04355
57,0.03387,17.500,6.04032
58,0.03226,17.500,6.05484
59,0.02903,17.500,6.03871
59,0.03226,17.500,6.04839
60,0.02419,17.500,6.04194
60,0.03226,17.500,6.03871
61,0.02903,17.500,6.04032
62,0.03065,17.500,6.04516
62,0.02903,17.500,6.04516
63,0.05806,17.500,6.03871
63,0.02419,17.500,6.04839
64,0.03548,17.500,6.05161
65,0.03226,17.500,6.04355
65,0.03871,17.500,6.04516
66,0.02742,17.500,6.03871
66,0.04032,17.500,6.04677
67,0.03710,17.500,6.04194
68,0.03226,17.500,6.03871
68,0.03226,17.500,6.04516
69,0.03065,17.500,6.04516
69,0.03387,17.500,6.05161
70,0.03548,17.500,6.04677
70,0.03387,17.500,6.04516
71,0.02419,17.500,6.04355
71,0.04194,17.500,6.03548
72,0.03871,17.500,6.04355
72,0.03065,17.500,6.04677
73,0.03065,17.500,6.04677
