timestamp,tds_v,tempC,ph_v
19,0.01935,17.500,6.03226
20,0.01935,17.500,6.04032
21,0.02742,17.500,6.03710
21,0.02581,17.500,6.03387
22,0.02419,17.500,6.04032
22,0.01935,17.500,6.04194
23,0.02097,17.500,6.03871
23,0.02258,17.500,6.03710
23,0.02581,17.500,6.03710
24,0.02097,17.500,6.03710
24,0.03226,17.500,6.04194
25,0.02742,17.500,6.03548
25,0.02903,17.500,6.04194
26,0.02419,17.500,6.03548
27,0.02419,17.500,6.04355
27,0.02742,17.500,6.04032
28,0.02742,17.500,6.03710
28,0.02581,17.500,6.05161
29,0.05645,17.500,6.04194
30,0.03387,17.500,6.04194
30,0.02581,17.500,6.04194
31,0.03226,17.500,6.04194
31,0.02903,17.500,6.03710
32,0.02581,17.500,6.03065
32,0.02419,17.500,6.03548
33,0.02903,17.500,6.03548
34,0.02742,17.500,6.04032
34,0.02258,17.500,6.04355
35,0.02581,17.500,6.03710
35,0.02903,17.500,6.03710
36,0.03871,17.500,6.03871
37,0.03710,17.500,6.03710
37,0.02742,17.500,6.03387
38,0.02581,17.500,6.03387
38,0.03387,17.500,6.04194
39,0.02742,17.500,6.03710
40,0.03065,17.500,6.04516
40,0.02903,17.500,6.04032
41,0.02903,17.500,6.03871
41,0.02742,17.500,6.03226
42,0.03548,17.500,6.03871
43,0.02419,17.500,6.03710
43,0.02903,17.500,6.04677
44,0.02742,17.500,6.03548
44,0.03065,17.500,6.03710
45,0.02903,17.500,6.04355
46,0.03548,17.500,6.03871
46,0.02097,17.500,6.04032
47,0.02419,17.500,6.03871
47,0.04677,17.500,6.03548
48,0.02742,17.500,6.03871
49,0.03065,17.500,6.03871
49,0.02742,17.500,6.03710
50,0.02419,17.500,6.03710
50,0.02903,17.500,6.03387
51,0.02419,17.500,6.03065
52,0.03226,17.500,6.04839
52,0.02581,17.500,6.04355
53,0.02419,17.500,6.03548
53,0.03871,17.500,6.03387
54,0.02419,17.500,6.04194
55,0.02581,17.500,6.03226
55,0.01452,17.500,6.03871
56,0.02419,17.500,6.04032
56,0.03065,17.500,6.03387
57,0.02742,17.500,6.04032
57,0.03065,17.500,6.03710
58,0.03226,17.500,6.03710
59,0.02419,17.500,6.04032
59,0.02742,17.500,6.03871
60,0.02742,17.500,6.04032
60,0.03387,17.500,6.03871
61,0.02581,17.500,6.04194
62,0.02419,17.500,6.03710
62,0.03871,17.500,6.04355
63,0.02419,17.500,6.03065
63,0.02419,17.500,6.04194
64,0.02742,17.500,6.04516
65,0.02258,17.500,6.03387
65,0.03548,17.500,6.04194
65,0.02742,17.500,6.04355
65,0.02903,17.500,6.04194
66,0.02903,17.500,6.03710
66,0.02903,17.500,6.03226
67,0.03226,17.500,6.03387
68,0.02903,17.500,6.03226
68,0.03226,17.500,6.04355
69,0.02419,17.500,6.04032
69,0.03226,17.500,6.04032
70,0.03226,17.500,6.04194
70,0.02903,17.500,6.03226
71,0.03226,17.500,6.04194
