timestamp,tds_v,tempC,ph_v
19,0.02742,17.500,6.04032
20,0.02742,17.500,6.03548
21,0.02903,17.500,6.03548
21,0.03387,17.500,6.03871
22,0.02581,17.500,6.04032
22,0.02419,17.500,6.04355
23,0.03065,17.500,6.03710
24,0.02258,17.500,6.03387
24,0.02581,17.500,6.04355
25,0.03065,17.500,6.04677
25,0.02419,17.500,6.03710
26,0.03226,17.500,6.04032
27,0.02097,17.500,6.03548
27,0.02742,17.500,6.04032
28,0.03387,17.500,6.04677
28,0.02903,17.500,6.03548
29,0.02742,17.500,6.03387
30,0.02419,17.500,6.03387
30,0.02903,17.500,6.03226
31,0.03226,17.500,6.04194
31,0.03065,17.500,6.04032
32,0.02742,17.500,6.03871
33,0.02581,17.500,6.03226
33,0.02742,17.500,6.03710
34,0.02581,17.500,6.03548
34,0.02258,17.500,6.03710
35,0.03065,17.500,6.03871
35,0.02258,17.500,6.03226
36,0.02903,17.500,6.03710
37,0.02581,17.500,6.04677
37,0.03065,17.500,6.04032
38,0.02581,17.500,6.04516
38,0.03065,17.500,6.04032
39,0.03387,17.500,6.03548
40,0.03065,17.500,6.04516
40,0.03387,17.500,6.03548
41,0.02419,17.500,6.03710
41,0.02903,17.500,6.04032
42,0.02742,17.500,6.03387
42,0.01452,17.500,6.04032
43,0.03226,17.500,6.04194
44,0.03065,17.500,6.03710
44,0.02419,17.500,6.04516
45,0.02742,17.500,6.04032
45,0.03065,17.500,6.04516
46,0.01935,17.500,6.04516
47,0.02742,17.500,6.03710
47,0.02258,17.500,6.04355
48,0.02903,17.500,6.04032
48,0.03065,17.500,6.03710
48,0.02742,17.500,6.04355
49,0.02097,17.500,6.04355
49,0.02419,17.500,6.04194
50,0.02581,17.500,6.03226
50,0.03065,17.500,6.04355
51,0.02581,17.500,6.04194
52,0.02258,17.500,6.04516
52,0.02581,17.500,6.04032
53,0.02581,17.500,6.03548
53,0.02419,17.500,6.03387
54,0.02581,17.500,6.03387
55,0.02419,17.500,6.03871
55,0.03387,17.500,6.03871
56,0.03226,17.500,6.03387
56,0.02097,17.500,6.04032
57,0.02097,17.500,6.04194
58,0.02581,17.500,6.04194
58,0.04516,17.500,6.04355
59,0.02097,17.500,6.04032
59,0.02419,17.500,6.04355
60,0.02903,17.500,6.04032
61,0.03871,17.500,6.03548
61,0.02581,17.500,6.04032
62,0.02742,17.500,6.04194
62,0.03065,17.500,6.04032
63,0.00645,17.500,6.04032
64,0.01774,17.500,6.04032
64,0.03065,17.500,6.04194
65,0.02903,17.500,6.03710
65,0.02742,17.500,6.03387
66,0.03226,17.500,6.04355
66,0.02903,17.500,6.03548
67,0.02419,17.500,6.04677
68,0.02419,17.500,6.03871
68,0.03065,17.500,6.03710
69,0.02581,17.500,6.03871
69,0.06774,17.500,6.03710
70,0.02903,17.500,6.04194
71,0.02903,17.500,6.03548
71,0.02742,17.500,6.03710
72,0.02581,17.500,6.03710
72,0.06613,17.500,6.03871
73,0.03387,17.500,6.04194
74,0.03065,17.500,6.04032
74,0.03226,17.500,6.03710
75,0.03387,17.500,6.04839
75,0.01774,17.500,6.04194
76,0.02419,17.500,6.04516
77,0.02742,17.500,6.03710
77,0.03065,17.500,6.03871
78,0.03387,17.500,6.03871
78,0.02581,17.500,6.04355
79,0.03387,17.500,6.04516
80,0.02097,17.500,6.04032
80,0.02581,17.500,6.04032
81,0.03871,17.500,6.03710
81,0.02742,17.500,6.03065
82,0.02419,17.500,6.03710
83,0.02581,17.500,6.03871
83,0.02742,17.500,6.03710
84,0.02742,17.500,6.03226
84,0.02097,17.500,6.03387
85,0.02742,17.500,6.04355
86,0.02258,17.500,6.03548
86,0.02903,17.500,6.03387
87,0.02097,17.500,6.03871
87,0.03387,17.500,6.04032
88,0.01935,17.500,6.04516
89,0.02903,17.500,6.03710
89,0.02581,17.500,6.03710
89,0.02097,17.500,6.04032
89,0.03226,17.500,6.04194
90,0.02581,17.500,6.03548
90,0.03387,17.500,6.03387
91,0.03871,17.500,6.04032
92,0.07258,17.500,6.04032
92,0.03387,17.500,6.04032
93,0.03548,17.500,6.03871
93,0.02742,17.500,6.04677
94,0.03226,17.500,6.03065
