timestamp,tds_v,tempC,ph_v
20,0.02742,17.500,6.03548
20,0.02581,17.500,6.04355
21,0.03065,17.500,6.03226
22,0.02419,17.500,6.04194
22,0.02581,17.500,6.04194
23,0.02419,17.500,6.03387
23,0.02258,17.500,6.02742
24,0.03065,17.500,6.04516
25,0.02903,17.500,6.03871
25,0.03387,17.500,6.03871
26,0.02581,17.500,6.04194
26,0.02581,17.500,6.03226
27,0.02581,17.500,6.03710
27,0.02097,17.500,6.03226
28,0.02903,17.500,6.03871
29,0.02742,17.500,6.03226
29,0.01613,17.500,6.03871
30,0.02742,17.500,6.03065
30,0.02903,17.500,6.03065
31,0.03387,17.500,6.04355
32,0.02581,17.500,6.03548
32,0.02258,17.500,6.03387
33,0.02419,17.500,6.04032
33,0.02903,17.500,6.04355
34,0.02097,17.500,6.04355
35,0.02419,17.500,6.04677
35,0.03548,17.500,6.03710
36,0.02903,17.500,6.03710
36,0.02419,17.500,6.04516
37,0.03065,17.500,6.04516
37,0.02903,17.500,6.03548
37,0.02581,17.500,6.03065
38,0.03387,17.500,6.03226
38,0.02419,17.500,6.03548
39,0.02258,17.500,6.04516
40,0.03387,17.500,6.04194
40,0.03065,17.500,6.03548
41,0.02903,17.500,6.03065
41,0.03548,17.500,6.03710
42,0.03065,17.500,6.03871
43,0.02097,17.500,6.03871
43,0.03065,17.500,6.04032
44,0.02903,17.500,6.03710
44,0.02419,17.500,6.03226
45,0.02258,17.500,6.05000
46,0.02258,17.500,6.04355
46,0.02581,17.500,6.04032
47,0.02742,17.500,6.03710
47,0.02419,17.500,6.03871
48,0.02419,17.500,6.03871
49,0.02742,17.500,6.03871
49,0.03065,17.500,6.03710
50,0.07742,17.500,6.04032
50,0.03226,17.500,6.04032
51,0.02742,17.500,6.03548
52,0.03226,17.500,6.04194
52,0.01452,17.500,6.03710
53,0.02097,17.500,6.04677
53,0.02581,17.500,6.03871
54,0.04194,17.500,6.04032
55,0.02097,17.500,6.04032
55,0.03226,17.500,6.04194
56,0.02419,17.500,6.04677
56,0.03226,17.500,6.03871
57,0.03226,17.500,6.03226
58,0.01935,17.500,6.04032
58,0.02903,17.500,6.04032
59,0.02742,17.500,6.03710
59,0.03548,17.500,6.04032
60,0.02903,17.500,6.03387
61,0.05806,17.500,6.03710
61,0.02903,17.500,6.03548
62,0.02581,17.500,6.04194
62,0.02581,17.500,6.03710
63,0.01935,17.500,6.03710
64,0.02419,17.500,6.04194
64,0.02097,17.500,6.03065
65,0.02581,17.500,6.04032
65,0.02419,17.500,6.03871
66,0.03387,17.500,6.03387
67,0.02419,17.500,6.03387
67,0.03226,17.500,6.03548
68,0.02419,17.500,6.04516
68,0.02581,17.500,6.03065
69,0.02742,17.500,6.03548
69,0.02903,17.500,6.03871
70,0.02903,17.500,6.03710
71,0.03387,17.500,6.03710
71,0.02581,17.500,6.03710
72,0.02742,17.500,6.04194
72,0.02581,17.500,6.04194
73,0.02903,17.500,6.03871
74,0.03226,17.500,6.03548
74,0.03226,17.500,6.03548
75,0.03065,17.500,6.04677
75,0.02581,17.500,6.04032
76,0.02742,17.500,6.04194
77,0.03226,17.500,6.04194
77,0.04677,17.500,6.04194
78,0.02258,17.500,6.03871
78,0.01774,17.500,6.03871
79,0.02903,17.500,6.03710
79,0.01935,17.500,6.04032
79,0.04194,17.500,6.03548
80,0.02581,17.500,6.03065
80,0.02581,17.500,6.03871
81,0.02581,17.500,6.04032
81,0.01452,17.500,6.03548
82,0.02742,17.500,6.03548
83,0.02903,17.500,6.03710
83,0.02742,17.500,6.03871
84,0.03065,17.500,6.04032
84,0.02742,17.500,6.03710
85,0.03548,17.500,6.04516
86,0.03548,17.500,6.04032
86,0.03065,17.500,6.03387
87,0.03710,17.500,6.03387
87,0.02903,17.500,6.04516
88,0.03226,17.500,6.03871
89,0.02903,17.500,6.03710
89,0.03226,17.500,6.04032
90,0.02903,17.500,6.03387
90,0.04839,17.500,6.05161
91,0.02419,17.500,6.04355
92,0.02903,17.500,6.04032
92,0.02581,17.500,6.04032
93,0.02097,17.500,6.03226
93,0.04516,17.500,6.04355
94,0.03065,17.500,6.03710
