timestamp,tds_v,tempC,ph_v
19,0.02742,17.500,6.04032
20,0.03065,17.500,6.04355
20,0.01935,17.500,6.04194
21,0.02581,17.500,6.03387
22,0.02419,17.500,6.05000
22,0.03226,17.500,6.04839
23,0.03548,17.500,6.03710
23,0.02903,17.500,6.04516
24,0.02581,17.500,6.04355
25,0.03871,17.500,6.05161
25,0.04194,17.500,6.04516
26,0.02903,17.500,6.04677
26,0.02742,17.500,6.04032
27,0.02581,17.500,6.04839
27,0.02581,17.500,6.04677
28,0.02742,17.500,6.03871
29,0.03065,17.500,6.04516
29,0.02903,17.500,6.03871
30,0.02419,17.500,6.05161
30,0.02903,17.500,6.04516
31,0.02742,17.500,6.04677
32,0.03387,17.500,6.05000
32,0.02581,17.500,6.04516
32,0.03548,17.500,6.04032
32,0.01613,17.500,6.05161
33,0.02742,17.500,6.04355
34,0.03548,17.500,6.04194
34,0.02581,17.500,6.03871
35,0.03387,17.500,6.03871
35,0.02258,17.500,6.04839
36,0.02903,17.500,6.04677
37,0.03710,17.500,6.04355
37,0.04677,17.500,6.04032
38,0.04032,17.500,6.04355
38,0.03871,17.500,6.04032
39,0.04032,17.500,6.04516
40,0.02581,17.500,6.04516
40,0.02742,17.500,6.04194
41,0.03226,17.500,6.04677
41,0.03387,17.500,6.04194
42,0.03065,17.500,6.04032
43,0.02419,17.500,6.03871
43,0.03710,17.500,6.04839
44,0.02742,17.500,6.04032
44,0.03065,17.500,6.04355
45,0.02903,17.500,6.04839
46,0.03548,17.500,6.04355
46,0.03710,17.500,6.05323
47,0.03065,17.500,6.04194
47,0.05484,17.500,6.03548
48,0.03710,17.500,6.04194
49,0.02742,17.500,6.04032
49,0.02903,17.500,6.04839
50,0.02419,17.500,6.04677
50,0.03226,17.500,6.04194
51,0.04194,17.500,6.04677
52,0.02581,17.500,6.04677
52,0.03387,17.500,6.04677
53,0.02903,17.500,6.04194
53,0.02742,17.500,6.04194
54,0.01935,17.500,6.05000
54,0.03710,17.500,6.04516
55,0.02903,17.500,6.04516
56,0.02419,17.500,6.04516
56,0.03226,17.500,6.04194
57,0.02903,17.500,6.03548
57,0.03387,17.500,6.04194
58,0.03710,17.500,6.04516
59,0.02419,17.500,6.04032
59,0.02581,17.500,6.04516
60,0.02903,17.500,6.04516
60,0.03710,17.500,6.04516
61,0.02742,17.500,6.04839
62,0.02903,17.500,6.04839
62,0.02419,17.500,6.05161
63,0.02581,17.500,6.04516
63,0.02742,17.500,6.04194
64,0.03065,17.500,6.05323
65,0.03226,17.500,6.04677
65,0.02419,17.500,6.04194
66,0.03226,17.500,6.04839
66,0.02581,17.500,6.04194
67,0.02742,17.500,6.05161
68,0.03226,17.500,6.04677
68,0.03065,17.500,6.03871
69,0.02903,17.500,6.04516
69,0.03387,17.500,6.04032
70,0.04355,17.500,6.05000
71,0.03548,17.500,6.04032
71,0.03065,17.500,6.04032
72,0.03226,17.500,6.04194
72,0.02903,17.500,6.04355
73,0.04355,17.500,6.04677
74,0.03226,17.500,6.04355
74,0.02903,17.500,6.04355
74,0.02742,17.500,6.04355
74,0.03387,17.500,6.04194
75,0.03387,17.500,6.04839
76,0.02742,17.500,6.03871
76,0.03065,17.500,6.03710
77,0.06613,17.500,6.04839
77,0.03387,17.500,6.04677
78,0.02581,17.500,6.05323
79,0.03548,17.500,6.04032
79,0.03387,17.500,6.04839
80,0.02742,17.500,6.05000
80,0.03871,17.500,6.04032
81,0.03226,17.500,6.05000
82,0.03065,17.500,6.04355
82,0.04032,17.500,6.04355
83,0.02581,17.500,6.05161
83,0.02903,17.500,6.03548
84,0.01935,17.500,6.05161
85,0.03387,17.500,6.03548
85,0.03226,17.500,6.03871
86,0.03065,17.500,6.04677
86,0.03226,17.500,6.04677
87,0.02742,17.500,6.04677
88,0.05968,17.500,6.04839
88,0.02903,17.500,6.04677
89,0.03065,17.500,6.04194
89,0.05968,17.500,6.05161
90,0.03065,17.500,6.05968
91,0.03710,17.500,6.05000
91,0.03710,17.500,6.03871
92,0.03387,17.500,6.04839
92,0.03387,17.500,6.03548
93,0.03548,17.500,6.04194
93,0.03548,17.500,6.03710
94,0.02742,17.500,6.03710
