timestamp,tds_v,tempC,ph_v
20,0.02581,17.500,6.04032
20,0.03387,17.500,6.04032
21,0.02581,17.500,6.03871
22,0.02581,17.500,6.03548
22,0.02742,17.500,6.03226
23,0.02419,17.500,6.04194
23,0.02258,17.500,6.03710
24,0.02903,17.500,6.03387
25,0.02419,17.500,6.03871
25,0.01613,17.500,6.03710
26,0.03226,17.500,6.04032
26,0.04516,17.500,6.03710
27,0.02097,17.500,6.03548
28,0.02581,17.500,6.03710
28,0.02903,17.500,6.03871
28,0.02419,17.500,6.03871
28,0.02742,17.500,6.03548
29,0.02097,17.500,6.03710
30,0.02419,17.500,6.03710
30,0.02903,17.500,6.04194
31,0.02742,17.500,6.03871
31,0.02097,17.500,6.03548
32,0.02581,17.500,6.03710
33,0.03710,17.500,6.03387
33,0.03387,17.500,6.03871
34,0.02742,17.500,6.03226
34,0.03548,17.500,6.02742
35,0.02903,17.500,6.04194
36,0.03548,17.500,6.03548
36,0.02258,17.500,6.03871
37,0.03226,17.500,6.03871
37,0.03871,17.500,6.03548
38,0.02581,17.500,6.03710
38,0.03710,17.500,6.03548
39,0.02903,17.500,6.03548
40,0.02903,17.500,6.04032
40,0.03226,17.500,6.03387
41,0.02419,17.500,6.03548
41,0.02742,17.500,6.03548
42,0.03065,17.500,6.04677
43,0.03065,17.500,6.03871
43,0.02742,17.500,6.03710
44,0.02903,17.500,6.03387
44,0.02419,17.500,6.03871
45,0.02097,17.500,6.04032
46,0.02742,17.500,6.03710
46,0.02581,17.500,6.04032
47,0.02742,17.500,6.03871
47,0.02742,17.500,6.04032
48,0.05968,17.500,6.04355
49,0.02419,17.500,6.04516
49,0.02581,17.500,6.03871
50,0.03548,17.500,6.04032
50,0.05806,17.500,6.03871
51,0.01935,17.500,6.04355
52,0.02581,17.500,6.03387
52,0.02742,17.500,6.03871
53,0.03548,17.500,6.03871
53,0.03387,17.500,6.03548
54,0.02903,17.500,6.03871
55,0.02258,17.500,6.04355
55,0.02419,17.500,6.04032
56,0.06935,17.500,6.03387
56,0.03065,17.500,6.03710
57,0.03065,17.500,6.03548
58,0.03548,17.500,6.02903
58,0.02742,17.500,6.03710
59,0.03710,17.500,6.03710
59,0.02097,17.500,6.03548
60,0.03387,17.500,6.04032
61,0.02742,17.500,6.02903
61,0.02258,17.500,6.03710
62,0.02581,17.500,6.03387
62,0.04677,17.500,6.03871
63,0.02258,17.500,6.04677
64,0.04032,17.500,6.04355
64,0.03065,17.500,6.03710
65,0.02903,17.500,6.03710
65,0.05968,17.500,6.04194
66,0.02903,17.500,6.04194
66,0.02581,17.500,6.03710
67,0.02581,17.500,6.03710
68,0.03065,17.500,6.03226
68,0.03065,17.500,6.03065
69,0.02258,17.500,6.02742
69,0.02258,17.500,6.03226
69,0.02742,17.500,6.03387
70,0.02903,17.500,6.03548
70,0.01613,17.500,6.02903
71,0.02903,17.500,6.03226
71,0.02581,17.500,6.04032
72,0.02903,17.500,6.03548
73,0.03548,17.500,6.05000
73,0.03548,17.500,6.03871
74,0.02903,17.500,6.03065
74,0.03387,17.500,6.03548
75,0.02581,17.500,6.04032
76,0.03226,17.500,6.03710
76,0.03548,17.500,6.03548
77,0.02419,17.500,6.03065
77,0.02903,17.500,6.03065
78,0.03065,17.500,6.03548
78,0.03065,17.500,6.04194
79,0.02903,17.500,6.03548
80,0.02097,17.500,6.03387
80,0.02903,17.500,6.03387
81,0.02419,17.500,6.03548
81,0.02419,17.500,6.03871
82,0.02581,17.500,6.03871
83,0.02258,17.500,6.02742
83,0.02903,17.500,6.03710
84,0.03065,17.500,6.03710
84,0.02097,17.500,6.03710
85,0.06774,17.500,6.03710
86,0.02581,17.500,6.03871
86,0.02581,17.500,6.03387
87,0.02742,17.500,6.02903
87,0.01774,17.500,6.04194
88,0.03387,17.500,6.03226
89,0.02581,17.500,6.03710
89,0.02903,17.500,6.02742
90,0.02419,17.500,6.03871
90,0.03065,17.500,6.03871
91,0.03065,17.500,6.03871
92,0.05161,17.500,6.03710
92,0.02903,17.500,6.03871
93,0.03387,17.500,6.03226
93,0.02097,17.500,6.03387
94,0.02419,17.500,6.03710
