timestamp,tds_v,tempC,ph_v
19,0.02097,17.500,6.03710
20,0.02258,17.500,6.04677
21,0.02742,17.500,6.03226
21,0.03065,17.500,6.03871
22,0.02903,17.500,6.04516
22,0.02742,17.500,6.03871
23,0.02419,17.500,6.03871
23,0.02419,17.500,6.03548
24,0.02742,17.500,6.03548
25,0.02258,17.500,6.03710
25,0.01935,17.500,6.04032
26,0.03065,17.500,6.04194
27,0.02097,17.500,6.03871
27,0.02903,17.500,6.04032
28,0.02419,17.500,6.04194
28,0.01613,17.500,6.03871
29,0.03387,17.500,6.03710
29,0.02903,17.500,6.03710
30,0.02742,17.500,6.04032
31,0.02742,17.500,6.03387
31,0.02258,17.500,6.03548
32,0.03065,17.500,6.04677
32,0.02581,17.500,6.04677
33,0.02419,17.500,6.03871
34,0.02419,17.500,6.03065
34,0.02903,17.500,6.03548
35,0.03548,17.500,6.03548
35,0.02742,17.500,6.03871
35,0.02903,17.500,6.03871
36,0.02258,17.500,6.03387
36,0.03387,17.500,6.03871
37,0.02581,17.500,6.03226
37,0.02419,17.500,6.04032
38,0.02419,17.500,6.03548
39,0.04032,17.500,6.03710
39,0.02419,17.500,6.04032
40,0.03226,17.500,6.03710
40,0.02742,17.500,6.03871
41,0.02903,17.500,6.03387
42,0.03548,17.500,6.03871
42,0.03226,17.500,6.04032
43,0.02903,17.500,6.03387
43,0.01774,17.500,6.03548
44,0.02903,17.500,6.04032
45,0.02581,17.500,6.03548
45,0.03226,17.500,6.04032
46,0.03065,17.500,6.04032
46,0.02419,17.500,6.04194
47,0.02742,17.500,6.03226
48,0.02419,17.500,6.03387
48,0.03065,17.500,6.04355
49,0.03065,17.500,6.04194
49,0.03226,17.500,6.04355
50,0.03065,17.500,6.03226
50,0.02419,17.500,6.03387
51,0.02742,17.500,6.03226
52,0.03710,17.500,6.03871
52,0.03387,17.500,6.04032
53,0.02742,17.500,6.03226
53,0.03387,17.500,6.03387
54,0.02742,17.500,6.04032
55,0.03387,17.500,6.04194
55,0.03226,17.500,6.03871
56,0.02903,17.500,6.03548
57,0.01452,17.500,6.03548
57,0.02581,17.500,6.03226
58,0.02258,17.500,6.03548
58,0.02742,17.500,6.02581
59,0.02581,17.500,6.03548
60,0.02742,17.500,6.03710
60,0.02581,17.500,6.04355
61,0.03065,17.500,6.02742
61,0.02097,17.500,6.03871
62,0.02581,17.500,6.03548
62,0.02742,17.500,6.04032
63,0.02419,17.500,6.04355
64,0.02742,17.500,6.04032
64,0.03387,17.500,6.03226
65,0.02903,17.500,6.03226
65,0.03226,17.500,6.03710
66,0.04355,17.500,6.04355
67,0.03065,17.500,6.03548
67,0.02903,17.500,6.03710
68,0.02903,17.500,6.03387
68,0.02742,17.500,6.03387
69,0.03065,17.500,6.03387
70,0.02419,17.500,6.03548
70,0.02903,17.500,6.03226
71,0.02419,17.500,6.03548
71,0.03065,17.500,6.03710
72,0.03226,17.500,6.03226
73,0.02581,17.500,6.03387
73,0.02742,17.500,6.03065
74,0.03226,17.500,6.03710
74,0.02258,17.500,6.03548
75,0.02581,17.500,6.04677
76,0.02581,17.500,6.03548
76,0.02742,17.500,6.04032
77,0.03065,17.500,6.04194
77,0.02581,17.500,6.03548
77,0.02419,17.500,6.03710
78,0.02097,17.500,6.04032
78,0.03065,17.500,6.03548
79,0.02903,17.500,6.03226
79,0.02903,17.500,6.03548
80,0.02742,17.500,6.03871
81,0.02581,17.500,6.03548
81,0.02903,17.500,6.03387
82,0.02581,17.500,6.02903
82,0.01935,17.500,6.04194
83,0.03710,17.500,6.04032
84,0.04032,17.500,6.02903
84,0.02581,17.500,6.03226
85,0.02742,17.500,6.02742
85,0.02903,17.500,6.03387
86,0.02419,17.500,6.03871
87,0.02581,17.500,6.04516
87,0.02581,17.500,6.03871
88,0.02742,17.500,6.04516
88,0.02903,17.500,6.03548
89,0.02097,17.500,6.02903
89,0.03226,17.500,6.03548
90,0.02581,17.500,6.03548
91,0.02258,17.500,6.03548
91,0.02742,17.500,6.03065
92,0.01935,17.500,6.03548
92,0.02903,17.500,6.03387
93,0.03065,17.500,6.03710
94,0.03387,17.500,6.04032
