timestamp,tds_v,tempC,ph_v
20,0.03065,17.500,6.04516
20,0.02903,17.500,6.04355
20,0.03387,17.500,6.04677
21,0.02903,17.500,6.03387
22,0.03226,17.500,6.05484
22,0.02742,17.500,6.03548
23,0.03226,17.500,6.04677
23,0.02097,17.500,6.05323
24,0.02903,17.500,6.04677
24,0.02742,17.500,6.05645
25,0.02581,17.500,6.03871
26,0.03226,17.500,6.05161
26,0.03548,17.500,6.04677
27,0.03065,17.500,6.05323
27,0.04194,17.500,6.05161
28,0.03548,17.500,6.04355
29,0.02742,17.500,6.04677
29,0.03226,17.500,6.04355
30,0.03710,17.500,6.04839
30,0.03387,17.500,6.04194
31,0.02581,17.500,6.04194
32,0.03387,17.500,6.03871
32,0.02742,17.500,6.04355
33,0.03065,17.500,6.04194
33,0.03226,17.500,6.04032
34,0.03226,17.500,6.04194
35,0.02903,17.500,6.04032
35,0.02742,17.500,6.05323
36,0.03387,17.500,6.03871
36,0.03226,17.500,6.04516
37,0.03548,17.500,6.04355
38,0.03548,17.500,6.04516
38,0.03871,17.500,6.05000
39,0.03065,17.500,6.04355
39,0.02742,17.500,6.04677
40,0.04032,17.500,6.04355
41,0.03065,17.500,6.04839
41,0.02419,17.500,6.04355
42,0.02742,17.500,6.04032
42,0.03387,17.500,6.04839
43,0.02742,17.500,6.03548
44,0.03065,17.500,6.05000
44,0.03226,17.500,6.04516
45,0.03548,17.500,6.04194
45,0.02903,17.500,6.04839
46,0.03387,17.500,6.03710
47,0.03226,17.500,6.04677
47,0.02097,17.500,6.05000
48,0.02903,17.500,6.04194
48,0.04516,17.500,6.04355
49,0.03548,17.500,6.04194
49,0.03387,17.500,6.04677
50,0.03226,17.500,6.04677
51,0.03226,17.500,6.04194
51,0.02742,17.500,6.04355
52,0.02903,17.500,6.04194
52,0.02903,17.500,6.04355
53,0.02742,17.500,6.04194
54,0.03387,17.500,6.04355
54,0.03226,17.500,6.04355
55,0.03226,17.500,6.04032
55,0.03065,17.500,6.03548
56,0.02742,17.500,6.04839
57,0.03387,17.500,6.04032
57,0.03387,17.500,6.04032
58,0.05323,17.500,6.04839
58,0.03065,17.500,6.05161
59,0.03548,17.500,6.05161
60,0.03065,17.500,6.04032
60,0.03226,17.500,6.03065
61,0.03871,17.500,6.04032
61,0.02903,17.500,6.04677
62,0.04032,17.500,6.04677
62,0.03065,17.500,6.03710
62,0.02903,17.500,6.04355
63,0.03226,17.500,6.04516
63,0.02581,17.500,6.04516
64,0.02258,17.500,6.05161
65,0.02742,17.500,6.05000
65,0.03226,17.500,6.04032
66,0.03065,17.500,6.05000
66,0.03065,17.500,6.04839
67,0.02258,17.500,6.05484
68,0.03065,17.500,6.04677
68,0.03387,17.500,6.04355
69,0.01935,17.500,6.04839
69,0.04194,17.500,6.04839
70,0.03871,17.500,6.05323
71,0.02742,17.500,6.04516
71,0.03065,17.500,6.04194
72,0.03871,17.500,6.04355
72,0.03226,17.500,6.04032
73,0.03548,17.500,6.05000
74,0.03387,17.500,6.03871
74,0.03226,17.500,6.04355
75,0.02581,17.500,6.04032
75,0.02742,17.500,6.04194
76,0.04032,17.500,6.04032
77,0.03710,17.500,6.04355
77,0.02419,17.500,6.04194
78,0.02742,17.500,6.04516
78,0.03387,17.500,6.05000
79,0.03387,17.500,6.04032
80,0.03065,17.500,6.04516
80,0.02742,17.500,6.04516
81,0.03226,17.500,6.04677
81,0.06935,17.500,6.04677
82,0.02742,17.500,6.05161
83,0.04032,17.500,6.04677
83,0.02742,17.500,6.04355
84,0.02903,17.500,6.04839
84,0.03226,17.500,6.04032
85,0.03065,17.500,6.04516
86,0.04032,17.500,6.04194
86,0.03226,17.500,6.03871
87,0.05000,17.500,6.04194
87,0.03226,17.500,6.04677
88,0.03871,17.500,6.04516
88,0.02742,17.500,6.05000
89,0.02903,17.500,6.04516
90,0.03387,17.500,6.04839
90,0.02742,17.500,6.04032
91,0.03226,17.500,6.05806
91,0.03226,17.500,6.04516
92,0.03065,17.500,6.04677
93,0.02903,17.500,6.05000
93,0.02742,17.500,6.04194
94,0.03387,17.500,6.03548
