timestamp,tds_v,tempC,ph_v
20,0.02419,17.500,6.05161
20,0.03065,17.500,6.04032
21,0.03226,17.500,6.03871
21,0.03065,17.500,6.04516
22,0.03065,17.500,6.04194
23,0.03065,17.500,6.04355
23,0.04032,17.500,6.04677
24,0.05161,17.500,6.04839
24,0.01935,17.500,6.04839
25,0.02742,17.500,6.04516
26,0.03387,17.500,6.04516
26,0.03065,17.500,6.04839
27,0.03548,17.500,6.05000
27,0.03226,17.500,6.03710
28,0.02742,17.500,6.05161
29,0.03226,17.500,6.04032
29,0.03065,17.500,6.04194
30,0.02903,17.500,6.04839
30,0.04194,17.500,6.04516
30,0.02097,17.500,6.04677
31,0.01613,17.500,6.04516
31,0.03226,17.500,6.04355
32,0.03548,17.500,6.04839
32,0.02581,17.500,6.04032
33,0.04032,17.500,6.05000
34,0.03387,17.500,6.04677
34,0.02581,17.500,6.04355
35,0.03226,17.500,6.04516
35,0.03548,17.500,6.05000
36,0.03387,17.500,6.05323
37,0.02903,17.500,6.03548
37,0.02903,17.500,6.04194
38,0.04677,17.500,6.04516
38,0.03226,17.500,6.04839
39,0.03710,17.500,6.04516
40,0.03065,17.500,6.03871
40,0.03226,17.500,6.04516
41,0.01935,17.500,6.05161
41,0.03710,17.500,6.04194
42,0.03548,17.500,6.04516
43,0.02097,17.500,6.04355
43,0.02903,17.500,6.04194
44,0.02903,17.500,6.04516
44,0.03226,17.500,6.04677
45,0.03226,17.500,6.05484
46,0.03387,17.500,6.05000
46,0.03387,17.500,6.04677
47,0.03226,17.500,6.04516
47,0.02903,17.500,6.04032
48,0.02903,17.500,6.05000
49,0.02581,17.500,6.04677
49,0.04677,17.500,6.04839
50,0.03387,17.500,6.04194
50,0.03387,17.500,6.04032
51,0.03548,17.500,6.04516
52,0.02581,17.500,6.04032
52,0.03065,17.500,6.04516
53,0.03065,17.500,6.04355
53,0.03226,17.500,6.05000
54,0.02258,17.500,6.05161
55,0.03226,17.500,6.04516
55,0.03065,17.500,6.04677
56,0.03387,17.500,6.04194
56,0.03065,17.500,6.04516
57,0.02903,17.500,6.05000
57,0.03065,17.500,6.04516
58,0.03710,17.500,6.04194
59,0.02903,17.500,6.04032
59,0.03065,17.500,6.04355
60,0.03065,17.500,6.05000
60,0.02742,17.500,6.04516
61,0.06935,17.500,6.04355
62,0.01935,17.500,6.05484
62,0.03226,17.500,6.04516
63,0.03065,17.500,6.05000
63,0.02903,17.500,6.05161
64,0.03065,17.500,6.05000
65,0.03871,17.500,6.03871
65,0.03387,17.500,6.04355
66,0.02742,17.500,6.05323
66,0.03387,17.500,6.04677
67,0.03065,17.500,6.03871
68,0.03387,17.500,6.04516
68,0.03387,17.500,6.04194
69,0.03548,17.500,6.04839
69,0.03065,17.500,6.04032
70,0.03226,17.500,6.04194
71,0.03065,17.500,6.05968
71,0.03387,17.500,6.04032
72,0.03871,17.500,6.04355
72,0.02742,17.500,6.03710
72,0.02742,17.500,6.04516
73,0.03871,17.500,6.03387
73,0.03710,17.500,6.03710
74,0.02903,17.500,6.04032
74,0.03387,17.500,6.04839
75,0.03387,17.500,6.03871
76,0.03871,17.500,6.04032
76,0.03065,17.500,6.03871
77,0.03548,17.500,6.03710
77,0.03387,17.500,6.03710
78,0.03065,17.500,6.04516
79,0.03226,17.500,6.03710
79,0.02419,17.500,6.03710
80,0.04516,17.500,6.04516
80,0.03065,17.500,6.03710
81,0.02903,17.500,6.03387
82,0.02903,17.500,6.03871
82,0.01935,17.500,6.04677
83,0.03710,17.500,6.04677
83,0.03226,17.500,6.04355
84,0.02742,17.500,6.03710
84,0.03226,17.500,6.04516
85,0.03226,17.500,6.04194
86,0.02097,17.500,6.04355
86,0.03226,17.500,6.03871
87,0.02903,17.500,6.04194
87,0.03226,17.500,6.04194
88,0.04032,17.500,6.04355
89,0.02581,17.500,6.04355
89,0.03710,17.500,6.03871
90,0.03226,17.500,6.04355
90,0.03387,17.500,6.05161
91,0.02742,17.500,6.04355
91,0.02419,17.500,6.03871
92,0.03226,17.500,6.04194
93,0.03548,17.500,6.04516
93,0.03710,17.500,6.04839
94,0.03226,17.500,6.03871
