timestamp,tds_v,tempC,ph_v
20,0.01774,17.500,6.04355
21,0.02742,17.500,6.05000
21,0.02419,17.500,6.04355
22,0.03387,17.500,6.04194
22,0.03548,17.500,6.05161
23,0.02903,17.500,6.04355
24,0.03065,17.500,6.04355
24,0.03548,17.500,6.04032
25,0.06613,17.500,6.04677
25,0.03548,17.500,6.04516
26,0.03710,17.500,6.04194
27,0.02742,17.500,6.03871
27,0.02903,17.500,6.04194
28,0.03226,17.500,6.03548
28,0.02258,17.500,6.04677
28,0.02903,17.500,6.04516
29,0.02903,17.500,6.04032
29,0.02581,17.500,6.03710
30,0.03226,17.500,6.03710
30,0.04355,17.500,6.05161
31,0.02419,17.500,6.04677
32,0.02903,17.500,6.03871
32,0.03226,17.500,6.04355
33,0.03226,17.500,6.04032
33,0.03548,17.500,6.05323
34,0.03065,17.500,6.04355
35,0.02903,17.500,6.04194
35,0.02903,17.500,6.03871
36,0.03387,17.500,6.04355
36,0.03710,17.500,6.05161
37,0.02097,17.500,6.03710
38,0.02419,17.500,6.04516
38,0.03065,17.500,6.04194
39,0.03387,17.500,6.04194
39,0.03387,17.500,6.04516
40,0.02258,17.500,6.04355
41,0.02903,17.500,6.04516
41,0.03226,17.500,6.04032
42,0.03226,17.500,6.05000
42,0.02581,17.500,6.05161
43,0.03065,17.500,6.04516
43,0.03065,17.500,6.03871
44,0.03065,17.500,6.04355
45,0.03065,17.500,6.04516
45,0.07419,17.500,6.04355
46,0.03387,17.500,6.04194
46,0.02903,17.500,6.03871
47,0.03548,17.500,6.03710
48,0.03226,17.500,6.04516
48,0.02258,17.500,6.04839
49,0.03387,17.500,6.03710
49,0.03387,17.500,6.04032
50,0.03065,17.500,6.04194
51,0.03387,17.500,6.04194
51,0.04355,17.500,6.04032
52,0.02742,17.500,6.04032
52,0.02742,17.500,6.03710
53,0.02742,17.500,6.04677
54,0.03226,17.500,6.04032
54,0.03710,17.500,6.04677
55,0.02742,17.500,6.04032
55,0.03387,17.500,6.05161
56,0.03871,17.500,6.03871
57,0.02742,17.500,6.04516
57,0.03710,17.500,6.04677
58,0.02419,17.500,6.04355
58,0.03226,17.500,6.04677
59,0.03710,17.500,6.04194
60,0.04194,17.500,6.04032
60,0.03226,17.500,6.04839
61,0.03226,17.500,6.04032
61,0.03710,17.500,6.04194
62,0.02581,17.500,6.03871
63,0.03710,17.500,6.04194
63,0.02419,17.500,6.04355
64,0.03387,17.500,6.03871
64,0.02742,17.500,6.04194
65,0.03710,17.500,6.03710
65,0.03387,17.500,6.03871
66,0.03387,17.500,6.04355
67,0.02742,17.500,6.03387
67,0.03226,17.500,6.03871
68,0.03065,17.500,6.04194
68,0.02903,17.500,6.03871
69,0.03065,17.500,6.03871
69,0.03065,17.500,6.04032
69,0.03065,17.500,6.03710
70,0.03387,17.500,6.04032
70,0.03871,17.500,6.03548
71,0.03387,17.500,6.04677
72,0.03226,17.500,6.04677
72,0.03226,17.500,6.04516
73,0.02742,17.500,6.04516
73,0.02903,17.500,6.03871
74,0.03871,17.500,6.04839
75,0.03065,17.500,6.04194
75,0.03065,17.500,6.04355
76,0.03548,17.500,6.04032
76,0.03226,17.500,6.04194
77,0.02742,17.500,6.03871
78,0.03387,17.500,6.03871
78,0.03065,17.500,6.04355
79,0.02903,17.500,6.04355
79,0.03226,17.500,6.04194
80,0.03548,17.500,6.04516
81,0.03548,17.500,6.03871
81,0.03710,17.500,6.03871
82,0.02419,17.500,6.04032
82,0.03710,17.500,6.04032
83,0.03871,17.500,6.05161
84,0.03710,17.500,6.04355
84,0.03548,17.500,6.04355
85,0.03065,17.500,6.04516
85,0.01613,17.500,6.04516
86,0.03710,17.500,6.04516
87,0.04194,17.500,6.04194
87,0.03548,17.500,6.03871
88,0.02581,17.500,6.04194
88,0.03871,17.500,6.03710
89,0.03065,17.500,6.04839
90,0.03065,17.500,6.04839
90,0.03226,17.500,6.04355
91,0.03387,17.500,6.03387
91,0.02581,17.500,6.04032
92,0.03226,17.500,6.05323
93,0.03871,17.500,6.04677
93,0.03226,17.500,6.04194
94,0.02903,17.500,6.04194
