timestamp,tds_v,tempC,ph_v
20,0.02581,17.500,6.03226
21,0.02903,17.500,6.03387
21,0.02742,17.500,6.03710
22,0.03065,17.500,6.03387
22,0.02581,17.500,6.03548
23,0.02742,17.500,6.03710
24,0.02742,17.500,6.04032
24,0.02581,17.500,6.03226
25,0.03226,17.500,6.03871
25,0.03387,17.500,6.03226
26,0.02258,17.500,6.03226
27,0.02419,17.500,6.03871
27,0.02903,17.500,6.03871
28,0.08226,17.500,6.03871
28,0.02742,17.500,6.04516
29,0.02903,17.500,6.03387
30,0.02742,17.500,6.04032
30,0.02903,17.500,6.03710
31,0.03065,17.500,6.03871
31,0.03226,17.500,6.03548
32,0.03871,17.500,6.03710
33,0.01774,17.500,6.03226
33,0.02581,17.500,6.03710
33,0.02903,17.500,6.03387
33,0.02258,17.500,6.03065
34,0.03387,17.500,6.04194
35,0.03387,17.500,6.03226
35,0.02258,17.500,6.03387
36,0.02419,17.500,6.03710
36,0.02581,17.500,6.04516
37,0.02581,17.500,6.03548
38,0.02258,17.500,6.03710
38,0.04839,17.500,6.04194
39,0.02581,17.500,6.03871
39,0.02419,17.500,6.03710
40,0.02903,17.500,6.03387
41,0.03065,17.500,6.03710
41,0.02742,17.500,6.03710
42,0.02581,17.500,6.03387
42,0.02419,17.500,6.03387
43,0.02903,17.500,6.04194
43,0.02258,17.500,6.03387
44,0.02742,17.500,6.03548
45,0.02581,17.500,6.03871
45,0.01935,17.500,6.03871
46,0.03065,17.500,6.03387
46,0.03065,17.500,6.04032
47,0.02419,17.500,6.03387
48,0.02581,17.500,6.03548
48,0.03065,17.500,6.04032
49,0.02097,17.500,6.03710
49,0.03226,17.500,6.03548
50,0.03065,17.500,6.03871
51,0.03387,17.500,6.04032
51,0.03065,17.500,6.03548
52,0.03226,17.500,6.03710
53,0.03710,17.500,6.03871
53,0.03387,17.500,6.04032
54,0.03226,17.500,6.03226
54,0.03226,17.500,6.03871
55,0.02258,17.500,6.03065
56,0.02419,17.500,6.03387
56,0.02903,17.500,6.03871
57,0.02581,17.500,6.03548
57,0.02903,17.500,6.04516
58,0.03226,17.500,6.04839
58,0.02903,17.500,6.03871
59,0.03710,17.500,6.04194
60,0.02581,17.500,6.04032
60,0.02258,17.500,6.03387
61,0.02258,17.500,6.03710
61,0.04355,17.500,6.04355
62,0.03065,17.500,6.03871
63,0.02903,17.500,6.03710
63,0.02258,17.500,6.03548
64,0.02097,17.500,6.04355
64,0.02742,17.500,6.03548
65,0.01935,17.500,6.03710
66,0.02903,17.500,6.03871
66,0.02903,17.500,6.04194
67,0.02419,17.500,6.03387
67,0.02419,17.500,6.04032
68,0.02742,17.500,6.04516
69,0.02419,17.500,6.03387
69,0.02742,17.500,6.03710
70,0.02903,17.500,6.03548
70,0.03226,17.500,6.03871
71,0.02742,17.500,6.04194
72,0.02097,17.500,6.03226
72,0.03226,17.500,6.03387
73,0.02742,17.500,6.04032
73,0.02258,17.500,6.04032
74,0.02419,17.500,6.03871
75,0.02419,17.500,6.03710
75,0.02742,17.500,6.04355
75,0.02581,17.500,6.04032
75,0.02581,17.500,6.04032
76,0.04677,17.500,6.04032
77,0.02903,17.500,6.03387
77,0.02903,17.500,6.03226
78,0.02581,17.500,6.03710
78,0.06290,17.500,6.03387
79,0.03871,17.500,6.04516
80,0.02903,17.500,6.03871
80,0.02742,17.500,6.03871
81,0.03065,17.500,6.03065
81,0.02903,17.500,6.04032
82,0.02742,17.500,6.03871
83,0.02903,17.500,6.04032
83,0.02258,17.500,6.03710
84,0.03065,17.500,6.03710
84,0.02903,17.500,6.04194
85,0.02742,17.500,6.03710
85,0.03226,17.500,6.03871
86,0.03226,17.500,6.03548
87,0.02742,17.500,6.04032
87,0.02581,17.500,6.02903
88,0.03871,17.500,6.04032
88,0.02903,17.500,6.04194
89,0.02258,17.500,6.03710
90,0.02581,17.500,6.03548
90,0.01290,17.500,6.03871
91,0.02903,17.500,6.03871
91,0.03548,17.500,6.03387
92,0.03871,17.500,6.03226
93,0.02903,17.500,6.03226
93,0.01613,17.500,6.03710
94,0.02581,17.500,6.03387
