timestamp,tds_v,tempC,ph_v
19,0.04355,17.500,6.03710
20,0.02419,17.500,6.03387
21,0.03871,17.500,6.04516
21,0.02903,17.500,6.03710
22,0.02419,17.500,6.04677
22,0.03387,17.500,6.04516
23,0.03226,17.500,6.03871
24,0.03226,17.500,6.04355
24,0.02419,17.500,6.05000
25,0.04677,17.500,6.04355
25,0.03065,17.500,6.04194
26,0.03387,17.500,6.03871
27,0.02742,17.500,6.04032
27,0.03226,17.500,6.03871
28,0.02903,17.500,6.04677
28,0.02903,17.500,6.04355
29,0.03226,17.500,6.04032
30,0.02742,17.500,6.04355
30,0.03065,17.500,6.04032
31,0.02581,17.500,6.04677
31,0.03065,17.500,6.04677
32,0.03387,17.500,6.04516
33,0.03871,17.500,6.04032
33,0.03548,17.500,6.04516
34,0.03065,17.500,6.04839
34,0.02903,17.500,6.04194
35,0.03548,17.500,6.04355
35,0.03065,17.500,6.03871
36,0.02742,17.500,6.04677
37,0.03387,17.500,6.04032
37,0.03387,17.500,6.04032
38,0.03387,17.500,6.04677
38,0.02903,17.500,6.05323
39,0.03065,17.500,6.03710
40,0.02903,17.500,6.03548
40,0.04032,17.500,6.04355
41,0.02258,17.500,6.04032
41,0.03387,17.500,6.05161
42,0.02903,17.500,6.04516
42,0.04032,17.500,6.03871
42,0.02742,17.500,6.04677
43,0.02903,17.500,6.03548
43,0.02903,17.500,6.03871
44,0.03226,17.500,6.04194
45,0.03226,17.500,6.04516
45,0.03548,17.500,6.04194
46,0.02903,17.500,6.04516
46,0.03548,17.500,6.05000
47,0.03548,17.500,6.04194
48,0.02742,17.500,6.04194
48,0.03065,17.500,6.04032
49,0.03065,17.500,6.04355
49,0.03548,17.500,6.04194
50,0.03226,17.500,6.04516
50,0.03226,17.500,6.03710
51,0.02903,17.500,6.04839
52,0.02903,17.500,6.04516
52,0.02903,17.500,6.05000
53,0.03065,17.500,6.04516
53,0.03065,17.500,6.04194
54,0.03065,17.500,6.03710
55,0.02742,17.500,6.03710
55,0.03387,17.500,6.04355
56,0.02581,17.500,6.04677
56,0.02581,17.500,6.04355
57,0.01290,17.500,6.04516
58,0.02903,17.500,6.04355
58,0.03548,17.500,6.03871
59,0.02419,17.500,6.03871
59,0.04355,17.500,6.04032
60,0.04355,17.500,6.03387
61,0.03065,17.500,6.03710
61,0.03710,17.500,6.05000
62,0.03387,17.500,6.04516
62,0.03226,17.500,6.04677
63,0.03065,17.500,6.04032
64,0.04355,17.500,6.04194
64,0.03548,17.500,6.04194
65,0.03387,17.500,6.03710
65,0.02581,17.500,6.04355
66,0.03065,17.500,6.03710
67,0.03387,17.500,6.04194
67,0.03226,17.500,6.04677
68,0.03387,17.500,6.04032
68,0.02742,17.500,6.03387
69,0.02903,17.500,6.04194
70,0.03710,17.500,6.03710
70,0.02742,17.500,6.04677
71,0.03065,17.500,6.04355
71,0.03065,17.500,6.03871
72,0.03387,17.500,6.03871
72,0.01935,17.500,6.04839
73,0.02903,17.500,6.04032
74,0.03065,17.500,6.03548
74,0.02258,17.500,6.04194
75,0.03226,17.500,6.03387
75,0.03226,17.500,6.04355
76,0.03710,17.500,6.04194
77,0.04516,17.500,6.04839
77,0.03226,17.500,6.04194
78,0.03226,17.500,6.03710
78,0.03065,17.500,6.04516
79,0.03226,17.500,6.04677
80,0.02258,17.500,6.04194
80,0.03226,17.500,6.04194
81,0.03065,17.500,6.04032
81,0.02742,17.500,6.03871
82,0.02903,17.500,6.04355
83,0.03226,17.500,6.04194
83,0.02742,17.500,6.04032
83,0.03065,17.500,6.04194
83,0.03065,17.500,6.04032
84,0.03226,17.500,6.04839
85,0.03871,17.500,6.04516
85,0.03710,17.500,6.04194
86,0.03548,17.500,6.05000
86,0.03226,17.500,6.04032
87,0.03065,17.500,6.04032
88,0.03065,17.500,6.03871
88,0.01290,17.500,6.03226
89,0.03387,17.500,6.04516
89,0.03226,17.500,6.04032
90,0.03226,17.500,6.03871
91,0.03548,17.500,6.03871
91,0.02419,17.500,6.04839
92,0.03871,17.500,6.04032
92,0.02903,17.500,6.04194
93,0.02903,17.500,6.04355
94,0.03387,17.500,6.04032
