timestamp,tds_v,tempC,ph_v
20,0.03065,17.500,6.03871
21,0.02903,17.500,6.03710
21,0.03226,17.500,6.03871
22,0.02581,17.500,6.04032
22,0.02742,17.500,6.05806
23,0.04516,17.500,6.04194
24,0.03065,17.500,6.04032
24,0.03226,17.500,6.04194
25,0.03548,17.500,6.03387
25,0.02581,17.500,6.05161
26,0.03065,17.500,6.04194
27,0.01935,17.500,6.04032
27,0.02903,17.500,6.04194
28,0.03065,17.500,6.04677
28,0.04032,17.500,6.04516
29,0.02742,17.500,6.04677
29,0.03387,17.500,6.04355
30,0.02097,17.500,6.04677
31,0.02903,17.500,6.04516
31,0.02903,17.500,6.04839
32,0.03387,17.500,6.04194
32,0.03226,17.500,6.04032
33,0.03548,17.500,6.04516
33,0.02742,17.500,6.03226
33,0.03871,17.500,6.04355
34,0.03065,17.500,6.03871
34,0.02742,17.500,6.04677
35,0.03387,17.500,6.04194
36,0.03548,17.500,6.04194
36,0.02581,17.500,6.03871
37,0.05484,17.500,6.04677
37,0.02258,17.500,6.04677
38,0.03226,17.500,6.04677
39,0.02581,17.500,6.04516
39,0.03710,17.500,6.04355
40,0.02742,17.500,6.04032
40,0.02581,17.500,6.04194
41,0.03065,17.500,6.04516
42,0.02742,17.500,6.04839
42,0.03387,17.500,6.03387
43,0.02903,17.500,6.04355
43,0.02742,17.500,6.04194
44,0.02258,17.500,6.03871
45,0.02581,17.500,6.04677
45,0.02742,17.500,6.04839
46,0.02742,17.500,6.03710
46,0.03226,17.500,6.03710
47,0.02903,17.500,6.04194
48,0.03387,17.500,6.04677
48,0.03548,17.500,6.04839
49,0.02903,17.500,6.03548
49,0.02903,17.500,6.04194
50,0.04516,17.500,6.04194
51,0.03871,17.500,6.04032
51,0.03548,17.500,6.05161
52,0.03548,17.500,6.03548
52,0.04516,17.500,6.03871
53,0.02581,17.500,6.03548
54,0.02258,17.500,6.04032
54,0.02097,17.500,6.05161
55,0.03065,17.500,6.03871
55,0.02903,17.500,6.04516
56,0.03065,17.500,6.03871
57,0.03387,17.500,6.04032
57,0.02419,17.500,6.05484
58,0.02903,17.500,6.04355
58,0.02742,17.500,6.03710
59,0.02903,17.500,6.03548
59,0.02742,17.500,6.04516
60,0.03065,17.500,6.04194
61,0.03065,17.500,6.04032
61,0.03548,17.500,6.04516
62,0.02419,17.500,6.04516
62,0.03065,17.500,6.04032
63,0.03065,17.500,6.04677
64,0.02903,17.500,6.04194
64,0.03226,17.500,6.04677
65,0.02419,17.500,6.04677
65,0.02581,17.500,6.04839
66,0.02258,17.500,6.04839
67,0.03226,17.500,6.03871
67,0.03065,17.500,6.04355
68,0.02903,17.500,6.04516
68,0.03387,17.500,6.03548
69,0.03226,17.500,6.05323
70,0.03387,17.500,6.04032
70,0.02581,17.500,6.04677
71,0.02903,17.500,6.04355
71,0.02742,17.500,6.04355
72,0.02419,17.500,6.03065
73,0.03387,17.500,6.04677
73,0.03548,17.500,6.04516
74,0.03065,17.500,6.04355
74,0.03387,17.500,6.04516
75,0.01613,17.500,6.04677
75,0.02903,17.500,6.03387
75,0.03226,17.500,6.04032
76,0.03548,17.500,6.04355
76,0.02903,17.500,6.04032
77,0.01774,17.500,6.04516
78,0.03226,17.500,6.03871
78,0.03226,17.500,6.03710
79,0.03548,17.500,6.04355
79,0.02581,17.500,6.04355
80,0.03065,17.500,6.04194
81,0.03226,17.500,6.04194
81,0.01613,17.500,6.03710
82,0.03387,17.500,6.05000
82,0.03226,17.500,6.04194
83,0.03710,17.500,6.04839
84,0.04194,17.500,6.04194
84,0.03065,17.500,6.03871
85,0.02258,17.500,6.04194
85,0.06452,17.500,6.04355
86,0.02581,17.500,6.04516
86,0.04677,17.500,6.04355
87,0.03065,17.500,6.03710
88,0.03065,17.500,6.04355
88,0.02097,17.500,6.04355
89,0.02903,17.500,6.04032
89,0.03548,17.500,6.04677
90,0.03226,17.500,6.03871
91,0.02581,17.500,6.04032
91,0.02903,17.500,6.03871
92,0.03226,17.500,6.04677
92,0.03226,17.500,6.05161
93,0.02903,17.500,6.04355
94,0.02581,17.500,6.04516
