timestamp,tds_v,tempC,ph_v
20,0.02419,17.500,6.04194
21,0.03065,17.500,6.04194
21,0.02419,17.500,6.04677
22,0.03871,17.500,6.04032
22,0.03548,17.500,6.04677
23,0.03387,17.500,6.04516
24,0.02903,17.500,6.04032
24,0.02581,17.500,6.04839
25,0.01935,17.500,6.04355
25,0.02742,17.500,6.03710
25,0.03065,17.500,6.04516
25,0.02903,17.500,6.04355
26,0.02903,17.500,6.04032
27,0.05968,17.500,6.03871
27,0.01935,17.500,6.03710
28,0.03548,17.500,6.04194
28,0.03226,17.500,6.04032
29,0.01613,17.500,6.05806
30,0.03710,17.500,6.04355
30,0.02903,17.500,6.03065
31,0.04194,17.500,6.03548
32,0.02742,17.500,6.03710
32,0.03226,17.500,6.03548
33,0.03387,17.500,6.04677
33,0.03226,17.500,6.04355
34,0.05806,17.500,6.04032
35,0.03226,17.500,6.04194
35,0.03387,17.500,6.05161
36,0.02581,17.500,6.04516
36,0.03387,17.500,6.04194
37,0.02742,17.500,6.04355
38,0.03065,17.500,6.04355
38,0.02097,17.500,6.04032
39,0.02581,17.500,6.04194
39,0.02903,17.500,6.04032
40,0.03065,17.500,6.04355
41,0.05323,17.500,6.03871
41,0.02742,17.500,6.03548
42,0.03226,17.500,6.03387
42,0.02581,17.500,6.04032
43,0.03065,17.500,6.04032
43,0.05645,17.500,6.04355
44,0.04032,17.500,6.04677
45,0.03065,17.500,6.03871
45,0.03871,17.500,6.04355
46,0.03226,17.500,6.04516
46,0.03065,17.500,6.04355
47,0.03226,17.500,6.04677
48,0.02903,17.500,6.03710
48,0.02419,17.500,6.04516
49,0.03548,17.500,6.04355
49,0.03387,17.500,6.04032
50,0.02419,17.500,6.04516
51,0.04355,17.500,6.04032
51,0.04032,17.500,6.04032
52,0.03226,17.500,6.03548
52,0.03065,17.500,6.04032
53,0.02097,17.500,6.04516
54,0.03226,17.500,6.04032
54,0.03065,17.500,6.03871
55,0.03226,17.500,6.03710
55,0.02903,17.500,6.03548
56,0.04194,17.500,6.04677
57,0.03548,17.500,6.03710
57,0.02742,17.500,6.04194
58,0.03226,17.500,6.05000
58,0.02903,17.500,6.04032
59,0.02903,17.500,6.04032
60,0.03226,17.500,6.04355
60,0.02903,17.500,6.03710
61,0.04355,17.500,6.04032
61,0.03710,17.500,6.04516
62,0.03710,17.500,6.04032
63,0.03065,17.500,6.04355
63,0.03387,17.500,6.04032
64,0.03065,17.500,6.04032
64,0.02903,17.500,6.04194
65,0.03226,17.500,6.05161
66,0.03226,17.500,6.04516
66,0.02742,17.500,6.04032
67,0.03065,17.500,6.03710
67,0.02903,17.500,6.03871
67,0.03871,17.500,6.04839
68,0.02581,17.500,6.03710
68,0.03387,17.500,6.04355
69,0.02903,17.500,6.04677
69,0.03871,17.500,6.03548
70,0.03548,17.500,6.04516
70,0.03065,17.500,6.03871
71,0.04355,17.500,6.04032
72,0.02419,17.500,6.04355
72,0.02258,17.500,6.04516
73,0.03226,17.500,6.04677
73,0.02742,17.500,6.04516
74,0.03065,17.500,6.04839
75,0.03387,17.500,6.04032
75,0.03226,17.500,6.03871
76,0.03387,17.500,6.03871
76,0.03387,17.500,6.04194
77,0.03548,17.500,6.03871
78,0.03065,17.500,6.03387
78,0.03387,17.500,6.03065
79,0.04355,17.500,6.04355
79,0.02742,17.500,6.04516
80,0.03548,17.500,6.03548
81,0.03548,17.500,6.04194
81,0.03226,17.500,6.04194
82,0.02419,17.500,6.04355
82,0.03226,17.500,6.03710
83,0.03548,17.500,6.03548
84,0.03548,17.500,6.04516
84,0.03226,17.500,6.03871
85,0.02903,17.500,6.03710
85,0.03548,17.500,6.03226
86,0.02581,17.500,6.03226
86,0.04194,17.500,6.04032
87,0.03065,17.500,6.03710
88,0.03710,17.500,6.03710
88,0.03226,17.500,6.03871
89,0.03065,17.500,6.04032
89,0.02258,17.500,6.05000
90,0.03065,17.500,6.03548
91,0.02903,17.500,6.03871
91,0.02742,17.500,6.03871
92,0.02419,17.500,6.04839
92,0.03065,17.500,6.04032
93,0.02581,17.500,6.04194
94,0.03226,17.500,6.03871
