timestamp,tds_v,tempC,ph_v
19,0.02742,17.500,6.04516
20,0.03387,17.500,6.04355
20,0.03226,17.500,6.04032
21,0.02742,17.500,6.03871
21,0.02581,17.500,6.03871
22,0.02742,17.500,6.03871
23,0.02903,17.500,6.03548
23,0.03871,17.500,6.04194
24,0.03710,17.500,6.04194
24,0.03065,17.500,6.03871
25,0.01452,17.500,6.04355
26,0.02742,17.500,6.04194
26,0.03226,17.500,6.04032
27,0.03710,17.500,6.03387
27,0.03710,17.500,6.04516
28,0.02903,17.500,6.03710
28,0.02581,17.500,6.03710
29,0.03387,17.500,6.04355
30,0.03387,17.500,6.04194
30,0.02581,17.500,6.03710
31,0.03065,17.500,6.03871
31,0.03065,17.500,6.04839
32,0.03226,17.500,6.04032
33,0.03387,17.500,6.04839
33,0.02903,17.500,6.04516
34,0.03226,17.500,6.04516
34,0.03548,17.500,6.04194
35,0.04677,17.500,6.04839
36,0.03387,17.500,6.04194
36,0.03871,17.500,6.04839
37,0.03226,17.500,6.04032
37,0.02903,17.500,6.04032
38,0.03065,17.500,6.04839
39,0.03387,17.500,6.05323
39,0.03710,17.500,6.04677
40,0.03710,17.500,6.03710
40,0.03387,17.500,6.04839
41,0.03387,17.500,6.04677
42,0.02903,17.500,6.04677
42,0.03548,17.500,6.04677
43,0.03226,17.500,6.04677
43,0.03065,17.500,6.04194
44,0.02742,17.500,6.04839
45,0.02903,17.500,6.04516
45,0.03226,17.500,6.04355
46,0.04516,17.500,6.04355
46,0.03065,17.500,6.03387
47,0.03387,17.500,6.04677
48,0.03710,17.500,6.04677
48,0.03387,17.500,6.04194
48,0.03387,17.500,6.04194
48,0.01774,17.500,6.04677
49,0.03548,17.500,6.04194
50,0.03065,17.500,6.03871
50,0.02903,17.500,6.04839
51,0.03226,17.500,6.04516
51,0.03226,17.500,6.04032
52,0.03871,17.500,6.04839
53,0.02742,17.500,6.03710
53,0.04516,17.500,6.04677
54,0.03387,17.500,6.04355
54,0.05161,17.500,6.04516
55,0.02258,17.500,6.03871
56,0.03871,17.500,6.04516
56,0.02581,17.500,6.04677
57,0.03226,17.500,6.04032
57,0.03710,17.500,6.04355
58,0.03226,17.500,6.05000
58,0.03226,17.500,6.03871
59,0.02903,17.500,6.04032
60,0.03226,17.500,6.05161
60,0.03548,17.500,6.04355
61,0.02742,17.500,6.05000
61,0.03710,17.500,6.04516
62,0.03387,17.500,6.04677
63,0.03387,17.500,6.04839
63,0.03548,17.500,6.05161
64,0.04516,17.500,6.04516
64,0.03387,17.500,6.04677
65,0.03387,17.500,6.04839
66,0.02903,17.500,6.04355
66,0.03710,17.500,6.04839
67,0.02742,17.500,6.04839
67,0.03387,17.500,6.04677
68,0.03226,17.500,6.04355
69,0.01774,17.500,6.04839
69,0.03065,17.500,6.04839
70,0.02419,17.500,6.05000
70,0.03387,17.500,6.04032
71,0.02258,17.500,6.04839
71,0.03871,17.500,6.05000
72,0.03710,17.500,6.04677
73,0.03226,17.500,6.04516
73,0.03065,17.500,6.04194
74,0.01613,17.500,6.05161
74,0.02419,17.500,6.05484
75,0.02742,17.500,6.04032
76,0.02742,17.500,6.03710
76,0.03226,17.500,6.04516
77,0.02581,17.500,6.03548
77,0.03387,17.500,6.04194
78,0.03710,17.500,6.04516
79,0.03710,17.500,6.04194
79,0.03871,17.500,6.04839
80,0.04194,17.500,6.03548
80,0.03226,17.500,6.05161
81,0.03387,17.500,6.05161
82,0.02742,17.500,6.05161
82,0.03226,17.500,6.04839
83,0.03065,17.500,6.05000
83,0.04516,17.500,6.05000
84,0.03226,17.500,6.04677
85,0.03226,17.500,6.04839
85,0.02581,17.500,6.04839
86,0.02419,17.500,6.05000
86,0.04032,17.500,6.05000
87,0.03226,17.500,6.04839
88,0.03226,17.500,6.04032
88,0.03065,17.500,6.03871
89,0.02581,17.500,6.04355
89,0.03226,17.500,6.04194
90,0.02742,17.500,6.04355
90,0.03065,17.500,6.05000
90,0.03226,17.500,6.04194
91,0.05968,17.500,6.04032
91,0.03226,17.500,6.04677
92,0.03226,17.500,6.05161
93,0.02903,17.500,6.04677
93,0.03387,17.500,6.03871
94,0.02742,17.500,6.04032
