timestamp,tds_v,tempC,ph_v
19,0.01935,17.500,6.03548
20,0.02903,17.500,6.03387
20,0.02903,17.500,6.03548
21,0.03065,17.500,6.03710
21,0.02258,17.500,6.03548
22,0.03065,17.500,6.04194
23,0.03226,17.500,6.03226
23,0.02742,17.500,6.03548
24,0.03226,17.500,6.04032
24,0.02258,17.500,6.05161
25,0.01613,17.500,6.04516
26,0.03387,17.500,6.03871
26,0.03387,17.500,6.03387
27,0.02581,17.500,6.03548
27,0.03871,17.500,6.04516
28,0.02903,17.500,6.03871
29,0.02903,17.500,6.03710
29,0.02581,17.500,6.04194
30,0.03065,17.500,6.04355
30,0.02581,17.500,6.03710
31,0.02742,17.500,6.04355
32,0.02419,17.500,6.03710
32,0.03065,17.500,6.03548
33,0.02742,17.500,6.03871
33,0.03065,17.500,6.04032
34,0.02742,17.500,6.03871
34,0.03065,17.500,6.04194
35,0.03387,17.500,6.03710
36,0.02097,17.500,6.03871
36,0.02581,17.500,6.03871
37,0.03226,17.500,6.04194
37,0.02742,17.500,6.03548
38,0.03387,17.500,6.04194
39,0.03065,17.500,6.03871
39,0.02581,17.500,6.03710
40,0.02903,17.500,6.04032
40,0.02903,17.500,6.04839
41,0.02258,17.500,6.04194
42,0.02742,17.500,6.04516
42,0.02258,17.500,6.04355
43,0.02097,17.500,6.03871
43,0.02903,17.500,6.03710
44,0.03065,17.500,6.03710
44,0.02419,17.500,6.04032
44,0.01613,17.500,6.04355
45,0.02258,17.500,6.03710
45,0.02742,17.500,6.04032
46,0.04677,17.500,6.04032
47,0.03387,17.500,6.04194
47,0.02581,17.500,6.03871
48,0.03065,17.500,6.03387
48,0.01774,17.500,6.03710
49,0.02097,17.500,6.03871
50,0.02581,17.500,6.03710
50,0.02258,17.500,6.04032
51,0.02742,17.500,6.04032
51,0.03065,17.500,6.03871
52,0.03226,17.500,6.03548
53,0.03065,17.500,6.03548
53,0.03065,17.500,6.03548
54,0.02742,17.500,6.03548
54,0.02742,17.500,6.03548
55,0.02742,17.500,6.03548
55,0.02581,17.500,6.04194
56,0.04032,17.500,6.03226
57,0.02419,17.500,6.04032
57,0.02903,17.500,6.03871
58,0.02742,17.500,6.02581
58,0.02903,17.500,6.03065
59,0.02903,17.500,6.04032
60,0.06452,17.500,6.03710
60,0.03387,17.500,6.03710
61,0.02258,17.500,6.02903
61,0.02581,17.500,6.04032
62,0.01774,17.500,6.04355
63,0.02581,17.500,6.03548
63,0.02903,17.500,6.03871
64,0.02258,17.500,6.03710
64,0.02903,17.500,6.03387
65,0.02903,17.500,6.04194
66,0.05000,17.500,6.03871
66,0.02581,17.500,6.03226
67,0.03387,17.500,6.04355
67,0.02258,17.500,6.03548
68,0.01935,17.500,6.03387
69,0.01935,17.500,6.03065
69,0.03226,17.500,6.03387
70,0.02419,17.500,6.03548
70,0.02581,17.500,6.03065
71,0.01290,17.500,6.04032
72,0.02742,17.500,6.03871
72,0.02742,17.500,6.03871
73,0.03065,17.500,6.04032
73,0.02419,17.500,6.03548
74,0.02742,17.500,6.04194
75,0.02419,17.500,6.03710
75,0.02419,17.500,6.03710
76,0.02581,17.500,6.03710
76,0.03226,17.500,6.03710
77,0.02742,17.500,6.03710
78,0.02742,17.500,6.03065
78,0.01290,17.500,6.04032
79,0.02742,17.500,6.03710
79,0.02903,17.500,6.03387
80,0.03065,17.500,6.03387
80,0.03710,17.500,6.03871
81,0.02742,17.500,6.03065
82,0.02581,17.500,6.02903
82,0.02258,17.500,6.03226
83,0.03871,17.500,6.03710
83,0.02903,17.500,6.03387
84,0.02097,17.500,6.03065
85,0.02097,17.500,6.03226
85,0.02419,17.500,6.03387
86,0.02903,17.500,6.04355
86,0.02742,17.500,6.04032
86,0.03065,17.500,6.03871
87,0.02581,17.500,6.03387
87,0.02258,17.500,6.03065
88,0.04194,17.500,6.04194
88,0.03065,17.500,6.03226
89,0.01774,17.500,6.03548
90,0.03065,17.500,6.03871
90,0.03226,17.500,6.03548
91,0.03387,17.500,6.04194
91,0.03548,17.500,6.03387
92,0.03226,17.500,6.03387
93,0.02419,17.500,6.04032
93,0.03387,17.500,6.03387
94,0.02742,17.500,6.03710
