timestamp,tds_v,tempC,ph_v
20,0.02903,17.500,6.03871
20,0.02903,17.500,6.05161
21,0.03387,17.500,6.04677
22,0.02742,17.500,6.05000
22,0.02258,17.500,6.04516
23,0.02581,17.500,6.03710
23,0.02903,17.500,6.04032
23,0.03387,17.500,6.04355
24,0.02742,17.500,6.03710
24,0.03226,17.500,6.04839
25,0.02419,17.500,6.04839
25,0.02903,17.500,6.04032
26,0.03226,17.500,6.04677
27,0.03065,17.500,6.04355
27,0.03226,17.500,6.04355
28,0.02097,17.500,6.05000
28,0.03065,17.500,6.04839
29,0.02419,17.500,6.04355
30,0.02742,17.500,6.04677
30,0.03548,17.500,6.03710
31,0.02742,17.500,6.04032
31,0.03548,17.500,6.04355
32,0.02097,17.500,6.05323
33,0.03065,17.500,6.03710
33,0.02742,17.500,6.04677
34,0.01290,17.500,6.05000
34,0.03387,17.500,6.04355
35,0.03548,17.500,6.05000
36,0.02258,17.500,6.04677
36,0.02742,17.500,6.04677
37,0.03871,17.500,6.04194
37,0.02903,17.500,6.04194
38,0.03871,17.500,6.04355
39,0.02903,17.500,6.03871
39,0.02742,17.500,6.04516
40,0.02742,17.500,6.04194
40,0.03548,17.500,6.04355
41,0.02742,17.500,6.04032
42,0.02903,17.500,6.04839
42,0.02903,17.500,6.04516
43,0.02258,17.500,6.03871
43,0.03226,17.500,6.05000
44,0.03065,17.500,6.05323
45,0.04032,17.500,6.04839
45,0.02742,17.500,6.04194
46,0.02742,17.500,6.05000
46,0.02581,17.500,6.04194
47,0.02742,17.500,6.05161
47,0.03065,17.500,6.04677
48,0.03065,17.500,6.04839
49,0.03065,17.500,6.04355
49,0.02742,17.500,6.04516
50,0.04516,17.500,6.05323
50,0.02581,17.500,6.04516
51,0.02581,17.500,6.04516
52,0.04355,17.500,6.04677
52,0.03548,17.500,6.04677
53,0.06935,17.500,6.05161
53,0.02903,17.500,6.05000
54,0.02742,17.500,6.04516
55,0.03065,17.500,6.04839
55,0.05645,17.500,6.04677
56,0.02419,17.500,6.05000
56,0.02742,17.500,6.04516
57,0.03387,17.500,6.04032
58,0.03548,17.500,6.04677
58,0.03065,17.500,6.04677
59,0.03548,17.500,6.04355
59,0.02419,17.500,6.04677
60,0.02258,17.500,6.04677
61,0.02903,17.500,6.04839
61,0.03226,17.500,6.04839
62,0.04516,17.500,6.04677
62,0.02419,17.500,6.04032
63,0.02581,17.500,6.04355
64,0.02419,17.500,6.04677
64,0.02903,17.500,6.04516
64,0.04194,17.500,6.05484
64,0.05645,17.500,6.04677
65,0.02903,17.500,6.04194
66,0.03710,17.500,6.05000
66,0.03226,17.500,6.04516
67,0.02903,17.500,6.04677
67,0.03710,17.500,6.05000
68,0.03065,17.500,6.05000
69,0.02742,17.500,6.04032
69,0.02742,17.500,6.04355
70,0.03226,17.500,6.05323
70,0.02903,17.500,6.04839
71,0.03387,17.500,6.04516
72,0.02903,17.500,6.04194
72,0.04677,17.500,6.04839
73,0.03065,17.500,6.04516
73,0.02581,17.500,6.05000
74,0.03871,17.500,6.04516
75,0.04516,17.500,6.04839
75,0.02581,17.500,6.04677
76,0.02419,17.500,6.04677
76,0.03548,17.500,6.04355
77,0.03226,17.500,6.04516
78,0.03548,17.500,6.04355
78,0.02742,17.500,6.04355
79,0.03226,17.500,6.05161
79,0.03226,17.500,6.04194
80,0.03226,17.500,6.03871
80,0.03387,17.500,6.04839
81,0.02258,17.500,6.04194
82,0.03548,17.500,6.04839
82,0.03065,17.500,6.04677
83,0.03065,17.500,6.03871
83,0.02581,17.500,6.04194
84,0.02258,17.500,6.04677
85,0.03226,17.500,6.04516
85,0.03065,17.500,6.04677
86,0.03387,17.500,6.04839
86,0.03065,17.500,6.04516
87,0.02903,17.500,6.03387
88,0.05484,17.500,6.04839
88,0.02903,17.500,6.04355
89,0.03387,17.500,6.04355
89,0.03387,17.500,6.03548
90,0.02419,17.500,6.04355
91,0.03548,17.500,6.04032
91,0.03226,17.500,6.04194
92,0.03065,17.500,6.03710
92,0.02097,17.500,6.04032
93,0.03065,17.500,6.03871
93,0.02581,17.500,6.04677
94,0.02581,17.500,6.03871
