timestamp,tds_v,tempC,ph_v
19,0.03065,17.500,6.03871
20,0.02419,17.500,6.03387
20,0.02903,17.500,6.03548
21,0.02903,17.500,6.03226
21,0.02258,17.500,6.04032
22,0.03226,17.500,6.03065
22,0.02581,17.500,6.03387
23,0.02097,17.500,6.04355
24,0.03871,17.500,6.04032
24,0.03065,17.500,6.03226
25,0.02258,17.500,6.03548
25,0.02581,17.500,6.03226
26,0.03871,17.500,6.03548
27,0.02581,17.500,6.03548
27,0.03548,17.500,6.04194
28,0.02903,17.500,6.03387
28,0.02419,17.500,6.03710
29,0.02742,17.500,6.03871
30,0.02742,17.500,6.03710
30,0.03548,17.500,6.03387
31,0.02258,17.500,6.03710
31,0.03065,17.500,6.04194
32,0.02742,17.500,6.04032
33,0.03065,17.500,6.04032
33,0.02742,17.500,6.04677
34,0.02258,17.500,6.03548
34,0.03387,17.500,6.04032
35,0.02903,17.500,6.03710
36,0.03226,17.500,6.03871
36,0.00968,17.500,6.03871
37,0.02581,17.500,6.03387
37,0.02419,17.500,6.03226
38,0.03226,17.500,6.03226
39,0.07903,17.500,6.04032
39,0.02903,17.500,6.04516
40,0.04194,17.500,6.03871
40,0.03065,17.500,6.03871
41,0.02581,17.500,6.03871
42,0.02581,17.500,6.03710
42,0.03387,17.500,6.03548
43,0.02903,17.500,6.03548
43,0.02258,17.500,6.03387
44,0.03226,17.500,6.03710
44,0.02419,17.500,6.03548
44,0.03065,17.500,6.03871
45,0.02581,17.500,6.03871
45,0.02419,17.500,6.03387
46,0.02581,17.500,6.04839
47,0.01935,17.500,6.03871
47,0.02258,17.500,6.03710
48,0.05161,17.500,6.03387
48,0.02581,17.500,6.03710
49,0.03065,17.500,6.03710
49,0.02742,17.500,6.04194
50,0.02742,17.500,6.04355
51,0.02742,17.500,6.04032
51,0.02258,17.500,6.03387
52,0.01935,17.500,6.04032
52,0.03065,17.500,6.03548
53,0.02097,17.500,6.03548
54,0.03387,17.500,6.03548
54,0.03226,17.500,6.04032
55,0.02742,17.500,6.03226
55,0.02742,17.500,6.04032
56,0.02581,17.500,6.03871
57,0.02581,17.500,6.03065
57,0.03226,17.500,6.04516
58,0.02581,17.500,6.03226
58,0.02097,17.500,6.03548
59,0.02742,17.500,6.03387
60,0.02581,17.500,6.03710
60,0.02258,17.500,6.04194
61,0.02581,17.500,6.03871
61,0.02581,17.500,6.03871
62,0.01613,17.500,6.03871
63,0.02581,17.500,6.03387
63,0.02581,17.500,6.03548
64,0.03065,17.500,6.03871
64,0.02419,17.500,6.04032
65,0.04194,17.500,6.04032
66,0.03065,17.500,6.03548
66,0.02581,17.500,6.02903
67,0.02097,17.500,6.03226
67,0.02903,17.500,6.03387
68,0.03387,17.500,6.03871
69,0.02903,17.500,6.04194
69,0.03065,17.500,6.03710
70,0.02581,17.500,6.03548
70,0.03065,17.500,6.04194
71,0.01774,17.500,6.04032
71,0.03226,17.500,6.03387
72,0.03548,17.500,6.03387
73,0.04355,17.500,6.03387
73,0.02742,17.500,6.04032
74,0.03065,17.500,6.03226
74,0.02419,17.500,6.04032
75,0.04032,17.500,6.04032
76,0.03065,17.500,6.03387
76,0.02419,17.500,6.03387
77,0.05968,17.500,6.03710
77,0.02581,17.500,6.03387
78,0.02903,17.500,6.03871
79,0.02097,17.500,6.04839
79,0.02903,17.500,6.03710
80,0.02903,17.500,6.03387
80,0.03871,17.500,6.03548
81,0.02742,17.500,6.03387
82,0.02742,17.500,6.03065
82,0.02903,17.500,6.04032
83,0.02903,17.500,6.03387
83,0.02258,17.500,6.03871
84,0.02258,17.500,6.03871
85,0.02258,17.500,6.03871
85,0.02419,17.500,6.03871
86,0.03226,17.500,6.03387
86,0.02742,17.500,6.03065
86,0.02258,17.500,6.03548
86,0.01774,17.500,6.04194
87,0.03065,17.500,6.03548
88,0.02258,17.500,6.03548
88,0.02258,17.500,6.03387
89,0.03871,17.500,6.03065
89,0.03226,17.500,6.04032
90,0.02903,17.500,6.03548
91,0.02581,17.500,6.03548
91,0.02742,17.500,6.03710
92,0.02903,17.500,6.03871
92,0.02903,17.500,6.04194
93,0.03226,17.500,6.03548
94,0.01613,17.500,6.02742
