timestamp,tds_v,tempC,ph_v
20,0.03226,17.500,6.04194
20,0.03226,17.500,6.03548
21,0.03710,17.500,6.03710
21,0.02581,17.500,6.03871
22,0.02419,17.500,6.04677
23,0.02903,17.500,6.04194
23,0.03387,17.500,6.04677
24,0.02742,17.500,6.03065
24,0.03065,17.500,6.04355
25,0.03065,17.500,6.04355
26,0.03065,17.500,6.03710
26,0.02097,17.500,6.04194
27,0.03226,17.500,6.03548
27,0.03065,17.500,6.04194
28,0.05000,17.500,6.04677
29,0.03387,17.500,6.04194
29,0.03065,17.500,6.04355
30,0.03548,17.500,6.04032
30,0.03065,17.500,6.04194
31,0.02419,17.500,6.04032
32,0.02903,17.500,6.03710
32,0.02903,17.500,6.04194
33,0.03871,17.500,6.04355
33,0.03065,17.500,6.04839
34,0.01613,17.500,6.04194
35,0.03065,17.500,6.04516
35,0.03548,17.500,6.04194
35,0.01935,17.500,6.04839
35,0.05645,17.500,6.03710
36,0.03226,17.500,6.04032
37,0.02581,17.500,6.04032
37,0.03387,17.500,6.04516
38,0.03387,17.500,6.05323
38,0.02581,17.500,6.04355
39,0.02742,17.500,6.03871
40,0.03065,17.500,6.04355
40,0.03065,17.500,6.04032
41,0.03387,17.500,6.05161
41,0.03065,17.500,6.04032
42,0.02903,17.500,6.04355
43,0.02097,17.500,6.04677
43,0.06290,17.500,6.04194
44,0.03871,17.500,6.05323
44,0.03065,17.500,6.03548
45,0.03226,17.500,6.04032
46,0.01935,17.500,6.03226
46,0.02419,17.500,6.04194
47,0.02258,17.500,6.04194
47,0.02903,17.500,6.04839
48,0.03387,17.500,6.04194
49,0.03548,17.500,6.04355
49,0.03387,17.500,6.04677
50,0.03387,17.500,6.04355
50,0.03226,17.500,6.05323
51,0.03065,17.500,6.04516
52,0.03387,17.500,6.03871
52,0.03226,17.500,6.04032
53,0.02258,17.500,6.04839
53,0.02903,17.500,6.03871
54,0.02903,17.500,6.04032
55,0.03548,17.500,6.04032
55,0.02258,17.500,6.03871
56,0.02903,17.500,6.04355
56,0.02903,17.500,6.04355
57,0.03387,17.500,6.04032
57,0.03226,17.500,6.04032
58,0.03226,17.500,6.05000
58,0.03065,17.500,6.04194
59,0.02903,17.500,6.04355
59,0.02742,17.500,6.04194
60,0.03226,17.500,6.04032
61,0.03226,17.500,6.04677
