timestamp,tds_v,tempC,ph_v
18,0.06774,17.500,6.03710
19,0.02742,17.500,6.04516
19,0.03387,17.500,6.05323
20,0.03387,17.500,6.04355
21,0.03548,17.500,6.05000
21,0.02419,17.500,6.05161
22,0.02903,17.500,6.05161
23,0.02419,17.500,6.04516
23,0.03387,17.500,6.03871
24,0.03226,17.500,6.04677
24,0.02742,17.500,6.04355
25,0.03548,17.500,6.03710
25,0.03065,17.500,6.04516
26,0.01774,17.500,6.04839
27,0.03710,17.500,6.04516
27,0.03226,17.500,6.03871
28,0.02903,17.500,6.05000
28,0.03710,17.500,6.05161
29,0.02742,17.500,6.04839
30,0.04032,17.500,6.04355
30,0.03226,17.500,6.04516
31,0.03548,17.500,6.05161
31,0.02581,17.500,6.04677
32,0.03226,17.500,6.04355
32,0.03226,17.500,6.05323
33,0.03548,17.500,6.04677
34,0.02581,17.500,6.04839
34,0.03871,17.500,6.04516
35,0.04355,17.500,6.04516
35,0.03226,17.500,6.05000
36,0.03226,17.500,6.04516
37,0.02903,17.500,6.04355
37,0.03387,17.500,6.04516
38,0.02742,17.500,6.04194
38,0.03387,17.500,6.04355
39,0.02742,17.500,6.04355
40,0.02903,17.500,6.04677
40,0.03548,17.500,6.04677
41,0.03226,17.500,6.04355
41,0.02581,17.500,6.05323
42,0.02419,17.500,6.04355
43,0.03548,17.500,6.04355
43,0.04032,17.500,6.04355
44,0.02903,17.500,6.04516
44,0.03387,17.500,6.05161
45,0.04355,17.500,6.03871
46,0.02903,17.500,6.04194
46,0.02419,17.500,6.03871
47,0.03226,17.500,6.03871
47,0.02742,17.500,6.04839
48,0.03226,17.500,6.04194
49,0.02903,17.500,6.04355
49,0.02742,17.500,6.03710
50,0.03065,17.500,6.04194
50,0.02258,17.500,6.04839
51,0.02581,17.500,6.04194
52,0.03387,17.500,6.04194
52,0.03548,17.500,6.03871
53,0.03065,17.500,6.04677
53,0.04032,17.500,6.05000
54,0.02581,17.500,6.04677
55,0.02742,17.500,6.04516
55,0.02419,17.500,6.04516
55,0.03548,17.500,6.04839
55,0.03871,17.500,6.04839
56,0.03387,17.500,6.04355
57,0.03387,17.500,6.04677
57,0.02742,17.500,6.04516
58,0.02903,17.500,6.04355
58,0.03226,17.500,6.05323
59,0.03387,17.500,6.03871
60,0.03710,17.500,6.04355
60,0.02742,17.500,6.04516
61,0.03871,17.500,6.04677
61,0.02581,17.500,6.04032
62,0.02903,17.500,6.03871
63,0.03387,17.500,6.04677
63,0.04516,17.500,6.04355
64,0.02903,17.500,6.04194
64,0.03548,17.500,6.04516
65,0.03871,17.500,6.04194
65,0.02581,17.500,6.04677
66,0.03548,17.500,6.04516
67,0.02742,17.500,6.04032
67,0.03548,17.500,6.04839
68,0.02581,17.500,6.03871
68,0.02903,17.500,6.04355
69,0.03226,17.500,6.04516
70,0.03548,17.500,6.04839
70,0.03226,17.500,6.04032
71,0.03065,17.500,6.03548
71,0.03387,17.500,6.04194
72,0.03065,17.500,6.04516
73,0.03226,17.500,6.04355
73,0.03871,17.500,6.04032
74,0.03548,17.500,6.04516
74,0.03387,17.500,6.04194
75,0.02742,17.500,6.05484
76,0.03548,17.500,6.04194
76,0.03387,17.500,6.03710
77,0.02581,17.500,6.04032
77,0.02258,17.500,6.04194
78,0.02581,17.500,6.04355
79,0.03226,17.500,6.04355
79,0.06774,17.500,6.04839
80,0.02258,17.500,6.03871
80,0.03226,17.500,6.05645
81,0.03871,17.500,6.04839
82,0.03387,17.500,6.04516
82,0.03065,17.500,6.05000
83,0.02742,17.500,6.03871
83,0.02742,17.500,6.04516
84,0.04516,17.500,6.05323
85,0.03548,17.500,6.04194
85,0.03065,17.500,6.04194
86,0.03226,17.500,6.04677
86,0.02903,17.500,6.04194
87,0.03710,17.500,6.05161
88,0.02742,17.500,6.03710
88,0.03387,17.500,6.04355
89,0.03065,17.500,6.04355
89,0.03548,17.500,6.03871
90,0.03548,17.500,6.05000
91,0.03226,17.500,6.03710
91,0.03387,17.500,6.04677
92,0.03226,17.500,6.04516
92,0.02258,17.500,6.03871
93,0.03387,17.500,6.04839
94,0.02903,17.500,6.03871
