timestamp,tds_v,tempC,ph_v
20,0.02419,17.500,6.04032
21,0.02258,17.500,6.03226
21,0.02903,17.500,6.03226
22,0.02742,17.500,6.03226
22,0.02742,17.500,6.04516
23,0.03065,17.500,6.03710
24,0.02742,17.500,6.04032
24,0.02419,17.500,6.03387
25,0.02742,17.500,6.03710
25,0.03710,17.500,6.04032
26,0.03387,17.500,6.04194
27,0.02581,17.500,6.03226
27,0.02097,17.500,6.04194
28,0.01774,17.500,6.03387
28,0.01613,17.500,6.03226
29,0.03065,17.500,6.02581
30,0.02903,17.500,6.04194
30,0.02419,17.500,6.03871
31,0.06613,17.500,6.03710
31,0.03065,17.500,6.04032
32,0.02419,17.500,6.04355
32,0.02419,17.500,6.03710
33,0.03871,17.500,6.03710
34,0.02742,17.500,6.03871
34,0.02903,17.500,6.03710
34,0.04677,17.500,6.04032
34,0.02581,17.500,6.03548
35,0.02419,17.500,6.03710
36,0.03710,17.500,6.03871
36,0.02742,17.500,6.03548
37,0.02903,17.500,6.02742
37,0.03065,17.500,6.03065
38,0.02581,17.500,6.04032
39,0.02258,17.500,6.03871
39,0.02258,17.500,6.03871
40,0.02903,17.500,6.03387
40,0.03065,17.500,6.03065
41,0.03065,17.500,6.03548
42,0.02581,17.500,6.03548
42,0.05645,17.500,6.03871
43,0.02742,17.500,6.03387
43,0.03065,17.500,6.03226
44,0.02581,17.500,6.03387
45,0.02903,17.500,6.03710
45,0.02581,17.500,6.04839
46,0.02419,17.500,6.03548
46,0.03065,17.500,6.03226
47,0.03387,17.500,6.04839
48,0.01129,17.500,6.04355
48,0.02581,17.500,6.04032
49,0.03226,17.500,6.04032
49,0.02742,17.500,6.03226
50,0.02742,17.500,6.04032
51,0.01935,17.500,6.04355
51,0.01613,17.500,6.04032
52,0.01935,17.500,6.03548
52,0.02419,17.500,6.03548
53,0.02903,17.500,6.04194
54,0.03226,17.500,6.04032
54,0.02419,17.500,6.03871
55,0.03226,17.500,6.03226
55,0.01935,17.500,6.03710
56,0.03226,17.500,6.03387
56,0.01774,17.500,6.03387
57,0.02258,17.500,6.04516
58,0.02581,17.500,6.03710
58,0.02742,17.500,6.03548
59,0.01774,17.500,6.03387
59,0.02742,17.500,6.03871
60,0.03226,17.500,6.04032
61,0.02581,17.500,6.03548
61,0.03226,17.500,6.03710
62,0.03548,17.500,6.03548
62,0.02258,17.500,6.03871
63,0.03871,17.500,6.04355
64,0.02742,17.500,6.03548
64,0.03065,17.500,6.03548
65,0.02903,17.500,6.03710
65,0.02742,17.500,6.03387
66,0.03387,17.500,6.04355
67,0.02581,17.500,6.03871
67,0.02742,17.500,6.03226
68,0.02742,17.500,6.04032
68,0.03387,17.500,6.03548
69,0.02258,17.500,6.04355
70,0.02903,17.500,6.03871
70,0.03226,17.500,6.04194
71,0.02097,17.500,6.03065
71,0.02581,17.500,6.03226
72,0.02258,17.500,6.03871
73,0.02419,17.500,6.02742
73,0.02742,17.500,6.03548
74,0.02581,17.500,6.03871
74,0.02903,17.500,6.03710
75,0.03387,17.500,6.03548
75,0.02581,17.500,6.03387
75,0.02581,17.500,6.03710
76,0.02097,17.500,6.04516
76,0.02903,17.500,6.03548
77,0.03226,17.500,6.03387
78,0.03387,17.500,6.03065
78,0.03065,17.500,6.03871
79,0.03387,17.500,6.04677
79,0.03226,17.500,6.03387
80,0.02419,17.500,6.03226
81,0.03226,17.500,6.03387
81,0.03226,17.500,6.03387
82,0.01452,17.500,6.04032
82,0.02742,17.500,6.04355
83,0.02581,17.500,6.03710
83,0.02258,17.500,6.03871
84,0.03226,17.500,6.03871
85,0.01774,17.500,6.04355
85,0.02903,17.500,6.04516
86,0.03065,17.500,6.03871
86,0.03226,17.500,6.04194
87,0.01613,17.500,6.04194
88,0.02581,17.500,6.04355
88,0.02581,17.500,6.03226
89,0.02742,17.500,6.03548
89,0.02419,17.500,6.04194
90,0.02581,17.500,6.03387
91,0.03387,17.500,6.03226
91,0.03065,17.500,6.03226
92,0.02419,17.500,6.03871
92,0.02419,17.500,6.03548
93,0.02742,17.500,6.03548
94,0.02742,17.500,6.03548
