timestamp,tds_v,tempC,ph_v
19,0.05484,17.500,6.03871
19,0.03226,17.500,6.04032
20,0.02581,17.500,6.03387
20,0.03065,17.500,6.04355
21,0.01613,17.500,6.03871
22,0.02258,17.500,6.03387
22,0.02742,17.500,6.03548
23,0.02742,17.500,6.03710
23,0.02258,17.500,6.03871
24,0.01774,17.500,6.04516
25,0.02903,17.500,6.03710
25,0.03065,17.500,6.03710
26,0.02903,17.500,6.04032
26,0.02742,17.500,6.03548
27,0.02258,17.500,6.04516
28,0.02419,17.500,6.04032
28,0.03387,17.500,6.03871
29,0.03387,17.500,6.03226
29,0.01774,17.500,6.03387
30,0.02903,17.500,6.04516
31,0.02903,17.500,6.03871
31,0.02097,17.500,6.03710
32,0.02742,17.500,6.04516
32,0.09355,17.500,6.03871
33,0.04355,17.500,6.03548
34,0.02903,17.500,6.03548
34,0.02581,17.500,6.03871
35,0.02258,17.500,6.03710
35,0.02581,17.500,6.03710
36,0.03548,17.500,6.04355
37,0.03065,17.500,6.03548
37,0.03065,17.500,6.04355
38,0.02581,17.500,6.04516
38,0.02742,17.500,6.04194
39,0.02258,17.500,6.04194
40,0.03065,17.500,6.03387
40,0.02903,17.500,6.04032
41,0.03548,17.500,6.04032
41,0.06613,17.500,6.03548
42,0.02581,17.500,6.04194
43,0.02581,17.500,6.04194
43,0.03226,17.500,6.03871
44,0.03226,17.500,6.03226
44,0.03548,17.500,6.03226
45,0.02903,17.500,6.04677
45,0.02903,17.500,6.04032
46,0.02581,17.500,6.04516
47,0.02903,17.500,6.03871
47,0.02097,17.500,6.03710
48,0.02742,17.500,6.04355
48,0.02258,17.500,6.04032
49,0.02419,17.500,6.04355
49,0.02742,17.500,6.03548
49,0.02419,17.500,6.03710
50,0.01935,17.500,6.03871
50,0.04032,17.500,6.03871
51,0.03548,17.500,6.03226
52,0.03226,17.500,6.04355
52,0.03871,17.500,6.04032
53,0.02097,17.500,6.03871
53,0.03065,17.500,6.03226
54,0.02903,17.500,6.04032
55,0.02742,17.500,6.03710
55,0.02903,17.500,6.04194
56,0.03065,17.500,6.03871
56,0.02903,17.500,6.03387
57,0.03226,17.500,6.03548
58,0.04839,17.500,6.04032
58,0.02419,17.500,6.04516
59,0.02903,17.500,6.03710
59,0.03387,17.500,6.03387
60,0.02097,17.500,6.04194
61,0.02742,17.500,6.04194
61,0.05968,17.500,6.03226
62,0.02903,17.500,6.04032
62,0.02903,17.500,6.03710
63,0.02903,17.500,6.03548
64,0.02419,17.500,6.04194
64,0.03065,17.500,6.04194
65,0.03065,17.500,6.03710
65,0.03387,17.500,6.03548
66,0.03226,17.500,6.03387
67,0.03065,17.500,6.04032
67,0.02581,17.500,6.03387
68,0.02742,17.500,6.02742
68,0.02742,17.500,6.03710
69,0.01774,17.500,6.03548
70,0.02742,17.500,6.03871
70,0.03226,17.500,6.03710
71,0.03226,17.500,6.03871
71,0.03226,17.500,6.03226
72,0.03548,17.500,6.03065
72,0.02742,17.500,6.03226
73,0.02903,17.500,6.03871
74,0.03548,17.500,6.03226
74,0.03065,17.500,6.04194
75,0.03065,17.500,6.03226
75,0.02419,17.500,6.03710
76,0.02903,17.500,6.03226
77,0.03387,17.500,6.03226
77,0.03065,17.500,6.01774
78,0.03065,17.500,6.03548
78,0.02581,17.500,6.04032
79,0.03548,17.500,6.03065
80,0.02903,17.500,6.03548
80,0.02581,17.500,6.03710
81,0.02742,17.500,6.04032
81,0.02097,17.500,6.03548
82,0.02258,17.500,6.03871
83,0.02258,17.500,6.03226
83,0.02742,17.500,6.03387
84,0.03065,17.500,6.04032
84,0.03065,17.500,6.03710
85,0.02742,17.500,6.03710
86,0.03871,17.500,6.04194
86,0.02742,17.500,6.04355
87,0.02581,17.500,6.03871
87,0.02903,17.500,6.03387
88,0.02742,17.500,6.03710
89,0.03065,17.500,6.03710
89,0.03065,17.500,6.04032
90,0.02903,17.500,6.03710
90,0.03065,17.500,6.02903
90,0.02903,17.500,6.03226
90,0.02097,17.500,6.03871
91,0.03387,17.500,6.03871
92,0.02742,17.500,6.03226
92,0.03387,17.500,6.03548
93,0.02097,17.500,6.03387
93,0.02581,17.500,6.03065
94,0.02742,17.500,6.03387
