timestamp,tds_v,tempC,ph_v
20,0.02581,17.500,6.03548
20,0.03387,17.500,6.03387
21,0.03065,17.500,6.03548
22,0.03065,17.500,6.04355
22,0.02581,17.500,6.04355
23,0.03226,17.500,6.03548
23,0.03065,17.500,6.03548
24,0.02903,17.500,6.03226
25,0.03226,17.500,6.04194
25,0.02258,17.500,6.03871
26,0.02903,17.500,6.03226
26,0.02903,17.500,6.03387
27,0.03548,17.500,6.03226
28,0.03065,17.500,6.04194
28,0.02581,17.500,6.03871
29,0.02903,17.500,6.03710
29,0.03710,17.500,6.02903
30,0.03710,17.500,6.03548
30,0.03226,17.500,6.03871
31,0.02742,17.500,6.03710
32,0.02742,17.500,6.04032
32,0.02903,17.500,6.02903
32,0.02903,17.500,6.03548
32,0.02742,17.500,6.03871
33,0.01774,17.500,6.03871
34,0.06613,17.500,6.03226
34,0.02581,17.500,6.03065
35,0.01935,17.500,6.03548
35,0.01452,17.500,6.04194
36,0.03710,17.500,6.03871
37,0.03226,17.500,6.03226
37,0.03387,17.500,6.04032
38,0.03065,17.500,6.04194
38,0.02903,17.500,6.03548
39,0.02581,17.500,6.03710
40,0.02903,17.500,6.02903
40,0.02419,17.500,6.04194
41,0.02258,17.500,6.03871
41,0.03710,17.500,6.03710
42,0.02742,17.500,6.04194
43,0.02258,17.500,6.03548
43,0.02742,17.500,6.03065
44,0.02903,17.500,6.03065
44,0.02903,17.500,6.03387
45,0.02742,17.500,6.04194
46,0.01290,17.500,6.04032
46,0.03065,17.500,6.03710
47,0.03226,17.500,6.03871
47,0.02097,17.500,6.03710
48,0.02903,17.500,6.04516
49,0.02903,17.500,6.03710
49,0.02419,17.500,6.03871
50,0.02903,17.500,6.04194
50,0.03226,17.500,6.04194
51,0.02419,17.500,6.04194
52,0.04194,17.500,6.03871
52,0.03226,17.500,6.04032
53,0.03226,17.500,6.03548
53,0.02097,17.500,6.04194
54,0.03548,17.500,6.04032
54,0.03387,17.500,6.03710
55,0.03065,17.500,6.03871
56,0.02903,17.500,6.03548
56,0.02903,17.500,6.03226
57,0.03226,17.500,6.03710
57,0.02903,17.500,6.03548
58,0.02419,17.500,6.03710
59,0.02903,17.500,6.03710
59,0.02903,17.500,6.04032
60,0.02742,17.500,6.03710
60,0.02742,17.500,6.03710
61,0.02903,17.500,6.03226
62,0.02903,17.500,6.03871
62,0.02581,17.500,6.03871
63,0.02419,17.500,6.04194
63,0.01935,17.500,6.04355
64,0.03065,17.500,6.04516
65,0.03548,17.500,6.04032
65,0.03387,17.500,6.03387
66,0.03226,17.500,6.03226
66,0.03065,17.500,6.02903
67,0.03065,17.500,6.04032
68,0.02742,17.500,6.03548
68,0.02742,17.500,6.03065
69,0.02742,17.500,6.03710
70,0.02258,17.500,6.04355
70,0.01774,17.500,6.03065
71,0.03065,17.500,6.04194
71,0.03387,17.500,6.03548
72,0.02903,17.500,6.03387
72,0.01613,17.500,6.03710
73,0.03226,17.500,6.03548
74,0.02903,17.500,6.03871
74,0.02742,17.500,6.03710
74,0.02903,17.500,6.03871
74,0.02903,17.500,6.03871
75,0.02258,17.500,6.03710
76,0.01935,17.500,6.04355
76,0.03387,17.500,6.04677
77,0.03226,17.500,6.04516
77,0.03387,17.500,6.03710
78,0.03226,17.500,6.04194
79,0.02581,17.500,6.04032
79,0.03065,17.500,6.03387
80,0.03548,17.500,6.03548
80,0.03871,17.500,6.03387
81,0.02742,17.500,6.04032
82,0.03548,17.500,6.03710
82,0.02581,17.500,6.04032
83,0.02903,17.500,6.03710
83,0.02903,17.500,6.03548
84,0.02258,17.500,6.04032
84,0.03065,17.500,6.04194
85,0.02742,17.500,6.03226
86,0.03710,17.500,6.03387
86,0.02419,17.500,6.03871
87,0.02581,17.500,6.03710
87,0.02581,17.500,6.04194
88,0.03065,17.500,6.03710
89,0.02581,17.500,6.04194
89,0.03226,17.500,6.04194
90,0.02581,17.500,6.02903
90,0.02581,17.500,6.03548
91,0.03226,17.500,6.04032
92,0.02903,17.500,6.04194
92,0.02742,17.500,6.03710
93,0.02419,17.500,6.03548
93,0.03065,17.500,6.03065
94,0.03226,17.500,6.03548
