timestamp,tds_v,tempC,ph_v
19,0.02742,17.500,6.03710
19,0.01935,17.500,6.03548
20,0.02742,17.500,6.03871
20,0.01935,17.500,6.04032
21,0.02742,17.500,6.03710
22,0.02581,17.500,6.03710
22,0.03226,17.500,6.03710
23,0.01452,17.500,6.03387
23,0.01452,17.500,6.03710
24,0.02419,17.500,6.04032
25,0.03710,17.500,6.03548
25,0.03226,17.500,6.03387
26,0.02903,17.500,6.04355
26,0.03226,17.500,6.03871
27,0.03065,17.500,6.03548
28,0.02742,17.500,6.03387
28,0.02419,17.500,6.03226
29,0.05484,17.500,6.03871
29,0.02903,17.500,6.03871
30,0.01613,17.500,6.04032
31,0.06290,17.500,6.03387
31,0.03226,17.500,6.03710
32,0.02419,17.500,6.03710
32,0.02903,17.500,6.04032
33,0.02419,17.500,6.03710
34,0.03065,17.500,6.04032
34,0.03065,17.500,6.03548
35,0.03548,17.500,6.04194
35,0.02419,17.500,6.04194
36,0.03065,17.500,6.03387
37,0.01774,17.500,6.03710
37,0.05000,17.500,6.03710
38,0.02581,17.500,6.04032
38,0.02903,17.500,6.04355
39,0.03065,17.500,6.04194
40,0.04677,17.500,6.03710
40,0.02742,17.500,6.04032
41,0.02581,17.500,6.04194
41,0.04677,17.500,6.03871
42,0.06452,17.500,6.04032
43,0.03226,17.500,6.04677
43,0.02742,17.500,6.03710
44,0.02581,17.500,6.04194
44,0.02258,17.500,6.04032
45,0.02581,17.500,6.04516
46,0.03387,17.500,6.03548
46,0.02903,17.500,6.04032
47,0.02419,17.500,6.04516
47,0.02742,17.500,6.04355
48,0.02742,17.500,6.03871
48,0.02903,17.500,6.03710
48,0.00968,17.500,6.04355
49,0.03387,17.500,6.04194
49,0.03387,17.500,6.03387
50,0.02581,17.500,6.03548
50,0.02903,17.500,6.04355
51,0.03065,17.500,6.04355
52,0.02581,17.500,6.04032
52,0.02581,17.500,6.03710
53,0.04032,17.500,6.04194
53,0.02419,17.500,6.03871
54,0.02742,17.500,6.03226
55,0.03226,17.500,6.03065
55,0.03387,17.500,6.04032
56,0.04032,17.500,6.04194
56,0.02581,17.500,6.04032
57,0.02903,17.500,6.04194
58,0.02742,17.500,6.03548
58,0.02581,17.500,6.03871
59,0.02742,17.500,6.03871
59,0.02742,17.500,6.03710
60,0.02419,17.500,6.04194
61,0.02419,17.500,6.03387
61,0.02581,17.500,6.04194
62,0.06129,17.500,6.03871
62,0.02419,17.500,6.04355
63,0.02258,17.500,6.04355
64,0.02742,17.500,6.03871
64,0.02903,17.500,6.03710
65,0.03065,17.500,6.03548
65,0.02581,17.500,6.04516
66,0.03065,17.500,6.04194
66,0.02581,17.500,6.04032
67,0.02581,17.500,6.03710
68,0.02258,17.500,6.04516
68,0.03387,17.500,6.04032
69,0.02903,17.500,6.03548
69,0.03226,17.500,6.03710
70,0.02419,17.500,6.03387
71,0.03226,17.500,6.03871
71,0.02903,17.500,6.03226
72,0.03387,17.500,6.03548
72,0.02581,17.500,6.03226
73,0.03065,17.500,6.03871
74,0.02903,17.500,6.03710
74,0.03065,17.500,6.04516
75,0.02903,17.500,6.03710
75,0.06613,17.500,6.03548
76,0.02581,17.500,6.03871
77,0.02258,17.500,6.03710
77,0.03548,17.500,6.03226
78,0.02419,17.500,6.03871
78,0.05484,17.500,6.04355
79,0.04677,17.500,6.05000
80,0.02581,17.500,6.04516
80,0.03226,17.500,6.03871
81,0.02419,17.500,6.03548
81,0.02258,17.500,6.03226
82,0.03065,17.500,6.04032
83,0.03548,17.500,6.04032
83,0.02742,17.500,6.04194
84,0.02581,17.500,6.03710
84,0.01452,17.500,6.03548
85,0.02097,17.500,6.04194
86,0.03226,17.500,6.03387
86,0.02903,17.500,6.04032
87,0.02419,17.500,6.03548
87,0.01613,17.500,6.03710
88,0.01290,17.500,6.03548
89,0.02903,17.500,6.03710
89,0.02742,17.500,6.03387
89,0.01935,17.500,6.03871
89,0.03065,17.500,6.04516
90,0.02581,17.500,6.03710
91,0.02419,17.500,6.02903
91,0.03065,17.500,6.03871
92,0.02258,17.500,6.03065
92,0.02903,17.500,6.03548
93,0.02742,17.500,6.04032
94,0.02097,17.500,6.03226
