timestamp,tds_v,tempC,ph_v
19,0.03548,25.000,6.03387
19,0.03387,25.000,6.04032
20,0.03548,25.000,6.03710
20,0.02581,25.000,6.04355
21,0.03387,25.000,6.04677
22,0.03065,25.000,6.04032
22,0.02903,25.000,6.04355
23,0.03548,25.000,6.03387
23,0.03226,25.000,6.04032
24,0.03226,25.000,6.05161
25,0.02258,25.000,6.04677
25,0.03226,25.000,6.04032
26,0.03387,25.000,6.04355
26,0.03226,25.000,6.03710
27,0.02581,25.000,6.04355
28,0.02742,25.000,6.03871
28,0.02419,25.000,6.03548
29,0.03710,25.000,6.04194
29,0.04032,25.000,6.04032
30,0.03871,25.000,6.05484
31,0.03548,25.000,6.03871
31,0.03065,25.000,6.04677
32,0.02581,25.000,6.04355
32,0.03387,25.000,6.03387
33,0.03226,25.000,6.04194
34,0.03387,25.000,6.04032
34,0.01613,25.000,6.04194
35,0.02903,25.000,6.04032
35,0.03387,25.000,6.04194
36,0.03387,25.000,6.04677
37,0.03710,25.000,6.04516
37,0.04194,25.000,6.04194
38,0.02903,25.000,6.03226
38,0.04032,25.000,6.03548
39,0.03065,25.000,6.04032
40,0.02258,25.000,6.04677
40,0.03387,25.000,6.04355
41,0.03871,25.000,6.04194
41,0.02742,25.000,6.04032
42,0.03710,25.000,6.04355
43,0.01774,25.000,6.04194
43,0.03226,25.000,6.03710
44,0.03226,25.000,6.03710
44,0.02581,25.000,6.03548
45,0.06452,25.000,6.04839
45,0.03065,25.000,6.03548
46,0.02742,25.000,6.04839
46,0.02419,25.000,6.04516
46,0.03226,25.000,6.05000
47,0.02419,25.000,6.05161
47,0.02903,25.000,6.04516
48,0.03387,25.000,6.03871
49,0.02419,25.000,6.04032
49,0.03226,25.000,6.04032
50,0.04839,25.000,6.04194
50,0.03226,25.000,6.04516
51,0.03226,25.000,6.04194
52,0.02742,25.000,6.04032
52,0.02742,25.000,6.04355
53,0.03065,25.000,6.04677
53,0.02581,25.000,6.04516
54,0.03226,25.000,6.04516
54,0.02258,25.000,6.04677
55,0.04516,25.000,6.04677
56,0.02581,25.000,6.04194
56,0.02581,25.000,6.04516
57,0.02903,25.000,6.04194
57,0.02903,25.000,6.05161
58,0.05645,25.000,6.03065
59,0.02903,25.000,6.04355
59,0.02903,25.000,6.04839
60,0.03065,25.000,6.04194
60,0.03226,25.000,6.04839
61,0.03226,25.000,6.04194
62,0.02581,25.000,6.03871
62,0.03710,25.000,6.04516
63,0.03710,25.000,6.04516
63,0.03871,25.000,6.04355
64,0.03065,25.000,6.04032
65,0.02742,25.000,6.04677
65,0.03226,25.000,6.04032
66,0.03226,25.000,6.04355
66,0.03387,25.000,6.04355
67,0.03548,25.000,6.04032
68,0.02419,25.000,6.04194
68,0.02903,25.000,6.04032
69,0.03387,25.000,6.04516
69,0.03065,25.000,6.04839
70,0.03065,25.000,6.03871
70,0.02742,25.000,6.04194
71,0.03387,25.000,6.04032
72,0.03065,25.000,6.03871
72,0.02742,25.000,6.04516
73,0.03548,25.000,6.04194
73,0.03226,25.000,6.03710
74,0.03065,25.000,6.04032
75,0.03387,25.000,6.04194
75,0.03710,25.000,6.04839
76,0.03387,25.000,6.03871
76,0.02903,25.000,6.03871
77,0.02903,25.000,6.04516
78,0.03871,25.000,6.04194
78,0.03387,25.000,6.05000
79,0.03387,25.000,6.04032
79,0.02742,25.000,6.04032
80,0.03387,25.000,6.03548
81,0.03226,25.000,6.03871
81,0.04032,25.000,6.04516
82,0.03226,25.000,6.04032
82,0.03548,25.000,6.03871
83,0.03871,25.000,6.03871
84,0.03387,25.000,6.03871
84,0.03710,25.000,6.04839
85,0.02903,25.000,6.04032
85,0.03710,25.000,6.04839
86,0.03548,25.000,6.04355
87,0.03548,25.000,6.04032
87,0.04194,25.000,6.04355
88,0.03387,25.000,6.04677
88,0.03710,25.000,6.04194
88,0.04516,25.000,6.04355
88,0.03387,25.000,6.04516
89,0.02097,25.000,6.04677
90,0.03387,25.000,6.04516
90,0.03387,25.000,6.04355
91,0.03387,25.000,6.03871
91,0.03065,25.000,6.04194
92,0.04032,25.000,6.04677
93,0.03871,25.000,6.04032
93,0.03226,25.000,6.03548
94,0.02742,17.500,6.04516
