timestamp,tds_v,tempC,ph_v
20,0.02742,17.500,6.03871
20,0.02903,17.500,6.04516
20,0.02581,17.500,6.04032
21,0.02581,17.500,6.04355
21,0.04194,17.500,6.03871
22,0.02742,17.500,6.04032
22,0.02903,17.500,6.04032
23,0.03065,17.500,6.04355
24,0.03387,17.500,6.03871
24,0.03226,17.500,6.04355
25,0.02903,17.500,6.04194
25,0.03226,17.500,6.03871
26,0.03387,17.500,6.04194
27,0.02742,17.500,6.03387
27,0.03710,17.500,6.04516
28,0.02419,17.500,6.03871
28,0.03387,17.500,6.03871
29,0.03387,17.500,6.04194
30,0.02581,17.500,6.03871
30,0.03065,17.500,6.04194
31,0.02097,17.500,6.04032
31,0.03065,17.500,6.03871
32,0.03710,17.500,6.04839
33,0.03226,17.500,6.03548
33,0.03387,17.500,6.04355
34,0.03226,17.500,6.04194
34,0.02742,17.500,6.03871
35,0.03065,17.500,6.05645
36,0.03065,17.500,6.04194
36,0.03548,17.500,6.05161
37,0.03226,17.500,6.04355
37,0.03065,17.500,6.04032
38,0.03065,17.500,6.04516
38,0.03065,17.500,6.03710
39,0.02419,17.500,6.03548
40,0.03226,17.500,6.03710
40,0.04032,17.500,6.04032
41,0.04516,17.500,6.03710
41,0.03065,17.500,6.04194
42,0.02419,17.500,6.04355
43,0.03226,17.500,6.04032
43,0.03710,17.500,6.03871
44,0.03710,17.500,6.04355
44,0.02903,17.500,6.04516
45,0.03226,17.500,6.03548
46,0.02903,17.500,6.04194
46,0.03226,17.500,6.04194
47,0.01935,17.500,6.04516
47,0.03065,17.500,6.04355
48,0.03387,17.500,6.04355
49,0.02742,17.500,6.04355
49,0.03387,17.500,6.04194
50,0.02581,17.500,6.04516
50,0.02903,17.500,6.03871
51,0.03226,17.500,6.04355
52,0.03226,17.500,6.04355
52,0.02742,17.500,6.04516
53,0.03548,17.500,6.04355
53,0.04032,17.500,6.04355
54,0.03387,17.500,6.04194
55,0.03871,17.500,6.04194
55,0.02258,17.500,6.03548
56,0.03226,17.500,6.05000
56,0.03065,17.500,6.04194
57,0.03871,17.500,6.03710
58,0.03871,17.500,6.04839
58,0.03387,17.500,6.04677
59,0.02903,17.500,6.04516
59,0.03548,17.500,6.04194
60,0.03871,17.500,6.04032
60,0.02581,17.500,6.04516
61,0.03226,17.500,6.04355
62,0.02903,17.500,6.04194
62,0.02419,17.500,6.03871
62,0.02258,17.500,6.04516
62,0.06613,17.500,6.05161
63,0.03065,17.500,6.04032
64,0.03226,17.500,6.04516
64,0.02903,17.500,6.04032
65,0.02903,17.500,6.03710
65,0.02258,17.500,6.04677
66,0.03065,17.500,6.04677
67,0.02097,17.500,6.04194
67,0.03065,17.500,6.03871
68,0.02903,17.500,6.04032
68,0.02581,17.500,6.04355
69,0.03548,17.500,6.04839
70,0.03226,17.500,6.04516
70,0.02419,17.500,6.04516
71,0.03871,17.500,6.04194
71,0.02258,17.500,6.04355
72,0.03226,17.500,6.04032
73,0.03387,17.500,6.04032
73,0.03065,17.500,6.04516
74,0.02581,17.500,6.04516
74,0.03387,17.500,6.04516
75,0.03226,17.500,6.03871
76,0.03710,17.500,6.04032
76,0.02742,17.500,6.04194
77,0.03226,17.500,6.03871
77,0.03871,17.500,6.05161
78,0.02903,17.500,6.04677
79,0.03548,17.500,6.04516
79,0.03226,17.500,6.04677
80,0.05000,17.500,6.03871
80,0.04194,17.500,6.04355
81,0.02742,17.500,6.04032
82,0.02903,17.500,6.04032
82,0.02581,17.500,6.04355
83,0.03226,17.500,6.04516
83,0.06290,17.500,6.04677
84,0.02903,17.500,6.04516
85,0.03710,17.500,6.04677
85,0.02258,17.500,6.05000
86,0.02581,17.500,6.04355
86,0.03387,17.500,6.04516
87,0.03226,17.500,6.03871
88,0.03548,17.500,6.03871
88,0.02903,17.500,6.04194
89,0.03065,17.500,6.03871
89,0.03548,17.500,6.04032
90,0.02097,17.500,6.04032
91,0.02742,17.500,6.04355
91,0.02742,17.500,6.04194
92,0.02742,17.500,6.03871
92,0.03387,17.500,6.04677
93,0.02903,17.500,6.04194
94,0.03387,17.500,6.03710
