timestamp,tds_v,tempC,ph_v
20,0.01935,17.500,6.04677
20,0.02419,17.500,6.04194
21,0.02742,17.500,6.04032
22,0.02258,17.500,6.03548
22,0.02742,17.500,6.04355
23,0.02581,17.500,6.03387
23,0.03226,17.500,6.03387
24,0.02419,17.500,6.03710
24,0.03387,17.500,6.03871
24,0.02581,17.500,6.03710
25,0.02581,17.500,6.03710
25,0.02903,17.500,6.03065
26,0.03065,17.500,6.04355
26,0.02742,17.500,6.03548
27,0.02742,17.500,6.03871
28,0.03226,17.500,6.03065
28,0.02903,17.500,6.03226
29,0.03065,17.500,6.04032
29,0.03065,17.500,6.03548
30,0.02742,17.500,6.04194
31,0.02419,17.500,6.03065
31,0.03226,17.500,6.03871
32,0.03065,17.500,6.04032
32,0.02419,17.500,6.04032
33,0.02903,17.500,6.04677
34,0.02419,17.500,6.03226
34,0.03548,17.500,6.03226
35,0.02419,17.500,6.04516
35,0.02742,17.500,6.04032
36,0.03065,17.500,6.03871
37,0.03065,17.500,6.03871
37,0.02581,17.500,6.03065
38,0.02742,17.500,6.03871
38,0.03226,17.500,6.03548
39,0.02742,17.500,6.03710
40,0.01613,17.500,6.04355
40,0.03065,17.500,6.03548
41,0.03065,17.500,6.04032
41,0.03387,17.500,6.04355
42,0.02581,17.500,6.04516
43,0.02581,17.500,6.03226
43,0.03065,17.500,6.04032
44,0.02258,17.500,6.03871
44,0.02097,17.500,6.04677
45,0.02097,17.500,6.03871
46,0.02581,17.500,6.04032
46,0.03226,17.500,6.04355
47,0.02581,17.500,6.04032
47,0.02742,17.500,6.04032
48,0.02419,17.500,6.03871
49,0.02903,17.500,6.03710
49,0.02258,17.500,6.03871
50,0.03065,17.500,6.03548
50,0.03065,17.500,6.04032
51,0.04839,17.500,6.04032
52,0.02903,17.500,6.03710
52,0.03548,17.500,6.03710
53,0.03226,17.500,6.04032
53,0.02742,17.500,6.03226
54,0.02419,17.500,6.03871
54,0.04194,17.500,6.04032
55,0.02581,17.500,6.03871
56,0.03226,17.500,6.04032
56,0.03226,17.500,6.03548
57,0.03226,17.500,6.04355
57,0.02258,17.500,6.04355
58,0.02581,17.500,6.03871
59,0.03065,17.500,6.03548
59,0.03065,17.500,6.04032
60,0.03065,17.500,6.03548
60,0.03548,17.500,6.04194
61,0.02581,17.500,6.04032
62,0.03387,17.500,6.04194
62,0.03226,17.500,6.03710
63,0.03226,17.500,6.04194
63,0.03387,17.500,6.04355
64,0.03710,17.500,6.04194
65,0.03065,17.500,6.04032
65,0.02742,17.500,6.04355
65,0.03710,17.500,6.03548
65,0.02742,17.500,6.03548
66,0.03065,17.500,6.03387
67,0.02581,17.500,6.03871
67,0.02419,17.500,6.04194
68,0.03871,17.500,6.03548
68,0.02258,17.500,6.03387
69,0.02903,17.500,6.03387
70,0.01935,17.500,6.03871
70,0.02903,17.500,6.03387
71,0.03387,17.500,6.03710
71,0.02258,17.500,6.03710
72,0.02419,17.500,6.03871
73,0.02419,17.500,6.03548
73,0.02581,17.500,6.04032
74,0.03387,17.500,6.04355
74,0.07903,17.500,6.03548
75,0.02742,17.500,6.03226
76,0.02903,17.500,6.04194
76,0.03387,17.500,6.04032
77,0.04194,17.500,6.04677
77,0.03226,17.500,6.03387
78,0.02742,17.500,6.04032
79,0.03387,17.500,6.03387
79,0.03065,17.500,6.03548
80,0.02097,17.500,6.04194
80,0.02097,17.500,6.04032
81,0.02742,17.500,6.04355
82,0.03710,17.500,6.03387
82,0.03387,17.500,6.03710
83,0.03710,17.500,6.03871
83,0.03548,17.500,6.03871
84,0.02903,17.500,6.03710
84,0.03226,17.500,6.04032
85,0.02742,17.500,6.03710
86,0.03548,17.500,6.04677
86,0.02419,17.500,6.03710
87,0.03548,17.500,6.03871
87,0.03226,17.500,6.04677
88,0.02581,17.500,6.03387
89,0.02742,17.500,6.04355
89,0.03387,17.500,6.03226
90,0.02097,17.500,6.03226
90,0.03226,17.500,6.03548
91,0.02903,17.500,6.04032
92,0.02581,17.500,6.03387
92,0.03226,17.500,6.03065
93,0.03065,17.500,6.02903
93,0.03065,17.500,6.03065
94,0.02742,17.500,6.03548
