timestamp,tds_v,tempC,ph_v
20,0.02742,17.500,6.03710
21,0.02742,17.500,6.03871
21,0.03065,17.500,6.03710
22,0.02742,17.500,6.03710
22,0.02742,17.500,6.03710
23,0.02903,17.500,6.03710
24,0.02419,17.500,6.03226
24,0.05000,17.500,6.03226
24,0.02903,17.500,6.03710
24,0.03065,17.500,6.04194
25,0.02742,17.500,6.04032
26,0.03065,17.500,6.03548
26,0.02742,17.500,6.03710
27,0.02742,17.500,6.03226
27,0.02419,17.500,6.04516
28,0.02903,17.500,6.03710
29,0.02903,17.500,6.04194
29,0.02581,17.500,6.03387
30,0.03226,17.500,6.03065
30,0.03065,17.500,6.04677
31,0.02742,17.500,6.03548
32,0.02419,17.500,6.03065
32,0.03065,17.500,6.03387
33,0.02903,17.500,6.03871
33,0.03065,17.500,6.04516
34,0.03548,17.500,6.03871
35,0.03710,17.500,6.03226
35,0.03226,17.500,6.03871
36,0.03710,17.500,6.04032
36,0.02419,17.500,6.04839
37,0.02742,17.500,6.03387
38,0.03065,17.500,6.03548
38,0.02419,17.500,6.04032
39,0.02742,17.500,6.04032
39,0.02419,17.500,6.04839
40,0.02097,17.500,6.03710
41,0.02581,17.500,6.02903
41,0.02903,17.500,6.04032
42,0.02258,17.500,6.03710
42,0.03387,17.500,6.04355
43,0.03387,17.500,6.03871
44,0.02903,17.500,6.03548
44,0.03065,17.500,6.03065
45,0.03065,17.500,6.04194
45,0.02258,17.500,6.03871
46,0.02419,17.500,6.03548
47,0.03387,17.500,6.03548
47,0.02903,17.500,6.04032
48,0.03710,17.500,6.03710
48,0.01774,17.500,6.03871
49,0.03065,17.500,6.03710
49,0.03226,17.500,6.03548
50,0.02419,17.500,6.03871
51,0.02581,17.500,6.03065
51,0.03065,17.500,6.04194
52,0.02581,17.500,6.03710
52,0.03065,17.500,6.03710
53,0.02258,17.500,6.04194
54,0.06613,17.500,6.03710
54,0.02097,17.500,6.03226
55,0.02742,17.500,6.04194
55,0.03710,17.500,6.03871
56,0.02742,17.500,6.03871
57,0.03226,17.500,6.03710
57,0.01613,17.500,6.04194
58,0.02419,17.500,6.03387
58,0.02581,17.500,6.03548
59,0.02097,17.500,6.04355
60,0.02419,17.500,6.03548
60,0.03226,17.500,6.03871
61,0.02581,17.500,6.03710
61,0.02581,17.500,6.04032
62,0.02258,17.500,6.03226
63,0.03226,17.500,6.03710
63,0.02097,17.500,6.04355
64,0.02581,17.500,6.02419
64,0.03226,17.500,6.03387
65,0.03226,17.500,6.04355
66,0.02742,17.500,6.04516
66,0.03548,17.500,6.03871
66,0.03065,17.500,6.03387
66,0.06290,17.500,6.03710
67,0.03387,17.500,6.03871
68,0.02742,17.500,6.04032
68,0.02742,17.500,6.04032
69,0.02258,17.500,6.03548
69,0.02097,17.500,6.03548
70,0.02581,17.500,6.03710
71,0.03871,17.500,6.03548
71,0.02581,17.500,6.03710
72,0.02903,17.500,6.04032
72,0.02903,17.500,6.03710
73,0.02581,17.500,6.03871
73,0.02419,17.500,6.03710
74,0.02581,17.500,6.04032
75,0.03387,17.500,6.04032
75,0.02419,17.500,6.03387
76,0.04355,17.500,6.04032
76,0.03065,17.500,6.03710
77,0.03548,17.500,6.04355
78,0.02419,17.500,6.03548
78,0.01935,17.500,6.03387
79,0.02581,17.500,6.03548
79,0.02742,17.500,6.04194
80,0.02903,17.500,6.04677
81,0.02903,17.500,6.04032
81,0.08387,17.500,6.03710
82,0.02742,17.500,6.03387
82,0.03226,17.500,6.03548
83,0.02581,17.500,6.03871
84,0.02419,17.500,6.03387
84,0.02742,17.500,6.04032
85,0.02903,17.500,6.03871
85,0.02903,17.500,6.03871
86,0.01129,17.500,6.04516
87,0.02742,17.500,6.04194
87,0.02581,17.500,6.03710
88,0.03387,17.500,6.03710
88,0.03226,17.500,6.03710
89,0.02742,17.500,6.04516
90,0.02258,17.500,6.04194
90,0.03065,17.500,6.04516
91,0.02742,17.500,6.04194
91,0.04355,17.500,6.03387
92,0.03710,17.500,6.04355
93,0.03226,17.500,6.04516
93,0.03065,17.500,6.03387
94,0.01935,17.500,6.02742
