timestamp,tds_v,tempC,ph_v
20,0.03387,17.500,6.03548
21,0.01452,17.500,6.04355
22,0.02903,17.500,6.04194
22,0.02581,17.500,6.03871
23,0.03226,17.500,6.04194
23,0.01935,17.500,6.04032
24,0.03065,17.500,6.04516
25,0.03226,17.500,6.04677
25,0.03065,17.500,6.05000
26,0.05161,17.500,6.04516
26,0.02581,17.500,6.04032
27,0.03065,17.500,6.04677
28,0.02742,17.500,6.04355
28,0.03548,17.500,6.04516
29,0.02581,17.500,6.05000
29,0.03387,17.500,6.04032
30,0.03387,17.500,6.04677
31,0.03871,17.500,6.05000
31,0.02742,17.500,6.04032
32,0.02419,17.500,6.04516
32,0.02742,17.500,6.04194
32,0.03548,17.500,6.04516
33,0.03226,17.500,6.04355
33,0.02581,17.500,6.04516
34,0.04677,17.500,6.04839
34,0.03226,17.500,6.04032
35,0.02419,17.500,6.04032
36,0.03065,17.500,6.03871
36,0.03226,17.500,6.03871
37,0.03065,17.500,6.04839
37,0.03226,17.500,6.03710
38,0.02903,17.500,6.03871
39,0.02581,17.500,6.04194
39,0.03226,17.500,6.04194
40,0.03710,17.500,6.05161
40,0.03065,17.500,6.03710
41,0.03387,17.500,6.04516
42,0.03871,17.500,6.04194
42,0.02258,17.500,6.04355
43,0.03226,17.500,6.03710
43,0.05806,17.500,6.04839
44,0.03710,17.500,6.04194
45,0.02581,17.500,6.04355
45,0.03226,17.500,6.04516
46,0.02742,17.500,6.04516
46,0.03548,17.500,6.04516
47,0.02903,17.500,6.04194
47,0.02742,17.500,6.04355
48,0.02097,17.500,6.04194
49,0.02742,17.500,6.04516
49,0.03065,17.500,6.04032
50,0.03387,17.500,6.04194
50,0.02258,17.500,6.04194
51,0.02903,17.500,6.04839
52,0.03065,17.500,6.04516
52,0.03548,17.500,6.03871
53,0.02742,17.500,6.03710
53,0.03387,17.500,6.03871
54,0.03871,17.500,6.04355
55,0.04839,17.500,6.04677
55,0.03387,17.500,6.04677
56,0.03226,17.500,6.04194
56,0.04032,17.500,6.04355
57,0.03387,17.500,6.04032
57,0.03871,17.500,6.04194
58,0.02581,17.500,6.04516
59,0.03065,17.500,6.03710
59,0.02742,17.500,6.04516
60,0.03065,17.500,6.04355
60,0.03065,17.500,6.04355
61,0.03548,17.500,6.03710
62,0.03548,17.500,6.04194
62,0.03387,17.500,6.04355
63,0.03548,17.500,6.04032
63,0.03226,17.500,6.04677
64,0.03710,17.500,6.04032
65,0.02742,17.500,6.04194
65,0.02581,17.500,6.03871
66,0.02581,17.500,6.04032
66,0.03710,17.500,6.04839
67,0.02742,17.500,6.03871
68,0.03226,17.500,6.04839
68,0.03710,17.500,6.05000
69,0.03387,17.500,6.04677
69,0.03710,17.500,6.05323
70,0.03710,17.500,6.04355
71,0.02097,17.500,6.04839
71,0.02742,17.500,6.04194
72,0.03065,17.500,6.04032
72,0.04194,17.500,6.04355
73,0.02258,17.500,6.03710
74,0.03226,17.500,6.04194
74,0.02581,17.500,6.04194
74,0.07742,17.500,6.03710
74,0.05968,17.500,6.04355
75,0.02097,17.500,6.03710
75,0.02742,17.500,6.04355
76,0.03871,17.500,6.04032
77,0.02581,17.500,6.03871
77,0.02903,17.500,6.05000
78,0.03226,17.500,6.03226
78,0.03065,17.500,6.04355
79,0.03387,17.500,6.05000
80,0.04032,17.500,6.04355
80,0.02581,17.500,6.04516
81,0.02258,17.500,6.03548
81,0.03226,17.500,6.04516
82,0.03226,17.500,6.04194
83,0.03871,17.500,6.04516
83,0.03387,17.500,6.04839
84,0.03710,17.500,6.04355
84,0.02742,17.500,6.04194
85,0.02903,17.500,6.04032
86,0.03226,17.500,6.04355
86,0.02419,17.500,6.05161
87,0.02742,17.500,6.03871
87,0.02742,17.500,6.04194
88,0.02742,17.500,6.03548
89,0.03710,17.500,6.03548
89,0.03226,17.500,6.04194
90,0.03226,17.500,6.03710
90,0.03226,17.500,6.04355
91,0.03065,17.500,6.03710
91,0.03710,17.500,6.04516
92,0.03226,17.500,6.04677
92,0.03548,17.500,6.04677
93,0.02742,17.500,6.04677
94,0.02742,17.500,6.04677
