timestamp,tds_v,tempC,ph_v
19,0.02258,17.500,6.04032
20,0.03226,17.500,6.03871
20,0.02903,17.500,6.03548
21,0.03065,17.500,6.03226
21,0.02581,17.500,6.04355
22,0.02581,17.500,6.03387
23,0.02419,17.500,6.03548
23,0.02581,17.500,6.03548
24,0.02419,17.500,6.03226
24,0.03387,17.500,6.03710
25,0.02903,17.500,6.03387
26,0.02097,17.500,6.03387
26,0.03065,17.500,6.02903
27,0.03065,17.500,6.03548
27,0.02742,17.500,6.03871
28,0.02742,17.500,6.04032
29,0.02742,17.500,6.03548
29,0.02903,17.500,6.03387
30,0.03387,17.500,6.03710
30,0.01935,17.500,6.03871
31,0.03226,17.500,6.04032
32,0.02903,17.500,6.03387
32,0.02742,17.500,6.03548
33,0.03226,17.500,6.03548
33,0.02258,17.500,6.03871
34,0.02258,17.500,6.03548
35,0.02742,17.500,6.03710
35,0.02903,17.500,6.03710
36,0.04032,17.500,6.03871
36,0.02903,17.500,6.04194
37,0.02419,17.500,6.03871
38,0.02903,17.500,6.03871
38,0.02742,17.500,6.04032
39,0.02903,17.500,6.04032
39,0.02581,17.500,6.03548
40,0.02258,17.500,6.03871
41,0.03065,17.500,6.03387
41,0.02903,17.500,6.03226
42,0.03548,17.500,6.03710
42,0.03065,17.500,6.04032
43,0.02903,17.500,6.03871
44,0.03226,17.500,6.04032
44,0.02742,17.500,6.03710
45,0.02581,17.500,6.03871
45,0.04355,17.500,6.04516
46,0.02419,17.500,6.04032
47,0.02903,17.500,6.03871
47,0.02419,17.500,6.03871
48,0.03065,17.500,6.03548
48,0.05323,17.500,6.03710
49,0.02097,17.500,6.03065
50,0.02581,17.500,6.03387
50,0.02258,17.500,6.04032
51,0.02419,17.500,6.03387
51,0.02903,17.500,6.03548
52,0.03065,17.500,6.03871
52,0.03548,17.500,6.02742
52,0.02742,17.500,6.04032
53,0.03065,17.500,6.02903
53,0.02419,17.500,6.03548
54,0.02903,17.500,6.03871
55,0.03226,17.500,6.03226
55,0.02258,17.500,6.03871
56,0.02903,17.500,6.03387
56,0.03387,17.500,6.03710
57,0.02903,17.500,6.03226
58,0.03226,17.500,6.04032
58,0.02742,17.500,6.04194
59,0.02419,17.500,6.02581
59,0.02581,17.500,6.03548
60,0.03065,17.500,6.04194
61,0.03226,17.500,6.03226
61,0.02581,17.500,6.03710
62,0.02903,17.500,6.03710
62,0.03387,17.500,6.04032
63,0.02742,17.500,6.04194
64,0.02581,17.500,6.03548
64,0.05645,17.500,6.03548
65,0.03548,17.500,6.04032
65,0.02742,17.500,6.03710
66,0.02903,17.500,6.03226
67,0.03065,17.500,6.04032
67,0.02097,17.500,6.04032
68,0.02419,17.500,6.03387
68,0.03226,17.500,6.04032
69,0.02419,17.500,6.03226
69,0.02258,17.500,6.03226
70,0.03226,17.500,6.03548
71,0.02581,17.500,6.03710
71,0.02903,17.500,6.03871
72,0.02581,17.500,6.04194
72,0.03710,17.500,6.03710
73,0.02903,17.500,6.04355
74,0.03065,17.500,6.03871
74,0.03065,17.500,6.03548
75,0.02903,17.500,6.03871
75,0.03226,17.500,6.03387
76,0.02258,17.500,6.04355
77,0.04194,17.500,6.03226
77,0.02742,17.500,6.03387
78,0.02903,17.500,6.03710
78,0.01452,17.500,6.03871
79,0.01935,17.500,6.04194
80,0.03387,17.500,6.03226
80,0.03065,17.500,6.03710
81,0.02903,17.500,6.04194
81,0.02581,17.500,6.03710
82,0.01935,17.500,6.04032
83,0.02742,17.500,6.02903
83,0.03065,17.500,6.03710
84,0.03065,17.500,6.03710
84,0.03065,17.500,6.03548
85,0.02903,17.500,6.04194
86,0.03065,17.500,6.04194
86,0.02581,17.500,6.03871
87,0.02581,17.500,6.03548
87,0.03387,17.500,6.03871
88,0.02419,17.500,6.03226
89,0.04194,17.500,6.03548
89,0.02742,17.500,6.04032
90,0.02742,17.500,6.03871
90,0.04516,17.500,6.03387
91,0.02742,17.500,6.04194
92,0.02742,17.500,6.04355
92,0.02581,17.500,6.04032
93,0.02742,17.500,6.03387
93,0.02419,17.500,6.04032
94,0.02419,17.500,6.03710
