timestamp,tds_v,tempC,ph_v
20,0.02742,17.500,6.04194
20,0.02742,17.500,6.05000
21,0.04194,17.500,6.04355
21,0.03226,17.500,6.04355
22,0.02903,17.500,6.04194
23,0.02903,17.500,6.04839
23,0.02903,17.500,6.04516
24,0.03065,17.500,6.04516
24,0.02581,17.500,6.05000
25,0.03226,17.500,6.04194
26,0.02742,17.500,6.04032
26,0.02742,17.500,6.04194
27,0.02742,17.500,6.04032
27,0.02742,17.500,6.04355
28,0.03387,17.500,6.04355
29,0.03387,17.500,6.04355
29,0.02903,17.500,6.04194
30,0.01774,17.500,6.04032
30,0.03548,17.500,6.03871
31,0.03871,17.500,6.04032
32,0.03387,17.500,6.04516
32,0.03226,17.500,6.04032
33,0.04355,17.500,6.03871
33,0.02742,17.500,6.03710
33,0.03065,17.500,6.04516
34,0.03387,17.500,6.03871
34,0.02258,17.500,6.03871
35,0.02258,17.500,6.04032
35,0.02419,17.500,6.04355
36,0.01290,17.500,6.05484
37,0.02581,17.500,6.04677
37,0.03548,17.500,6.04032
38,0.03065,17.500,6.05161
38,0.03548,17.500,6.04516
39,0.04032,17.500,6.05323
39,0.03226,17.500,6.04194
40,0.02742,17.500,6.04677
41,0.03387,17.500,6.04032
41,0.03065,17.500,6.04355
42,0.02419,17.500,6.05000
42,0.03387,17.500,6.04032
43,0.03065,17.500,6.04032
44,0.03226,17.500,6.04194
44,0.03226,17.500,6.04194
45,0.02581,17.500,6.04677
45,0.02419,17.500,6.04516
46,0.03065,17.500,6.02903
47,0.03387,17.500,6.04032
47,0.03226,17.500,6.05000
48,0.04194,17.500,6.04516
48,0.03387,17.500,6.03548
49,0.03065,17.500,6.04355
50,0.02903,17.500,6.04839
50,0.02903,17.500,6.03871
51,0.02903,17.500,6.05323
51,0.02258,17.500,6.04194
52,0.03548,17.500,6.04194
53,0.03548,17.500,6.04194
53,0.02419,17.500,6.04355
54,0.03871,17.500,6.04677
54,0.03387,17.500,6.04194
55,0.03065,17.500,6.04516
56,0.02419,17.500,6.03387
56,0.03548,17.500,6.04677
57,0.03548,17.500,6.04516
57,0.02581,17.500,6.04032
58,0.02742,17.500,6.03871
59,0.03226,17.500,6.03387
59,0.02903,17.500,6.04194
60,0.02581,17.500,6.05161
60,0.05161,17.500,6.04839
61,0.02419,17.500,6.04516
62,0.02581,17.500,6.04677
62,0.03548,17.500,6.04194
63,0.03065,17.500,6.04516
63,0.03226,17.500,6.03710
64,0.04032,17.500,6.05323
64,0.03710,17.500,6.04516
65,0.03710,17.500,6.04194
66,0.03226,17.500,6.04194
66,0.03065,17.500,6.04677
67,0.04677,17.500,6.04032
67,0.03710,17.500,6.05323
68,0.03387,17.500,6.03871
69,0.03548,17.500,6.04032
69,0.04032,17.500,6.04355
70,0.03065,17.500,6.04355
70,0.03871,17.500,6.05000
71,0.02903,17.500,6.04032
72,0.03387,17.500,6.04355
72,0.02903,17.500,6.04516
73,0.03387,17.500,6.04839
73,0.03387,17.500,6.05161
74,0.02903,17.500,6.04355
74,0.02742,17.500,6.04032
74,0.02742,17.500,6.04194
75,0.03548,17.500,6.03871
75,0.04194,17.500,6.05161
76,0.03548,17.500,6.04032
76,0.02903,17.500,6.04355
77,0.02742,17.500,6.03871
78,0.02581,17.500,6.04194
78,0.02581,17.500,6.04839
79,0.03548,17.500,6.04032
79,0.02258,17.500,6.04355
80,0.02581,17.500,6.04194
81,0.01935,17.500,6.04839
81,0.02903,17.500,6.04355
82,0.03387,17.500,6.04677
82,0.02742,17.500,6.04839
83,0.05323,17.500,6.05323
84,0.03548,17.500,6.05161
84,0.02742,17.500,6.04516
85,0.04355,17.500,6.03871
85,0.03871,17.500,6.04516
86,0.03387,17.500,6.03710
87,0.02742,17.500,6.04355
87,0.03710,17.500,6.04355
88,0.03548,17.500,6.05161
88,0.03065,17.500,6.04355
89,0.03548,17.500,6.04516
90,0.03065,17.500,6.04677
90,0.03710,17.500,6.05161
91,0.03387,17.500,6.04355
91,0.02581,17.500,6.04194
92,0.03710,17.500,6.03710
93,0.02903,17.500,6.04194
93,0.03387,17.500,6.04677
94,0.02742,17.500,6.04194
