timestamp,tds_v,tempC,ph_v
20,0.02097,17.500,6.04032
20,0.06774,17.500,6.04839
21,0.02581,17.500,6.04677
22,0.02742,17.500,6.04355
22,0.02258,17.500,6.04677
22,0.02258,17.500,6.04355
22,0.03065,17.500,6.04194
23,0.02581,17.500,6.04032
24,0.02419,17.500,6.04032
24,0.04194,17.500,6.04516
25,0.01935,17.500,6.04032
25,0.03226,17.500,6.04194
26,0.02903,17.500,6.04355
27,0.02097,17.500,6.04194
27,0.02581,17.500,6.03871
28,0.03065,17.500,6.04194
28,0.02581,17.500,6.04032
29,0.03548,17.500,6.04677
30,0.03387,17.500,6.03548
30,0.06290,17.500,6.04355
31,0.02419,17.500,6.03710
31,0.02903,17.500,6.03065
32,0.04355,17.500,6.04032
33,0.03226,17.500,6.03871
33,0.02581,17.500,6.04839
34,0.03226,17.500,6.04194
34,0.03226,17.500,6.04032
35,0.02742,17.500,6.04839
36,0.02742,17.500,6.04516
36,0.03226,17.500,6.04032
37,0.02903,17.500,6.04677
37,0.03710,17.500,6.04032
38,0.03548,17.500,6.04516
39,0.03226,17.500,6.04516
39,0.03226,17.500,6.04516
40,0.03065,17.500,6.04194
40,0.04032,17.500,6.04194
41,0.02903,17.500,6.04677
42,0.02742,17.500,6.04516
42,0.03710,17.500,6.04516
43,0.03226,17.500,6.03387
43,0.02258,17.500,6.03710
44,0.02903,17.500,6.05000
45,0.03065,17.500,6.04032
45,0.03065,17.500,6.03871
46,0.03226,17.500,6.04032
46,0.02581,17.500,6.04194
47,0.03548,17.500,6.04032
48,0.02581,17.500,6.04355
48,0.02742,17.500,6.04032
49,0.02903,17.500,6.03871
49,0.03065,17.500,6.03387
50,0.02903,17.500,6.03871
50,0.03226,17.500,6.04839
51,0.04032,17.500,6.04516
52,0.03548,17.500,6.04355
52,0.03387,17.500,6.03548
53,0.03226,17.500,6.05000
53,0.04194,17.500,6.03548
54,0.03226,17.500,6.04194
55,0.02742,17.500,6.04194
55,0.04355,17.500,6.04355
56,0.01774,17.500,6.04194
56,0.03065,17.500,6.03871
57,0.03548,17.500,6.03387
58,0.03065,17.500,6.04677
58,0.02581,17.500,6.04194
59,0.03387,17.500,6.05484
59,0.03226,17.500,6.04355
60,0.03387,17.500,6.04355
61,0.03387,17.500,6.03548
61,0.03548,17.500,6.04677
62,0.04839,17.500,6.04677
62,0.03710,17.500,6.04516
63,0.03871,17.500,6.04355
64,0.03548,17.500,6.05000
64,0.03710,17.500,6.04516
64,0.03226,17.500,6.04194
64,0.02903,17.500,6.03871
65,0.02903,17.500,6.04355
66,0.03226,17.500,6.04194
66,0.03548,17.500,6.04516
67,0.04516,17.500,6.05484
67,0.02903,17.500,6.04194
68,0.03387,17.500,6.04677
69,0.02097,17.500,6.04194
69,0.02903,17.500,6.03871
70,0.02903,17.500,6.04355
70,0.02258,17.500,6.04516
71,0.02258,17.500,6.03710
72,0.03387,17.500,6.04355
72,0.03226,17.500,6.03710
73,0.02742,17.500,6.04677
73,0.02903,17.500,6.03548
74,0.02258,17.500,6.04194
75,0.03710,17.500,6.04032
75,0.03387,17.500,6.04355
76,0.03226,17.500,6.04355
76,0.02903,17.500,6.03710
77,0.02903,17.500,6.04677
78,0.03065,17.500,6.04516
78,0.03065,17.500,6.04677
79,0.03065,17.500,6.04677
79,0.03065,17.500,6.04355
80,0.03387,17.500,6.04032
80,0.02742,17.500,6.03710
81,0.03387,17.500,6.03871
82,0.02419,17.500,6.04677
82,0.03387,17.500,6.04194
83,0.03548,17.500,6.05000
83,0.02581,17.500,6.04194
84,0.03387,17.500,6.04194
85,0.02903,17.500,6.05161
85,0.03065,17.500,6.04194
86,0.03387,17.500,6.04355
86,0.02742,17.500,6.04355
87,0.03548,17.500,6.03871
88,0.02903,17.500,6.04355
88,0.03226,17.500,6.03710
89,0.02903,17.500,6.04516
89,0.02581,17.500,6.04516
90,0.03387,17.500,6.04194
90,0.03710,17.500,6.05484
91,0.03548,17.500,6.03871
92,0.03710,17.500,6.04839
92,0.03387,17.500,6.05000
93,0.02581,17.500,6.04516
93,0.03548,17.500,6.04194
94,0.02742,17.500,6.03871
