timestamp,tds_v,tempC,ph_v
19,0.03226,17.500,6.04194
19,0.03065,17.500,6.04355
20,0.03387,17.500,6.04355
21,0.03065,17.500,6.03871
21,0.02258,17.500,6.04516
22,0.02419,17.500,6.03871
22,0.03387,17.500,6.03871
23,0.02258,17.500,6.04677
24,0.02742,17.500,6.04194
24,0.02903,17.500,6.04839
25,0.04032,17.500,6.04355
25,0.02419,17.500,6.04677
26,0.03226,17.500,6.04677
27,0.03387,17.500,6.04677
27,0.05484,17.500,6.06774
28,0.03226,17.500,6.04355
28,0.03710,17.500,6.04355
29,0.03710,17.500,6.04516
30,0.02581,17.500,6.04677
30,0.04677,17.500,6.04516
31,0.03387,17.500,6.04355
31,0.02742,17.500,6.04839
32,0.03065,17.500,6.05161
33,0.02581,17.500,6.04677
33,0.02097,17.500,6.04839
34,0.03065,17.500,6.04032
34,0.03226,17.500,6.03871
35,0.03548,17.500,6.04194
35,0.03226,17.500,6.04516
36,0.03226,17.500,6.05000
37,0.03387,17.500,6.04516
37,0.03065,17.500,6.04677
38,0.03548,17.500,6.04355
38,0.03226,17.500,6.04516
39,0.02581,17.500,6.05161
40,0.04032,17.500,6.04839
40,0.02742,17.500,6.04355
41,0.02581,17.500,6.04355
41,0.03387,17.500,6.04194
42,0.02581,17.500,6.05484
43,0.03065,17.500,6.03710
43,0.02258,17.500,6.03871
44,0.02903,17.500,6.04516
44,0.03065,17.500,6.03871
45,0.03387,17.500,6.04839
46,0.03065,17.500,6.03871
46,0.03548,17.500,6.03710
47,0.03065,17.500,6.04032
47,0.02258,17.500,6.04516
48,0.02903,17.500,6.03548
49,0.02581,17.500,6.03710
49,0.02581,17.500,6.04677
50,0.01774,17.500,6.04677
50,0.02903,17.500,6.03871
51,0.05323,17.500,6.04677
52,0.02419,17.500,6.04516
52,0.03387,17.500,6.04839
53,0.02742,17.500,6.04677
53,0.03387,17.500,6.05000
54,0.02581,17.500,6.04839
55,0.03387,17.500,6.04194
55,0.03387,17.500,6.03871
56,0.02419,17.500,6.04355
56,0.03387,17.500,6.03710
57,0.03065,17.500,6.04839
57,0.02581,17.500,6.03548
57,0.03065,17.500,6.04194
58,0.01935,17.500,6.04032
58,0.03387,17.500,6.03710
59,0.03387,17.500,6.04839
60,0.02097,17.500,6.03871
60,0.03065,17.500,6.04194
61,0.03065,17.500,6.04032
61,0.03387,17.500,6.04516
62,0.04032,17.500,6.04194
63,0.02903,17.500,6.03387
63,0.03548,17.500,6.03871
64,0.03710,17.500,6.03871
64,0.03387,17.500,6.03871
65,0.02581,17.500,6.04677
66,0.03226,17.500,6.04355
66,0.03548,17.500,6.04194
67,0.04194,17.500,6.04516
67,0.02097,17.500,6.03871
68,0.04355,17.500,6.04355
69,0.03387,17.500,6.04516
69,0.03226,17.500,6.04677
70,0.03065,17.500,6.04677
70,0.02903,17.500,6.04355
71,0.02258,17.500,6.04677
72,0.03065,17.500,6.03871
72,0.02903,17.500,6.03871
73,0.03548,17.500,6.04516
73,0.03065,17.500,6.04516
74,0.02742,17.500,6.05000
75,0.02419,17.500,6.04194
75,0.02903,17.500,6.04355
76,0.02903,17.500,6.04032
76,0.02742,17.500,6.04355
77,0.03065,17.500,6.04516
77,0.03065,17.500,6.04839
78,0.03226,17.500,6.05161
79,0.04677,17.500,6.05645
79,0.04516,17.500,6.05161
80,0.03548,17.500,6.04194
80,0.03226,17.500,6.04355
81,0.02742,17.500,6.03871
82,0.03387,17.500,6.05000
82,0.05000,17.500,6.04194
83,0.02581,17.500,6.05000
83,0.02903,17.500,6.04355
84,0.04355,17.500,6.04516
85,0.03871,17.500,6.03871
85,0.03226,17.500,6.04355
86,0.04194,17.500,6.04677
86,0.02903,17.500,6.04355
87,0.03065,17.500,6.05484
88,0.01935,17.500,6.04194
88,0.02419,17.500,6.04032
89,0.02742,17.500,6.04839
89,0.03065,17.500,6.04516
90,0.03226,17.500,6.04677
91,0.03065,17.500,6.04355
91,0.01774,17.500,6.04839
92,0.02742,17.500,6.05000
92,0.03226,17.500,6.04516
93,0.04677,17.500,6.04677
94,0.05484,17.500,6.04677
