timestamp,tds_v,tempC,ph_v
19,0.02258,17.500,6.02581
20,0.02581,17.500,6.03065
21,0.03548,17.500,6.03065
21,0.02742,17.500,6.03065
22,0.02742,17.500,6.03065
22,0.03548,17.500,6.03065
23,0.03065,17.500,6.03387
23,0.01774,17.500,6.03871
24,0.03387,17.500,6.03548
25,0.02258,17.500,6.03548
25,0.02903,17.500,6.03710
26,0.02419,17.500,6.04355
26,0.02097,17.500,6.04032
27,0.02903,17.500,6.04677
28,0.03871,17.500,6.03548
28,0.02742,17.500,6.03387
29,0.02903,17.500,6.04194
29,0.02419,17.500,6.03548
30,0.01935,17.500,6.03710
31,0.04032,17.500,6.04355
31,0.02742,17.500,6.03548
32,0.03065,17.500,6.03710
32,0.04032,17.500,6.03548
33,0.02258,17.500,6.03226
34,0.01774,17.500,6.04032
34,0.03226,17.500,6.04677
35,0.03065,17.500,6.03710
35,0.02419,17.500,6.04032
36,0.03065,17.500,6.03710
36,0.01935,17.500,6.03548
37,0.01774,17.500,6.02903
38,0.03065,17.500,6.03065
38,0.02903,17.500,6.03387
38,0.02903,17.500,6.03548
38,0.02903,17.500,6.04032
39,0.03226,17.500,6.03226
40,0.03548,17.500,6.04032
40,0.02581,17.500,6.03548
41,0.03065,17.500,6.03065
41,0.03065,17.500,6.03226
42,0.02419,17.500,6.03548
43,0.04677,17.500,6.03065
43,0.02258,17.500,6.04032
44,0.02258,17.500,6.03226
44,0.03710,17.500,6.03871
45,0.03387,17.500,6.03871
46,0.02742,17.500,6.04032
46,0.02742,17.500,6.03710
47,0.03065,17.500,6.03548
47,0.03226,17.500,6.02903
48,0.02903,17.500,6.03871
49,0.02903,17.500,6.03710
49,0.03387,17.500,6.03226
50,0.02581,17.500,6.04194
50,0.03387,17.500,6.03871
51,0.02742,17.500,6.03710
52,0.03065,17.500,6.03226
52,0.02581,17.500,6.04032
53,0.04839,17.500,6.03065
53,0.02742,17.500,6.03387
54,0.02419,17.500,6.04355
55,0.03548,17.500,6.04032
55,0.02742,17.500,6.03387
56,0.03065,17.500,6.03387
56,0.03387,17.500,6.03710
57,0.02097,17.500,6.04032
58,0.02258,17.500,6.03387
58,0.03065,17.500,6.03548
59,0.02581,17.500,6.03548
59,0.02903,17.500,6.03226
60,0.03226,17.500,6.04355
61,0.02258,17.500,6.04677
61,0.02097,17.500,6.03710
62,0.02581,17.500,6.04355
62,0.03710,17.500,6.03387
63,0.03871,17.500,6.03710
63,0.02742,17.500,6.03226
64,0.02903,17.500,6.04194
65,0.03065,17.500,6.03871
65,0.02903,17.500,6.03387
66,0.02581,17.500,6.03871
66,0.02903,17.500,6.04194
67,0.03387,17.500,6.03710
68,0.03548,17.500,6.03548
68,0.02258,17.500,6.04194
69,0.02419,17.500,6.04032
69,0.03871,17.500,6.03387
70,0.02419,17.500,6.03548
71,0.02419,17.500,6.03871
71,0.03548,17.500,6.03871
72,0.04194,17.500,6.04194
72,0.02903,17.500,6.03226
73,0.03065,17.500,6.03710
74,0.02258,17.500,6.03710
74,0.03065,17.500,6.03871
75,0.03226,17.500,6.03871
75,0.03065,17.500,6.03548
76,0.03871,17.500,6.03710
77,0.02742,17.500,6.03710
77,0.03065,17.500,6.04032
78,0.02419,17.500,6.04032
78,0.03065,17.500,6.03226
79,0.02581,17.500,6.03871
80,0.02419,17.500,6.03065
80,0.02742,17.500,6.03226
80,0.02742,17.500,6.04032
80,0.02742,17.500,6.03226
81,0.02742,17.500,6.03226
82,0.02903,17.500,6.03065
82,0.03065,17.500,6.03548
83,0.02581,17.500,6.03871
83,0.03548,17.500,6.03387
84,0.03226,17.500,6.03710
85,0.02903,17.500,6.03871
85,0.02903,17.500,6.03871
86,0.03226,17.500,6.03871
86,0.02903,17.500,6.03710
87,0.02419,17.500,6.03387
87,0.03387,17.500,6.04355
88,0.02581,17.500,6.04516
89,0.02097,17.500,6.03710
89,0.03226,17.500,6.03548
90,0.02903,17.500,6.03871
90,0.02903,17.500,6.04032
91,0.02419,17.500,6.03710
92,0.02742,17.500,6.04677
92,0.03226,17.500,6.04355
93,0.02419,17.500,6.03226
93,0.02742,17.500,6.04355
94,0.03065,17.500,6.04032
