timestamp,tds_v,tempC,ph_v
19,0.02903,17.500,6.04516
20,0.02903,17.500,6.04194
20,0.03548,17.500,6.04032
21,0.02903,17.500,6.04355
22,0.01935,17.500,6.05000
22,0.03387,17.500,6.04516
23,0.03226,17.500,6.04516
23,0.03387,17.500,6.05000
24,0.02742,17.500,6.05000
25,0.04032,17.500,6.05323
25,0.03710,17.500,6.04677
26,0.03387,17.500,6.04355
26,0.03387,17.500,6.04194
27,0.02742,17.500,6.04355
28,0.02903,17.500,6.05323
28,0.02742,17.500,6.04839
29,0.02903,17.500,6.03871
29,0.03387,17.500,6.04839
30,0.03226,17.500,6.04677
31,0.03710,17.500,6.05000
31,0.02581,17.500,6.04355
32,0.03065,17.500,6.04677
32,0.03065,17.500,6.04677
33,0.03065,17.500,6.04032
33,0.02258,17.500,6.04516
34,0.02742,17.500,6.04032
35,0.03387,17.500,6.04032
35,0.03548,17.500,6.03548
36,0.03548,17.500,6.04516
36,0.02903,17.500,6.04355
37,0.02903,17.500,6.03871
38,0.02903,17.500,6.04677
38,0.03710,17.500,6.04516
39,0.03387,17.500,6.04839
39,0.03387,17.500,6.04355
40,0.02903,17.500,6.04355
40,0.02903,17.500,6.04194
40,0.03387,17.500,6.04355
41,0.03226,17.500,6.03710
41,0.02742,17.500,6.04677
42,0.03387,17.500,6.04194
43,0.03710,17.500,6.04516
43,0.02742,17.500,6.03710
44,0.02742,17.500,6.04355
44,0.03226,17.500,6.04677
45,0.02742,17.500,6.03710
46,0.02903,17.500,6.04194
46,0.02742,17.500,6.04032
47,0.03065,17.500,6.04355
47,0.04516,17.500,6.04516
48,0.03226,17.500,6.03871
49,0.02742,17.500,6.04032
49,0.03226,17.500,6.04516
50,0.02742,17.500,6.03710
50,0.03065,17.500,6.04355
51,0.03226,17.500,6.04032
52,0.02581,17.500,6.04194
52,0.03548,17.500,6.04194
53,0.03387,17.500,6.04194
53,0.04194,17.500,6.05161
54,0.03226,17.500,6.04194
55,0.03548,17.500,6.04516
55,0.02742,17.500,6.04194
56,0.03065,17.500,6.03710
56,0.04194,17.500,6.04032
57,0.02903,17.500,6.04355
58,0.02581,17.500,6.04516
58,0.01935,17.500,6.04677
59,0.03710,17.500,6.04516
59,0.04032,17.500,6.04516
60,0.03387,17.500,6.03548
61,0.02903,17.500,6.04194
61,0.03226,17.500,6.03710
62,0.03387,17.500,6.03387
62,0.02903,17.500,6.04516
63,0.03710,17.500,6.05000
64,0.03226,17.500,6.04355
64,0.03065,17.500,6.04516
65,0.01452,17.500,6.03065
65,0.02903,17.500,6.04355
66,0.03548,17.500,6.04194
67,0.03226,17.500,6.03710
67,0.03387,17.500,6.03871
68,0.03710,17.500,6.03387
68,0.05161,17.500,6.04355
69,0.02258,17.500,6.04194
70,0.03548,17.500,6.04032
70,0.03710,17.500,6.04032
71,0.03548,17.500,6.04194
71,0.03387,17.500,6.05000
72,0.03548,17.500,6.04355
73,0.03065,17.500,6.04355
73,0.02903,17.500,6.04516
74,0.03226,17.500,6.04355
74,0.05161,17.500,6.03871
75,0.03710,17.500,6.03871
76,0.02903,17.500,6.04839
76,0.03387,17.500,6.04677
77,0.03387,17.500,6.03710
77,0.02903,17.500,6.05161
78,0.01613,17.500,6.04355
79,0.03548,17.500,6.03871
79,0.02581,17.500,6.03871
80,0.02419,17.500,6.04355
80,0.03387,17.500,6.04516
81,0.02419,17.500,6.04516
82,0.02097,17.500,6.04516
82,0.03065,17.500,6.04194
82,0.02903,17.500,6.04194
82,0.03871,17.500,6.04194
83,0.02742,17.500,6.03871
83,0.03871,17.500,6.03548
84,0.03387,17.500,6.03871
85,0.03065,17.500,6.04516
85,0.02742,17.500,6.03871
86,0.02581,17.500,6.04032
86,0.03065,17.500,6.03871
87,0.03387,17.500,6.04194
88,0.03710,17.500,6.04032
88,0.03226,17.500,6.04194
89,0.03548,17.500,6.04355
89,0.03226,17.500,6.04194
90,0.03710,17.500,6.04194
91,0.02742,17.500,6.03871
91,0.02742,17.500,6.05000
92,0.03387,17.500,6.04194
92,0.05000,17.500,6.04516
93,0.02419,17.500,6.04355
94,0.02097,17.500,6.04194
