timestamp,tds_v,tempC,ph_v
19,0.02419,17.500,6.03548
20,0.02903,17.500,6.04194
21,0.02903,17.500,6.03710
21,0.03387,17.500,6.03387
21,0.02903,17.500,6.03871
21,0.02258,17.500,6.03548
22,0.03226,17.500,6.02581
22,0.03065,17.500,6.03387
23,0.02419,17.500,6.03226
24,0.01290,17.500,6.04032
24,0.02419,17.500,6.03548
25,0.02742,17.500,6.03065
25,0.02742,17.500,6.03548
26,0.03548,17.500,6.04194
27,0.02097,17.500,6.03548
27,0.02742,17.500,6.03710
28,0.02581,17.500,6.03548
28,0.02419,17.500,6.03548
29,0.04032,17.500,6.02903
30,0.03065,17.500,6.04032
30,0.02903,17.500,6.04516
31,0.02742,17.500,6.03387
31,0.01935,17.500,6.03548
32,0.02419,17.500,6.03226
33,0.02258,17.500,6.03710
33,0.02581,17.500,6.04194
34,0.02903,17.500,6.03871
34,0.02903,17.500,6.04194
35,0.03387,17.500,6.03710
36,0.03387,17.500,6.03387
36,0.02419,17.500,6.03226
37,0.02903,17.500,6.02903
37,0.02581,17.500,6.03226
38,0.02903,17.500,6.04355
38,0.02419,17.500,6.03710
39,0.03065,17.500,6.03871
40,0.03226,17.500,6.03065
40,0.02903,17.500,6.03871
41,0.02742,17.500,6.04194
41,0.03387,17.500,6.03871
42,0.02742,17.500,6.03710
43,0.02581,17.500,6.04194
43,0.03065,17.500,6.03387
44,0.02581,17.500,6.03387
44,0.02419,17.500,6.03548
45,0.02742,17.500,6.03387
46,0.03065,17.500,6.03548
46,0.02742,17.500,6.03387
47,0.03065,17.500,6.03226
47,0.02742,17.500,6.04194
48,0.03065,17.500,6.03548
49,0.02581,17.500,6.03387
49,0.02742,17.500,6.03710
50,0.02581,17.500,6.03710
50,0.01774,17.500,6.03548
51,0.03387,17.500,6.03548
52,0.03065,17.500,6.03226
52,0.02419,17.500,6.03226
53,0.02742,17.500,6.03548
53,0.02903,17.500,6.04516
54,0.02419,17.500,6.03226
55,0.03387,17.500,6.03387
55,0.02742,17.500,6.03710
56,0.02258,17.500,6.03387
56,0.02258,17.500,6.04032
57,0.02581,17.500,6.03710
58,0.02419,17.500,6.03871
58,0.02097,17.500,6.02742
59,0.01935,17.500,6.03387
59,0.01935,17.500,6.03387
60,0.03548,17.500,6.03871
61,0.03065,17.500,6.03548
61,0.03065,17.500,6.03548
62,0.03387,17.500,6.03710
62,0.03065,17.500,6.04032
63,0.02903,17.500,6.03548
63,0.02903,17.500,6.03710
63,0.03387,17.500,6.04194
64,0.03065,17.500,6.03548
64,0.02742,17.500,6.03710
65,0.02903,17.500,6.03548
66,0.02903,17.500,6.03871
66,0.06613,17.500,6.04032
67,0.02903,17.500,6.03871
67,0.03226,17.500,6.03548
68,0.02742,17.500,6.03871
68,0.02581,17.500,6.04032
69,0.02419,17.500,6.03710
70,0.03065,17.500,6.03226
70,0.04032,17.500,6.03871
71,0.02742,17.500,6.03065
71,0.03387,17.500,6.04032
72,0.03226,17.500,6.03387
73,0.04194,17.500,6.03548
73,0.03387,17.500,6.03548
74,0.03387,17.500,6.03548
74,0.01935,17.500,6.03871
75,0.02903,17.500,6.03065
76,0.02581,17.500,6.03871
76,0.02903,17.500,6.03710
77,0.03387,17.500,6.03387
78,0.02581,17.500,6.04032
78,0.02903,17.500,6.03226
79,0.02742,17.500,6.03065
79,0.02581,17.500,6.03548
80,0.02419,17.500,6.03871
81,0.02419,17.500,6.03548
81,0.02742,17.500,6.03871
82,0.02581,17.500,6.03226
82,0.02742,17.500,6.03548
83,0.02419,17.500,6.04032
83,0.02903,17.500,6.04032
84,0.03226,17.500,6.04677
85,0.02581,17.500,6.03871
85,0.03226,17.500,6.03387
86,0.02581,17.500,6.03548
86,0.03226,17.500,6.03387
87,0.03065,17.500,6.03710
88,0.02903,17.500,6.03226
88,0.02742,17.500,6.04032
89,0.02742,17.500,6.03710
89,0.04032,17.500,6.03548
90,0.03710,17.500,6.03871
91,0.03226,17.500,6.03226
91,0.02742,17.500,6.03871
92,0.02742,17.500,6.03871
92,0.02419,17.500,6.04355
93,0.02742,17.500,6.04032
94,0.05323,17.500,6.03548
