timestamp,tds_v,tempC,ph_v
19,0.02742,17.500,6.03710
20,0.02742,17.500,6.04516
20,0.02903,17.500,6.04032
21,0.02419,17.500,6.04194
21,0.03387,17.500,6.04839
22,0.03065,17.500,6.04677
23,0.02903,17.500,6.03710
23,0.03226,17.500,6.04355
24,0.03387,17.500,6.03710
24,0.03548,17.500,6.04355
25,0.02581,17.500,6.04355
26,0.03226,17.500,6.04355
26,0.02258,17.500,6.04194
27,0.02581,17.500,6.05000
27,0.02903,17.500,6.05161
28,0.05161,17.500,6.04839
29,0.02903,17.500,6.04355
29,0.02903,17.500,6.05000
30,0.03548,17.500,6.03871
30,0.03065,17.500,6.05000
31,0.02258,17.500,6.04194
32,0.02742,17.500,6.04032
32,0.03387,17.500,6.04194
33,0.03065,17.500,6.04032
33,0.02903,17.500,6.03387
34,0.03710,17.500,6.04516
35,0.03065,17.500,6.04032
35,0.02581,17.500,6.03871
36,0.06452,17.500,6.04194
36,0.02581,17.500,6.04839
37,0.03226,17.500,6.04032
38,0.03548,17.500,6.03548
38,0.02258,17.500,6.04194
39,0.03871,17.500,6.04677
39,0.03710,17.500,6.04839
40,0.02742,17.500,6.04355
40,0.03065,17.500,6.04032
41,0.03387,17.500,6.04355
42,0.03065,17.500,6.04194
42,0.03871,17.500,6.04839
43,0.02903,17.500,6.03871
43,0.04194,17.500,6.04355
44,0.03387,17.500,6.04032
45,0.03548,17.500,6.04194
45,0.04032,17.500,6.05323
46,0.03710,17.500,6.04032
46,0.03226,17.500,6.04194
47,0.02742,17.500,6.04032
48,0.03710,17.500,6.04677
48,0.01452,17.500,6.04032
49,0.02903,17.500,6.03387
49,0.02742,17.500,6.04516
50,0.03871,17.500,6.04355
51,0.03226,17.500,6.03871
51,0.02258,17.500,6.04355
52,0.02903,17.500,6.04677
52,0.02903,17.500,6.05161
53,0.03710,17.500,6.03710
54,0.03226,17.500,6.03871
54,0.02903,17.500,6.04355
55,0.03226,17.500,6.04677
55,0.03065,17.500,6.04032
56,0.03065,17.500,6.03548
57,0.03226,17.500,6.03710
57,0.02742,17.500,6.04355
57,0.02742,17.500,6.04194
57,0.03871,17.500,6.05161
58,0.06613,17.500,6.05000
59,0.02581,17.500,6.04194
59,0.02742,17.500,6.04032
60,0.03710,17.500,6.04194
60,0.03871,17.500,6.04516
61,0.03387,17.500,6.04355
62,0.04677,17.500,6.03548
62,0.03226,17.500,6.04677
63,0.02258,17.500,6.04194
63,0.02742,17.500,6.04194
64,0.03710,17.500,6.04032
65,0.02742,17.500,6.04355
65,0.02419,17.500,6.04677
66,0.02903,17.500,6.04355
66,0.03226,17.500,6.04839
67,0.02419,17.500,6.03871
67,0.03226,17.500,6.04677
68,0.03065,17.500,6.04516
69,0.02742,17.500,6.04516
69,0.03226,17.500,6.03871
70,0.04032,17.500,6.03710
70,0.03065,17.500,6.04032
71,0.02581,17.500,6.04355
72,0.02419,17.500,6.04677
72,0.03226,17.500,6.04677
73,0.03387,17.500,6.04839
73,0.03387,17.500,6.04355
74,0.02742,17.500,6.04516
75,0.02258,17.500,6.04194
75,0.03548,17.500,6.04194
76,0.03387,17.500,6.04355
76,0.02903,17.500,6.03871
77,0.03387,17.500,6.04355
78,0.03387,17.500,6.03871
78,0.02903,17.500,6.04194
79,0.02903,17.500,6.04355
79,0.02581,17.500,6.04355
80,0.01935,17.500,6.03871
81,0.02903,17.500,6.04194
81,0.04194,17.500,6.05000
82,0.03226,17.500,6.05000
82,0.03226,17.500,6.04355
83,0.04194,17.500,6.05000
84,0.03065,17.500,6.04516
84,0.02903,17.500,6.03710
85,0.03065,17.500,6.03710
85,0.03226,17.500,6.03710
86,0.04032,17.500,6.04032
87,0.03065,17.500,6.03548
87,0.02742,17.500,6.03871
88,0.02258,17.500,6.04194
88,0.06452,17.500,6.04677
89,0.02742,17.500,6.04839
89,0.03871,17.500,6.04355
90,0.02581,17.500,6.03871
91,0.02903,17.500,6.04194
91,0.01935,17.500,6.04032
92,0.02903,17.500,6.04839
92,0.03871,17.500,6.04194
93,0.02742,17.500,6.04516
94,0.03226,17.500,6.04194
