timestamp,tds_v,tempC,ph_v
18,0.03226,17.500,6.03226
19,0.02258,17.500,6.03065
20,0.02419,17.500,6.03548
20,0.02903,17.500,6.03548
21,0.03387,17.500,6.04032
21,0.02581,17.500,6.03871
22,0.02097,17.500,6.03710
22,0.02742,17.500,6.03548
23,0.02581,17.500,6.03387
24,0.04516,17.500,6.04355
24,0.02903,17.500,6.03710
25,0.02903,17.500,6.03387
25,0.03548,17.500,6.03548
26,0.02097,17.500,6.04032
27,0.01613,17.500,6.04677
27,0.02419,17.500,6.04032
28,0.03226,17.500,6.03710
28,0.02258,17.500,6.03871
29,0.03226,17.500,6.04032
30,0.02742,17.500,6.03548
30,0.02419,17.500,6.03226
31,0.03226,17.500,6.03710
31,0.02742,17.500,6.04032
32,0.02742,17.500,6.04194
33,0.02903,17.500,6.03387
33,0.03548,17.500,6.04516
34,0.02581,17.500,6.03871
34,0.01935,17.500,6.04032
35,0.02903,17.500,6.03548
36,0.02742,17.500,6.02903
36,0.02258,17.500,6.03710
37,0.02419,17.500,6.03065
37,0.02581,17.500,6.03226
38,0.03065,17.500,6.03226
38,0.02419,17.500,6.03226
39,0.02419,17.500,6.03387
40,0.02419,17.500,6.03710
40,0.03710,17.500,6.04032
41,0.02742,17.500,6.04355
41,0.03065,17.500,6.03548
42,0.02258,17.500,6.03871
43,0.02742,17.500,6.03387
43,0.02903,17.500,6.04355
44,0.02742,17.500,6.03548
44,0.02903,17.500,6.04355
45,0.02903,17.500,6.04032
46,0.02742,17.500,6.03871
46,0.03387,17.500,6.03710
47,0.03387,17.500,6.03710
47,0.02903,17.500,6.04677
47,0.06290,17.500,6.03710
48,0.02903,17.500,6.03871
48,0.03226,17.500,6.03387
49,0.02258,17.500,6.03226
49,0.02097,17.500,6.03548
50,0.02097,17.500,6.03548
51,0.02903,17.500,6.03226
51,0.02742,17.500,6.03871
52,0.01290,17.500,6.04355
52,0.02581,17.500,6.03871
53,0.01935,17.500,6.04355
54,0.02742,17.500,6.04194
54,0.00968,17.500,6.03871
55,0.02903,17.500,6.03387
55,0.02258,17.500,6.03871
56,0.03548,17.500,6.03548
57,0.02258,17.500,6.03710
57,0.02581,17.500,6.04032
58,0.03065,17.500,6.04032
58,0.03548,17.500,6.04194
59,0.02903,17.500,6.04194
60,0.02903,17.500,6.03387
60,0.02742,17.500,6.04194
61,0.03387,17.500,6.03871
61,0.02903,17.500,6.04194
62,0.02581,17.500,6.04032
63,0.02742,17.500,6.03548
63,0.03871,17.500,6.03710
64,0.02581,17.500,6.03710
64,0.02742,17.500,6.04516
65,0.01935,17.500,6.03871
65,0.02903,17.500,6.03548
66,0.02581,17.500,6.04194
67,0.03226,17.500,6.03548
67,0.02097,17.500,6.03871
68,0.02581,17.500,6.03871
68,0.02742,17.500,6.04194
69,0.01774,17.500,6.04032
70,0.06290,17.500,6.03387
70,0.03710,17.500,6.04032
71,0.03226,17.500,6.03065
71,0.02742,17.500,6.04355
72,0.02581,17.500,6.03710
73,0.03065,17.500,6.03871
73,0.02742,17.500,6.04194
74,0.02903,17.500,6.03871
74,0.02742,17.500,6.03387
75,0.03548,17.500,6.04194
76,0.02903,17.500,6.04516
76,0.03226,17.500,6.04194
77,0.03065,17.500,6.03871
77,0.02903,17.500,6.03387
78,0.03065,17.500,6.03548
79,0.02742,17.500,6.04032
79,0.02903,17.500,6.04194
80,0.02581,17.500,6.03548
80,0.03065,17.500,6.04194
81,0.03226,17.500,6.04355
82,0.03226,17.500,6.03871
82,0.02097,17.500,6.03548
83,0.02742,17.500,6.03871
83,0.03065,17.500,6.03871
84,0.02903,17.500,6.03548
85,0.04194,17.500,6.03065
85,0.04194,17.500,6.03871
86,0.02581,17.500,6.03387
86,0.03226,17.500,6.03710
87,0.02903,17.500,6.04032
87,0.02742,17.500,6.04194
88,0.03065,17.500,6.03226
89,0.02903,17.500,6.03871
89,0.03065,17.500,6.03710
89,0.02742,17.500,6.04032
89,0.03065,17.500,6.03548
90,0.02903,17.500,6.03871
91,0.02903,17.500,6.04355
91,0.02419,17.500,6.04194
92,0.01935,17.500,6.03226
92,0.03387,17.500,6.03548
93,0.03548,17.500,6.03871
94,0.02419,17.500,6.03871
