timestamp,tds_v,tempC,ph_v
19,0.02581,25.000,6.04516
20,0.02581,25.000,6.04355
20,0.02419,25.000,6.04355
21,0.02419,25.000,6.04032
21,0.02258,25.000,6.04194
22,0.02742,25.000,6.04194
23,0.02258,25.000,6.04194
23,0.02581,25.000,6.04194
24,0.03065,25.000,6.03710
24,0.02419,25.000,6.04677
25,0.02419,25.000,6.04032
26,0.02903,25.000,6.03710
26,0.02903,25.000,6.03871
27,0.02419,25.000,6.04032
27,0.03226,25.000,6.04516
28,0.02742,25.000,6.04032
29,0.02742,25.000,6.03871
29,0.05968,25.000,6.03548
30,0.02581,25.000,6.03871
30,0.03710,25.000,6.04516
31,0.03065,25.000,6.03710
32,0.03710,25.000,6.04355
32,0.03387,25.000,6.03065
33,0.02903,25.000,6.04355
33,0.03548,25.000,6.04032
34,0.02419,25.000,6.03710
35,0.02419,25.000,6.04194
35,0.02903,25.000,6.03871
36,0.05000,25.000,6.04677
36,0.01935,25.000,6.04355
37,0.03065,25.000,6.04032
37,0.02903,25.000,6.04677
38,0.02903,25.000,6.04516
39,0.03065,25.000,6.03871
39,0.02742,25.000,6.04032
40,0.02419,25.000,6.04194
40,0.03065,25.000,6.04516
41,0.03065,25.000,6.03871
42,0.01935,25.000,6.04355
42,0.03226,25.000,6.04355
43,0.02742,25.000,6.04194
43,0.03226,25.000,6.05000
44,0.03548,25.000,6.04355
45,0.03065,25.000,6.03710
45,0.02581,25.000,6.04677
46,0.03226,25.000,6.03226
46,0.03548,25.000,6.03548
47,0.03065,25.000,6.03548
48,0.03387,25.000,6.03871
48,0.02581,25.000,6.03871
49,0.02419,25.000,6.03548
49,0.03548,25.000,6.04194
50,0.03710,25.000,6.03710
51,0.03226,25.000,6.03548
51,0.02742,25.000,6.03871
52,0.02903,25.000,6.03871
52,0.03065,25.000,6.04355
53,0.02419,25.000,6.03710
53,0.03226,25.000,6.03710
54,0.02419,25.000,6.04032
55,0.02742,25.000,6.03710
55,0.02903,25.000,6.03548
56,0.02903,25.000,6.04516
56,0.04516,25.000,6.03871
57,0.03710,25.000,6.04677
58,0.02419,25.000,6.03871
58,0.02581,25.000,6.03871
58,0.03548,25.000,6.03710
58,0.02419,25.000,6.03226
59,0.03226,25.000,6.03871
60,0.03065,25.000,6.04194
60,0.03548,25.000,6.03710
61,0.03226,25.000,6.03065
61,0.03226,25.000,6.03710
62,0.03065,25.000,6.04032
63,0.03548,25.000,6.03226
63,0.03226,25.000,6.03226
64,0.02419,25.000,6.04516
64,0.03065,25.000,6.04355
65,0.03387,25.000,6.04194
66,0.02742,25.000,6.04032
66,0.01452,25.000,6.03871
67,0.03871,25.000,6.03871
67,0.02742,25.000,6.04032
68,0.02742,25.000,6.04194
68,0.02581,25.000,6.03387
69,0.02742,25.000,6.04032
70,0.02742,25.000,6.04194
70,0.02903,25.000,6.04516
71,0.02742,25.000,6.04032
71,0.03065,25.000,6.03710
72,0.03226,25.000,6.03871
73,0.02742,25.000,6.04032
73,0.03065,25.000,6.03548
74,0.02903,25.000,6.03710
74,0.03065,25.000,6.04194
75,0.03871,25.000,6.04032
76,0.02742,25.000,6.04516
76,0.02581,25.000,6.03871
77,0.02903,25.000,6.04032
77,0.03226,25.000,6.04032
78,0.03387,25.000,6.04355
79,0.02742,25.000,6.03871
79,0.03065,25.000,6.03226
80,0.03226,25.000,6.05161
80,0.02903,25.000,6.03065
81,0.02581,25.000,6.03710
82,0.02742,25.000,6.04355
82,0.03387,25.000,6.03710
83,0.03710,25.000,6.04355
83,0.02742,25.000,6.03548
84,0.02742,25.000,6.03548
84,0.03871,25.000,6.04032
85,0.02258,25.000,6.04032
86,0.03548,25.000,6.04355
86,0.02581,25.000,6.04355
87,0.02903,25.000,6.04516
87,0.03065,25.000,6.03548
88,0.03226,25.000,6.03387
89,0.03710,25.000,6.04516
89,0.03065,25.000,6.03548
90,0.02581,25.000,6.04194
90,0.02742,25.000,6.04194
91,0.02903,25.000,6.04194
91,0.03387,25.000,6.04677
92,0.03065,25.000,6.04355
93,0.03065,25.000,6.04839
93,0.05000,25.000,6.04839
94,0.02742,25.000,6.04032
