timestamp,tds_v,tempC,ph_v
19,0.02903,17.500,6.03871
20,0.02742,17.500,6.04194
20,0.02742,17.500,6.03387
21,0.02097,17.500,6.04355
21,0.02419,17.500,6.04355
22,0.02903,17.500,6.03710
23,0.02742,17.500,6.03226
23,0.02419,17.500,6.03710
24,0.02419,17.500,6.03710
24,0.02742,17.500,6.04032
25,0.03226,17.500,6.04032
26,0.02581,17.500,6.03226
26,0.03548,17.500,6.04355
27,0.03226,17.500,6.04194
27,0.03065,17.500,6.04032
28,0.02581,17.500,6.03710
29,0.02742,17.500,6.04355
29,0.01774,17.500,6.04194
30,0.02581,17.500,6.03710
30,0.02419,17.500,6.04194
31,0.03226,17.500,6.03710
32,0.02581,17.500,6.03548
32,0.03226,17.500,6.04032
33,0.02742,17.500,6.04194
33,0.03226,17.500,6.04194
34,0.03226,17.500,6.04194
35,0.03065,17.500,6.03387
35,0.02258,17.500,6.03065
36,0.01290,17.500,6.03548
36,0.02742,17.500,6.04839
37,0.02419,17.500,6.04032
38,0.03065,17.500,6.03548
38,0.03065,17.500,6.04032
39,0.02419,17.500,6.03871
39,0.03065,17.500,6.04355
40,0.02742,17.500,6.04677
41,0.02742,17.500,6.04516
41,0.02581,17.500,6.04355
42,0.02419,17.500,6.04194
42,0.03226,17.500,6.03710
43,0.02903,17.500,6.03871
44,0.02742,17.500,6.03871
44,0.03226,17.500,6.03710
45,0.03065,17.500,6.03871
45,0.02581,17.500,6.04355
46,0.03065,17.500,6.04032
47,0.02903,17.500,6.03871
47,0.04355,17.500,6.02742
48,0.03387,17.500,6.03065
48,0.02581,17.500,6.03710
49,0.02903,17.500,6.03387
49,0.02742,17.500,6.03710
50,0.03065,17.500,6.03871
50,0.04677,17.500,6.03710
50,0.03548,17.500,6.03710
51,0.02903,17.500,6.03548
51,0.03065,17.500,6.04032
52,0.03226,17.500,6.04355
53,0.03226,17.500,6.03548
53,0.04032,17.500,6.04355
54,0.02903,17.500,6.03871
54,0.03065,17.500,6.03387
55,0.03065,17.500,6.04032
56,0.02903,17.500,6.03065
56,0.02581,17.500,6.04032
57,0.03065,17.500,6.03387
57,0.02097,17.500,6.03548
58,0.03387,17.500,6.03710
59,0.02581,17.500,6.03871
59,0.03226,17.500,6.04032
60,0.02742,17.500,6.03710
60,0.02258,17.500,6.04516
61,0.02742,17.500,6.03871
62,0.01774,17.500,6.03871
62,0.02903,17.500,6.04032
63,0.02742,17.500,6.03065
63,0.02581,17.500,6.04032
64,0.02581,17.500,6.03548
65,0.02742,17.500,6.04032
65,0.02419,17.500,6.04194
66,0.02742,17.500,6.03710
66,0.03065,17.500,6.04032
67,0.02581,17.500,6.03871
68,0.03710,17.500,6.03871
68,0.02903,17.500,6.04516
69,0.02903,17.500,6.03226
69,0.02742,17.500,6.04355
70,0.01774,17.500,6.03871
71,0.03226,17.500,6.03548
71,0.02258,17.500,6.03710
72,0.02742,17.500,6.04032
72,0.03387,17.500,6.03871
73,0.03226,17.500,6.04516
73,0.02742,17.500,6.03548
74,0.01935,17.500,6.04032
75,0.03065,17.500,6.03871
75,0.02903,17.500,6.03710
76,0.02258,17.500,6.03871
76,0.03226,17.500,6.03871
77,0.03065,17.500,6.04194
78,0.02903,17.500,6.03710
78,0.03387,17.500,6.04516
79,0.03065,17.500,6.03871
79,0.02903,17.500,6.04194
80,0.02581,17.500,6.03548
81,0.02742,17.500,6.03065
81,0.02258,17.500,6.03065
82,0.03710,17.500,6.03871
82,0.02742,17.500,6.03871
83,0.02903,17.500,6.04355
84,0.02742,17.500,6.03710
84,0.02742,17.500,6.03226
85,0.03387,17.500,6.03548
85,0.03065,17.500,6.03387
86,0.02581,17.500,6.04194
87,0.03065,17.500,6.03871
87,0.02419,17.500,6.03387
88,0.02903,17.500,6.03387
88,0.03226,17.500,6.03226
89,0.02742,17.500,6.03710
90,0.02581,17.500,6.03871
90,0.05806,17.500,6.03548
91,0.05323,17.500,6.03710
91,0.02258,17.500,6.03387
92,0.02258,17.500,6.03548
92,0.03548,17.500,6.04032
92,0.02419,17.500,6.03226
93,0.02742,17.500,6.03548
93,0.02903,17.500,6.03871
94,0.02419,17.500,6.03710
