timestamp,tds_v,tempC,ph_v
18,0.02581,17.500,6.03710
19,0.02742,17.500,6.03387
19,0.03226,17.500,6.03710
20,0.02097,17.500,6.04355
21,0.03065,17.500,6.05161
21,0.03387,17.500,6.03710
22,0.02742,17.500,6.03710
22,0.02419,17.500,6.03871
23,0.01935,17.500,6.03710
24,0.02097,17.500,6.04355
24,0.02419,17.500,6.03548
25,0.02903,17.500,6.04032
25,0.02903,17.500,6.03387
26,0.02419,17.500,6.03710
27,0.03065,17.500,6.04516
27,0.02581,17.500,6.03226
28,0.02258,17.500,6.02742
28,0.02258,17.500,6.03710
29,0.02258,17.500,6.04032
29,0.03226,17.500,6.03548
30,0.02581,17.500,6.03710
31,0.02097,17.500,6.03548
31,0.02419,17.500,6.03548
32,0.03226,17.500,6.03226
32,0.02419,17.500,6.03710
33,0.02581,17.500,6.03065
34,0.02903,17.500,6.03387
34,0.02419,17.500,6.02903
35,0.02419,17.500,6.03871
35,0.03226,17.500,6.04677
36,0.02097,17.500,6.03548
37,0.02581,17.500,6.04032
37,0.06290,17.500,6.03871
38,0.03065,17.500,6.03548
38,0.02419,17.500,6.03710
39,0.02903,17.500,6.03710
40,0.03387,17.500,6.03387
40,0.03871,17.500,6.04032
41,0.02903,17.500,6.03710
41,0.02903,17.500,6.04355
42,0.02742,17.500,6.03871
43,0.02742,17.500,6.03065
43,0.03387,17.500,6.03548
44,0.02742,17.500,6.04194
44,0.03871,17.500,6.04516
45,0.02742,17.500,6.04194
46,0.02742,17.500,6.03226
46,0.02742,17.500,6.03871
47,0.02581,17.500,6.03871
47,0.02419,17.500,6.03548
48,0.02581,17.500,6.03871
49,0.04194,17.500,6.04194
49,0.03387,17.500,6.04032
50,0.02581,17.500,6.03710
50,0.02419,17.500,6.04355
51,0.03387,17.500,6.04194
52,0.03387,17.500,6.03710
52,0.02742,17.500,6.04032
53,0.03226,17.500,6.03871
53,0.02742,17.500,6.04355
54,0.04032,17.500,6.03871
54,0.02742,17.500,6.04194
54,0.02581,17.500,6.03548
55,0.02258,17.500,6.03065
55,0.01290,17.500,6.03871
56,0.02258,17.500,6.03710
56,0.03065,17.500,6.03710
57,0.02581,17.500,6.03548
58,0.02581,17.500,6.04032
58,0.03226,17.500,6.04032
59,0.02742,17.500,6.03548
59,0.03226,17.500,6.03710
60,0.02903,17.500,6.03387
61,0.02581,17.500,6.03710
61,0.02742,17.500,6.04516
62,0.02258,17.500,6.03387
62,0.02903,17.500,6.03548
63,0.02742,17.500,6.03871
64,0.02097,17.500,6.04032
64,0.02097,17.500,6.03871
65,0.03226,17.500,6.03387
65,0.02742,17.500,6.03226
66,0.03226,17.500,6.04194
67,0.02903,17.500,6.03548
67,0.01613,17.500,6.03871
68,0.02903,17.500,6.04032
68,0.02742,17.500,6.03710
69,0.04194,17.500,6.03710
70,0.02742,17.500,6.03387
70,0.03065,17.500,6.04032
71,0.04677,17.500,6.04194
71,0.02742,17.500,6.03387
72,0.02903,17.500,6.03871
73,0.03548,17.500,6.04194
73,0.02742,17.500,6.04194
74,0.02097,17.500,6.03871
74,0.02581,17.500,6.03871
75,0.05323,17.500,6.03548
76,0.02419,17.500,6.03871
76,0.02581,17.500,6.03548
77,0.02097,17.500,6.03548
77,0.02581,17.500,6.03226
78,0.01774,17.500,6.04194
79,0.03387,17.500,6.03871
79,0.02742,17.500,6.03710
80,0.02581,17.500,6.04194
80,0.03065,17.500,6.04032
81,0.04194,17.500,6.04194
81,0.03065,17.500,6.03871
82,0.01935,17.500,6.04032
83,0.02903,17.500,6.03226
83,0.03387,17.500,6.03710
84,0.01935,17.500,6.04032
84,0.03065,17.500,6.03387
85,0.02742,17.500,6.04032
86,0.02742,17.500,6.04032
86,0.03548,17.500,6.03548
87,0.03226,17.500,6.04032
87,0.02581,17.500,6.03871
88,0.03226,17.500,6.04194
89,0.03548,17.500,6.04355
89,0.03387,17.500,6.04516
90,0.02903,17.500,6.03871
90,0.03226,17.500,6.04355
91,0.02742,17.500,6.04032
92,0.02097,17.500,6.04032
92,0.04355,17.500,6.04032
93,0.03387,17.500,6.04032
93,0.03387,17.500,6.03710
94,0.02903,17.500,6.03871
