timestamp,tds_v,tempC,ph_v
19,0.02742,17.500,6.03871
19,0.03226,17.500,6.04355
20,0.02419,17.500,6.04032
21,0.01452,17.500,6.03548
21,0.02903,17.500,6.04839
22,0.02419,17.500,6.04194
22,0.02742,17.500,6.04032
23,0.02742,17.500,6.04032
24,0.02742,17.500,6.04355
24,0.03548,17.500,6.04194
25,0.02742,17.500,6.03387
25,0.03065,17.500,6.03387
26,0.02419,17.500,6.04194
27,0.03226,17.500,6.04032
27,0.02742,17.500,6.04677
28,0.02581,17.500,6.03548
28,0.03387,17.500,6.04032
29,0.03065,17.500,6.03871
30,0.01452,17.500,6.03871
30,0.04032,17.500,6.04194
31,0.02903,17.500,6.04516
31,0.02742,17.500,6.04355
32,0.03548,17.500,6.03387
33,0.02903,17.500,6.03871
33,0.02903,17.500,6.04194
34,0.03387,17.500,6.03871
34,0.02742,17.500,6.03387
35,0.01935,17.500,6.04355
36,0.03387,17.500,6.04194
36,0.02581,17.500,6.04516
37,0.02903,17.500,6.04355
37,0.03065,17.500,6.04194
38,0.02742,17.500,6.03871
39,0.02903,17.500,6.03548
39,0.02097,17.500,6.04194
40,0.02581,17.500,6.03548
40,0.05968,17.500,6.04194
41,0.02742,17.500,6.03871
41,0.02742,17.500,6.04032
42,0.01452,17.500,6.03871
43,0.05645,17.500,6.03871
43,0.03226,17.500,6.03226
44,0.02581,17.500,6.04194
44,0.03065,17.500,6.03710
45,0.03226,17.500,6.04194
46,0.03065,17.500,6.04194
46,0.02581,17.500,6.03387
47,0.03065,17.500,6.03871
47,0.03226,17.500,6.03387
48,0.02419,17.500,6.03710
49,0.01935,17.500,6.03871
49,0.03065,17.500,6.03387
50,0.02903,17.500,6.04032
50,0.03065,17.500,6.04032
51,0.02903,17.500,6.04194
52,0.02742,17.500,6.04355
52,0.02581,17.500,6.03710
53,0.02742,17.500,6.03387
53,0.02097,17.500,6.03387
54,0.03226,17.500,6.04194
55,0.03387,17.500,6.03710
55,0.02903,17.500,6.03548
56,0.03387,17.500,6.04355
56,0.03065,17.500,6.03387
57,0.02903,17.500,6.04355
58,0.02097,17.500,6.03226
58,0.03065,17.500,6.03871
59,0.02419,17.500,6.04355
59,0.02419,17.500,6.04194
60,0.03065,17.500,6.04516
60,0.03548,17.500,6.03710
60,0.02903,17.500,6.04032
61,0.02419,17.500,6.03548
61,0.02581,17.500,6.04194
62,0.04032,17.500,6.04355
62,0.02419,17.500,6.04194
63,0.02903,17.500,6.03226
64,0.03387,17.500,6.03871
64,0.02581,17.500,6.03871
65,0.02903,17.500,6.03871
65,0.02419,17.500,6.03710
66,0.02742,17.500,6.04194
67,0.03226,17.500,6.03871
67,0.03226,17.500,6.03871
68,0.02581,17.500,6.03871
68,0.03065,17.500,6.04194
69,0.02419,17.500,6.04032
70,0.04032,17.500,6.04032
70,0.03548,17.500,6.03871
71,0.02581,17.500,6.04194
71,0.03226,17.500,6.04032
72,0.03387,17.500,6.03710
73,0.02419,17.500,6.04194
73,0.04032,17.500,6.04032
74,0.01935,17.500,6.03710
74,0.02581,17.500,6.04355
75,0.03226,17.500,6.03548
76,0.02742,17.500,6.04194
76,0.03065,17.500,6.03871
77,0.02419,17.500,6.03710
77,0.02903,17.500,6.03710
78,0.04032,17.500,6.04032
79,0.01935,17.500,6.03710
79,0.09516,17.500,6.03871
80,0.02903,17.500,6.03710
80,0.02419,17.500,6.02903
81,0.03226,17.500,6.04194
82,0.02742,17.500,6.04032
82,0.02742,17.500,6.04355
83,0.02742,17.500,6.03710
83,0.02903,17.500,6.03871
84,0.02903,17.500,6.03387
85,0.03226,17.500,6.03065
85,0.02581,17.500,6.03548
86,0.02097,17.500,6.04032
86,0.02903,17.500,6.04516
87,0.02581,17.500,6.03387
87,0.02742,17.500,6.03710
88,0.02903,17.500,6.03710
89,0.02419,17.500,6.04194
89,0.03226,17.500,6.03710
90,0.02581,17.500,6.03871
90,0.02903,17.500,6.04032
91,0.02581,17.500,6.03387
92,0.02581,17.500,6.03548
92,0.03387,17.500,6.03871
93,0.02903,17.500,6.03871
93,0.02581,17.500,6.03548
94,0.01290,17.500,6.04032
