timestamp,tds_v,tempC,ph_v
20,0.02903,17.500,6.03871
20,0.02419,17.500,6.02903
21,0.02419,17.500,6.03871
22,0.02903,17.500,6.04194
22,0.02581,17.500,6.03871
23,0.02581,17.500,6.03710
23,0.02742,17.500,6.04355
24,0.02742,17.500,6.03226
25,0.02419,17.500,6.03387
25,0.03065,17.500,6.04194
26,0.02903,17.500,6.03871
26,0.01774,17.500,6.04355
27,0.02903,17.500,6.04355
28,0.03065,17.500,6.03548
28,0.02903,17.500,6.04194
29,0.02581,17.500,6.03871
29,0.01290,17.500,6.04355
30,0.02742,17.500,6.03871
31,0.02903,17.500,6.04032
31,0.03710,17.500,6.04194
32,0.02903,17.500,6.04032
32,0.01613,17.500,6.04194
33,0.02742,17.500,6.03548
33,0.03548,17.500,6.03387
33,0.02581,17.500,6.04032
34,0.02581,17.500,6.03387
34,0.01935,17.500,6.03065
35,0.01935,17.500,6.03548
36,0.01129,17.500,6.04032
36,0.02258,17.500,6.03710
37,0.03226,17.500,6.03387
37,0.01613,17.500,6.03226
38,0.02258,17.500,6.03710
39,0.01935,17.500,6.03710
39,0.02742,17.500,6.04355
40,0.02097,17.500,6.03710
40,0.02581,17.500,6.03548
41,0.02903,17.500,6.03710
42,0.03065,17.500,6.03871
42,0.03065,17.500,6.03387
43,0.02742,17.500,6.03226
43,0.02581,17.500,6.03871
44,0.04839,17.500,6.03710
44,0.03065,17.500,6.04032
45,0.02903,17.500,6.04677
46,0.02903,17.500,6.03226
46,0.02903,17.500,6.03710
47,0.03226,17.500,6.04032
47,0.02742,17.500,6.04032
48,0.03065,17.500,6.04194
49,0.02419,17.500,6.03710
49,0.02258,17.500,6.03226
50,0.02903,17.500,6.03871
50,0.02903,17.500,6.03871
51,0.02742,17.500,6.03871
52,0.02742,17.500,6.03548
52,0.02742,17.500,6.03871
53,0.02903,17.500,6.04032
53,0.02419,17.500,6.04194
54,0.02742,17.500,6.03871
55,0.02258,17.500,6.03548
55,0.03226,17.500,6.03387
56,0.02903,17.500,6.03548
56,0.02903,17.500,6.03065
57,0.02258,17.500,6.03387
58,0.02903,17.500,6.03065
58,0.02903,17.500,6.03710
59,0.03065,17.500,6.04355
59,0.02581,17.500,6.03710
60,0.03871,17.500,6.04516
61,0.02742,17.500,6.03387
61,0.03226,17.500,6.03871
62,0.02903,17.500,6.03387
62,0.07742,17.500,6.03871
63,0.02258,17.500,6.04194
64,0.03871,17.500,6.03871
64,0.02419,17.500,6.04032
65,0.02258,17.500,6.03548
65,0.03226,17.500,6.03871
66,0.03548,17.500,6.03871
67,0.03548,17.500,6.04677
67,0.02419,17.500,6.04032
68,0.02419,17.500,6.03871
68,0.03871,17.500,6.04516
69,0.02903,17.500,6.04677
69,0.03065,17.500,6.03387
70,0.03065,17.500,6.03871
71,0.01935,17.500,6.03387
71,0.03065,17.500,6.03548
72,0.01613,17.500,6.04032
72,0.02742,17.500,6.03065
73,0.02581,17.500,6.03548
74,0.03226,17.500,6.04677
74,0.03548,17.500,6.03710
75,0.02419,17.500,6.03548
75,0.03387,17.500,6.03871
75,0.04194,17.500,6.04194
76,0.03710,17.500,6.03871
76,0.03548,17.500,6.04032
77,0.03065,17.500,6.03226
77,0.03065,17.500,6.03871
78,0.03065,17.500,6.03387
79,0.02903,17.500,6.03065
79,0.03387,17.500,6.04032
80,0.03065,17.500,6.03387
80,0.02419,17.500,6.04194
81,0.03226,17.500,6.03871
82,0.03387,17.500,6.03710
82,0.03387,17.500,6.04516
83,0.05000,17.500,6.03871
84,0.02581,17.500,6.03387
84,0.03226,17.500,6.03387
85,0.02581,17.500,6.04355
85,0.02581,17.500,6.03871
86,0.02903,17.500,6.04032
86,0.02742,17.500,6.03548
87,0.04032,17.500,6.03871
88,0.01774,17.500,6.04032
88,0.03871,17.500,6.03871
89,0.02581,17.500,6.03871
89,0.02097,17.500,6.03387
90,0.02742,17.500,6.04194
91,0.05323,17.500,6.04677
91,0.03065,17.500,6.03871
92,0.03387,17.500,6.03710
92,0.02097,17.500,6.03710
93,0.02097,17.500,6.04516
94,0.03226,17.500,6.03548
