timestamp,tds_v,tempC,ph_v
20,0.02419,17.500,6.03871
20,0.02581,17.500,6.03548
21,0.02097,17.500,6.03226
22,0.02581,17.500,6.03548
22,0.01129,17.500,6.05000
23,0.02097,17.500,6.04194
23,0.02581,17.500,6.03710
24,0.02258,17.500,6.03871
25,0.02903,17.500,6.03710
25,0.03065,17.500,6.03548
26,0.02903,17.500,6.03065
26,0.02903,17.500,6.04032
27,0.02581,17.500,6.03226
27,0.04355,17.500,6.03548
28,0.02581,17.500,6.03548
29,0.02742,17.500,6.03710
29,0.02419,17.500,6.03387
30,0.04839,17.500,6.03871
30,0.02581,17.500,6.03710
31,0.01452,17.500,6.04355
32,0.02742,17.500,6.03387
32,0.03226,17.500,6.03226
33,0.02258,17.500,6.03548
33,0.02742,17.500,6.04032
34,0.03226,17.500,6.04032
35,0.01774,17.500,6.03226
35,0.03226,17.500,6.04032
36,0.02903,17.500,6.03226
36,0.02097,17.500,6.03710
37,0.02903,17.500,6.03387
38,0.02742,17.500,6.03387
38,0.02258,17.500,6.03710
39,0.02742,17.500,6.03065
39,0.02903,17.500,6.02903
40,0.03065,17.500,6.03871
40,0.02742,17.500,6.02903
40,0.03065,17.500,6.03871
41,0.03387,17.500,6.03065
41,0.03387,17.500,6.03387
42,0.02581,17.500,6.03387
43,0.02581,17.500,6.03871
43,0.02581,17.500,6.03871
44,0.02903,17.500,6.03710
44,0.02419,17.500,6.03065
45,0.03065,17.500,6.03548
46,0.02581,17.500,6.04194
46,0.03871,17.500,6.04032
47,0.03548,17.500,6.04194
47,0.02581,17.500,6.03710
48,0.02097,17.500,6.03548
49,0.02742,17.500,6.02903
49,0.01613,17.500,6.04194
50,0.03065,17.500,6.03548
50,0.03387,17.500,6.03226
51,0.03065,17.500,6.03710
52,0.02097,17.500,6.03710
52,0.01613,17.500,6.02903
53,0.03871,17.500,6.03710
53,0.02742,17.500,6.02742
54,0.02419,17.500,6.03226
54,0.02258,17.500,6.03387
55,0.02742,17.500,6.03548
56,0.07258,17.500,6.04355
56,0.02581,17.500,6.03226
57,0.03548,17.500,6.03871
57,0.02419,17.500,6.04032
58,0.03710,17.500,6.04032
59,0.02419,17.500,6.03387
59,0.01613,17.500,6.03387
60,0.03065,17.500,6.03548
60,0.03226,17.500,6.03710
61,0.02097,17.500,6.03871
62,0.02419,17.500,6.03710
62,0.02258,17.500,6.03710
63,0.02742,17.500,6.03548
63,0.02581,17.500,6.03548
64,0.01935,17.500,6.03871
65,0.03226,17.500,6.03871
65,0.03710,17.500,6.02903
66,0.02742,17.500,6.03548
66,0.03387,17.500,6.03387
67,0.02419,17.500,6.03548
68,0.03387,17.500,6.03387
68,0.02581,17.500,6.03226
69,0.01613,17.500,6.02903
69,0.02903,17.500,6.03548
70,0.02419,17.500,6.03548
71,0.05968,17.500,6.03710
71,0.02903,17.500,6.02903
72,0.02419,17.500,6.04032
72,0.03226,17.500,6.03548
73,0.02742,17.500,6.04032
74,0.03065,17.500,6.04516
74,0.02581,17.500,6.04194
75,0.02581,17.500,6.03548
75,0.01290,17.500,6.03065
76,0.02581,17.500,6.03548
77,0.02097,17.500,6.04355
77,0.07581,17.500,6.04355
78,0.03710,17.500,6.04194
78,0.02742,17.500,6.03871
79,0.02581,17.500,6.03710
79,0.01613,17.500,6.04677
80,0.02097,17.500,6.04194
81,0.02742,17.500,6.03871
81,0.02258,17.500,6.03548
82,0.02581,17.500,6.03548
82,0.03710,17.500,6.03710
82,0.01935,17.500,6.03387
83,0.02258,17.500,6.03387
83,0.02742,17.500,6.03710
84,0.03387,17.500,6.03226
84,0.04032,17.500,6.03871
85,0.02419,17.500,6.03065
86,0.02581,17.500,6.03548
86,0.02903,17.500,6.03710
87,0.03871,17.500,6.03871
87,0.02581,17.500,6.03710
88,0.03065,17.500,6.04032
89,0.03226,17.500,6.03548
89,0.02903,17.500,6.03710
90,0.02903,17.500,6.03226
90,0.02581,17.500,6.04355
91,0.02742,17.500,6.04032
92,0.04355,17.500,6.03710
92,0.03226,17.500,6.02903
93,0.02742,17.500,6.03065
93,0.02097,17.500,6.03871
94,0.03065,17.500,6.03710
