timestamp,tds_v,tempC,ph_v
20,0.02742,17.500,6.04194
21,0.03387,17.500,6.04677
21,0.02258,17.500,6.03871
22,0.02742,17.500,6.04032
22,0.01935,17.500,6.03548
23,0.02903,17.500,6.04677
24,0.02419,17.500,6.03548
24,0.02903,17.500,6.04032
25,0.02258,17.500,6.03871
25,0.03065,17.500,6.04355
26,0.03226,17.500,6.04194
27,0.03548,17.500,6.05161
27,0.03226,17.500,6.04194
27,0.02581,17.500,6.04032
27,0.02742,17.500,6.03871
28,0.02903,17.500,6.04032
29,0.03226,17.500,6.04355
29,0.02581,17.500,6.04355
30,0.02419,17.500,6.04194
30,0.02742,17.500,6.03871
31,0.02581,17.500,6.03710
32,0.01935,17.500,6.03710
32,0.03226,17.500,6.05000
33,0.03226,17.500,6.04516
33,0.03065,17.500,6.06129
34,0.03871,17.500,6.03710
35,0.02097,17.500,6.03548
35,0.05323,17.500,6.04355
36,0.03065,17.500,6.03710
36,0.02742,17.500,6.03548
37,0.02903,17.500,6.04194
38,0.03871,17.500,6.04677
38,0.03065,17.500,6.05323
39,0.03710,17.500,6.03871
39,0.04516,17.500,6.03871
40,0.07258,17.500,6.03871
41,0.03226,17.500,6.04516
41,0.04194,17.500,6.04839
42,0.03065,17.500,6.03871
42,0.02258,17.500,6.04355
43,0.03226,17.500,6.05000
44,0.04032,17.500,6.04194
44,0.02742,17.500,6.04677
45,0.03387,17.500,6.03548
45,0.03387,17.500,6.04032
46,0.02097,17.500,6.04355
46,0.03226,17.500,6.04355
47,0.03710,17.500,6.05000
48,0.03065,17.500,6.04516
48,0.04032,17.500,6.04194
49,0.02903,17.500,6.03710
49,0.02903,17.500,6.04355
50,0.04032,17.500,6.05161
51,0.04032,17.500,6.04032
51,0.03065,17.500,6.04194
52,0.02581,17.500,6.04677
52,0.02581,17.500,6.04194
53,0.02258,17.500,6.04839
54,0.02742,17.500,6.03871
54,0.03065,17.500,6.04839
55,0.03710,17.500,6.04355
55,0.02903,17.500,6.04677
56,0.03710,17.500,6.04839
57,0.02903,17.500,6.04355
57,0.03065,17.500,6.04516
58,0.04032,17.500,6.04355
58,0.03065,17.500,6.04194
59,0.02903,17.500,6.05161
60,0.03065,17.500,6.04355
60,0.02903,17.500,6.04194
61,0.03387,17.500,6.04032
61,0.03226,17.500,6.03871
62,0.03548,17.500,6.04032
63,0.04032,17.500,6.04032
63,0.03065,17.500,6.04032
64,0.02742,17.500,6.04355
64,0.02903,17.500,6.04355
65,0.03065,17.500,6.04677
66,0.02742,17.500,6.04516
66,0.03226,17.500,6.03710
67,0.03226,17.500,6.04516
67,0.02419,17.500,6.04355
68,0.04032,17.500,6.04839
69,0.03387,17.500,6.04677
69,0.03548,17.500,6.05161
69,0.03871,17.500,6.04194
69,0.03065,17.500,6.04194
70,0.04194,17.500,6.04032
71,0.02742,17.500,6.04355
71,0.03065,17.500,6.04194
72,0.03548,17.500,6.03710
72,0.03387,17.500,6.04194
73,0.04032,17.500,6.04194
74,0.03387,17.500,6.04194
74,0.03710,17.500,6.04677
75,0.02903,17.500,6.04355
75,0.02097,17.500,6.04677
76,0.01935,17.500,6.04839
77,0.02903,17.500,6.05161
77,0.02903,17.500,6.03871
78,0.02419,17.500,6.04677
78,0.03871,17.500,6.04194
79,0.04355,17.500,6.04516
80,0.03065,17.500,6.04032
80,0.03226,17.500,6.04032
81,0.02903,17.500,6.04677
81,0.03710,17.500,6.03710
82,0.03710,17.500,6.04194
82,0.03548,17.500,6.03548
83,0.02903,17.500,6.04839
84,0.03871,17.500,6.04194
84,0.03065,17.500,6.04516
85,0.02581,17.500,6.04355
85,0.02903,17.500,6.03871
86,0.03710,17.500,6.04355
87,0.03226,17.500,6.04355
87,0.04032,17.500,6.04355
88,0.03710,17.500,6.04839
88,0.02258,17.500,6.05000
89,0.02258,17.500,6.03710
90,0.02419,17.500,6.04194
90,0.03065,17.500,6.05000
91,0.07097,17.500,6.04677
91,0.03871,17.500,6.04355
92,0.03871,17.500,6.04032
93,0.05000,17.500,6.03710
93,0.02742,17.500,6.04032
94,0.03548,17.500,6.04194
