timestamp,tds_v,tempC,ph_v
18,0.02742,17.500,6.03548
19,0.02581,17.500,6.03548
20,0.03226,17.500,6.03871
20,0.03065,17.500,6.04032
21,0.03065,17.500,6.04194
21,0.03065,17.500,6.03548
22,0.02581,17.500,6.03710
22,0.02742,17.500,6.03871
23,0.01290,17.500,6.03871
24,0.01613,17.500,6.04677
24,0.02419,17.500,6.03548
25,0.02258,17.500,6.03226
25,0.02742,17.500,6.03710
26,0.02419,17.500,6.04194
27,0.04032,17.500,6.03871
27,0.03226,17.500,6.03387
28,0.03387,17.500,6.04032
28,0.02581,17.500,6.04194
29,0.06290,17.500,6.03710
30,0.03226,17.500,6.03871
30,0.03387,17.500,6.03548
31,0.03548,17.500,6.03871
31,0.03387,17.500,6.03226
32,0.02903,17.500,6.04032
33,0.02742,17.500,6.03548
33,0.02419,17.500,6.03548
34,0.02419,17.500,6.03871
34,0.03387,17.500,6.04194
35,0.02097,17.500,6.03548
36,0.01774,17.500,6.03871
36,0.02903,17.500,6.03871
37,0.03065,17.500,6.04194
37,0.03226,17.500,6.02903
38,0.02903,17.500,6.03387
38,0.02419,17.500,6.04355
39,0.02258,17.500,6.03387
40,0.02903,17.500,6.03548
40,0.03226,17.500,6.03548
41,0.02419,17.500,6.03548
41,0.02419,17.500,6.04194
42,0.02419,17.500,6.03710
43,0.02258,17.500,6.04032
43,0.02581,17.500,6.03226
44,0.02419,17.500,6.04194
44,0.03065,17.500,6.04677
45,0.04032,17.500,6.04032
46,0.03710,17.500,6.03548
46,0.03548,17.500,6.04516
47,0.02581,17.500,6.03710
47,0.03226,17.500,6.04355
48,0.02419,17.500,6.03710
49,0.01935,17.500,6.03548
49,0.03065,17.500,6.04839
50,0.02903,17.500,6.03548
50,0.02742,17.500,6.04032
51,0.03871,17.500,6.03871
52,0.02742,17.500,6.03548
52,0.03710,17.500,6.04516
53,0.02742,17.500,6.03548
53,0.02903,17.500,6.04194
54,0.02742,17.500,6.04516
54,0.02581,17.500,6.04032
54,0.02258,17.500,6.03871
55,0.01774,17.500,6.03387
55,0.02581,17.500,6.03226
56,0.02742,17.500,6.04032
57,0.02903,17.500,6.03710
57,0.03065,17.500,6.04194
58,0.02581,17.500,6.03871
58,0.03387,17.500,6.03548
59,0.02903,17.500,6.04194
60,0.02742,17.500,6.04032
60,0.03065,17.500,6.04032
61,0.02742,17.500,6.03387
61,0.02419,17.500,6.03710
62,0.02742,17.500,6.03387
63,0.03226,17.500,6.03871
63,0.02742,17.500,6.04194
64,0.02419,17.500,6.04032
64,0.02581,17.500,6.03871
65,0.02742,17.500,6.04194
65,0.01774,17.500,6.04194
66,0.03548,17.500,6.03548
67,0.02903,17.500,6.03548
67,0.02581,17.500,6.04516
68,0.03065,17.500,6.02903
68,0.03065,17.500,6.03548
69,0.02742,17.500,6.04516
70,0.02258,17.500,6.04194
70,0.02097,17.500,6.04355
71,0.02903,17.500,6.04194
71,0.02581,17.500,6.04677
72,0.02742,17.500,6.03871
73,0.02903,17.500,6.03871
73,0.03065,17.500,6.03710
74,0.01129,17.500,6.03548
74,0.04677,17.500,6.04032
75,0.06129,17.500,6.04516
76,0.03065,17.500,6.04194
76,0.03065,17.500,6.04194
77,0.02742,17.500,6.03871
77,0.02419,17.500,6.04516
78,0.01935,17.500,6.04516
79,0.05000,17.500,6.04032
79,0.02419,17.500,6.04032
80,0.03226,17.500,6.04194
80,0.02903,17.500,6.04355
81,0.02742,17.500,6.04516
82,0.02581,17.500,6.03065
82,0.02903,17.500,6.03387
83,0.02903,17.500,6.04194
83,0.02419,17.500,6.03548
84,0.02742,17.500,6.04355
85,0.02742,17.500,6.03387
85,0.03226,17.500,6.03548
86,0.03065,17.500,6.04194
86,0.01613,17.500,6.03387
87,0.03065,17.500,6.04677
88,0.02581,17.500,6.03226
88,0.03226,17.500,6.04032
89,0.02742,17.500,6.03871
89,0.03065,17.500,6.03710
90,0.03065,17.500,6.03710
91,0.02742,17.500,6.03548
91,0.03226,17.500,6.03226
92,0.03065,17.500,6.03387
92,0.02742,17.500,6.04194
93,0.02903,17.500,6.04194
93,0.02581,17.500,6.03710
94,0.02903,17.500,6.04032
