timestamp,tds_v,tempC,ph_v
20,0.03387,17.500,6.03871
21,0.03226,17.500,6.04194
21,0.03387,17.500,6.04516
22,0.03065,17.500,6.04839
22,0.02742,17.500,6.04355
22,0.03387,17.500,6.03548
23,0.02903,17.500,6.04516
23,0.02258,17.500,6.04032
24,0.02419,17.500,6.04194
24,0.02903,17.500,6.05000
25,0.02903,17.500,6.04677
26,0.03710,17.500,6.04194
26,0.02742,17.500,6.04355
27,0.03548,17.500,6.04194
27,0.03387,17.500,6.04839
28,0.03387,17.500,6.04516
29,0.07097,17.500,6.04516
29,0.03871,17.500,6.04194
30,0.03387,17.500,6.04194
30,0.03226,17.500,6.05484
31,0.02903,17.500,6.04032
32,0.04516,17.500,6.04839
32,0.03387,17.500,6.04516
33,0.03387,17.500,6.03871
33,0.02903,17.500,6.04516
34,0.03226,17.500,6.04355
35,0.02419,17.500,6.04677
35,0.03871,17.500,6.04032
36,0.03548,17.500,6.03710
36,0.03065,17.500,6.05484
37,0.03710,17.500,6.04677
38,0.03387,17.500,6.04032
38,0.03226,17.500,6.03387
39,0.02903,17.500,6.03871
39,0.03387,17.500,6.04839
40,0.03548,17.500,6.04516
41,0.03387,17.500,6.03871
41,0.03226,17.500,6.04355
42,0.02419,17.500,6.04032
42,0.03226,17.500,6.05161
43,0.02903,17.500,6.05484
44,0.02419,17.500,6.03871
44,0.02903,17.500,6.04677
45,0.02903,17.500,6.04194
45,0.02903,17.500,6.04516
46,0.03226,17.500,6.04355
47,0.03065,17.500,6.04194
47,0.02903,17.500,6.03871
48,0.03226,17.500,6.04677
48,0.03548,17.500,6.04839
49,0.03387,17.500,6.04355
50,0.03065,17.500,6.04677
50,0.03226,17.500,6.04032
51,0.03226,17.500,6.03871
51,0.02903,17.500,6.05161
52,0.03065,17.500,6.04032
53,0.03226,17.500,6.04677
53,0.02903,17.500,6.04194
54,0.03548,17.500,6.04032
54,0.02258,17.500,6.05000
55,0.03548,17.500,6.04839
56,0.03065,17.500,6.04194
56,0.03387,17.500,6.03710
57,0.03710,17.500,6.04032
57,0.03387,17.500,6.04677
58,0.03548,17.500,6.04355
59,0.03387,17.500,6.04839
59,0.02903,17.500,6.04194
60,0.03065,17.500,6.04032
60,0.03065,17.500,6.04677
61,0.02903,17.500,6.04194
61,0.03065,17.500,6.03871
62,0.03226,17.500,6.04032
63,0.02581,17.500,6.03710
63,0.03387,17.500,6.04839
63,0.03710,17.500,6.04194
63,0.04032,17.500,6.04194
64,0.03226,17.500,6.04516
65,0.03548,17.500,6.04677
65,0.03548,17.500,6.04516
66,0.04194,17.500,6.04032
66,0.03065,17.500,6.03710
67,0.02581,17.500,6.03710
68,0.02903,17.500,6.03387
68,0.03065,17.500,6.03387
69,0.02742,17.500,6.04032
69,0.01452,17.500,6.03387
70,0.03065,17.500,6.04194
71,0.03226,17.500,6.04516
71,0.03710,17.500,6.04194
72,0.03226,17.500,6.04516
72,0.03387,17.500,6.03548
73,0.03387,17.500,6.04194
73,0.03387,17.500,6.04032
74,0.03065,17.500,6.03871
74,0.02903,17.500,6.04032
75,0.03710,17.500,6.04516
76,0.03548,17.500,6.04194
76,0.03548,17.500,6.04194
