timestamp,tds_v,tempC,ph_v
19,0.02742,17.500,6.04355
20,0.03548,17.500,6.03710
20,0.03226,17.500,6.04839
21,0.02903,17.500,6.04194
21,0.03387,17.500,6.05000
22,0.02903,17.500,6.04355
23,0.03871,17.500,6.04032
23,0.02581,17.500,6.04677
24,0.03548,17.500,6.04194
24,0.02742,17.500,6.04677
25,0.02419,17.500,6.03871
26,0.03387,17.500,6.04516
26,0.02742,17.500,6.04355
27,0.02581,17.500,6.04194
27,0.03710,17.500,6.05161
28,0.04032,17.500,6.04516
29,0.02258,17.500,6.04032
29,0.02903,17.500,6.04516
30,0.03387,17.500,6.04194
30,0.03065,17.500,6.05000
31,0.02903,17.500,6.04355
32,0.02903,17.500,6.04839
32,0.03387,17.500,6.04355
33,0.02742,17.500,6.03871
33,0.03065,17.500,6.04194
34,0.02097,17.500,6.04516
35,0.03226,17.500,6.04194
35,0.03065,17.500,6.04516
36,0.03226,17.500,6.04677
36,0.03226,17.500,6.04677
37,0.03065,17.500,6.04194
38,0.03871,17.500,6.04516
38,0.02742,17.500,6.04194
39,0.02581,17.500,6.04839
39,0.03226,17.500,6.04839
40,0.03065,17.500,6.04839
41,0.03226,17.500,6.04355
41,0.02581,17.500,6.04839
42,0.03065,17.500,6.04839
42,0.03710,17.500,6.04677
43,0.03226,17.500,6.03871
43,0.03065,17.500,6.04516
43,0.03548,17.500,6.04839
44,0.03065,17.500,6.04516
44,0.02903,17.500,6.05161
45,0.03226,17.500,6.03871
46,0.02742,17.500,6.04355
46,0.03387,17.500,6.04194
47,0.03387,17.500,6.04516
47,0.03065,17.500,6.04516
48,0.02581,17.500,6.04516
49,0.03387,17.500,6.03387
49,0.03710,17.500,6.04355
50,0.02581,17.500,6.04355
50,0.02419,17.500,6.04194
51,0.03710,17.500,6.04355
51,0.02742,17.500,6.04194
52,0.03065,17.500,6.04194
53,0.03387,17.500,6.04194
53,0.03065,17.500,6.04032
54,0.03226,17.500,6.04516
54,0.02903,17.500,6.04677
55,0.02258,17.500,6.04355
56,0.03065,17.500,6.04839
56,0.03710,17.500,6.03871
57,0.03710,17.500,6.04839
57,0.03710,17.500,6.04839
58,0.03226,17.500,6.04355
59,0.02903,17.500,6.05323
59,0.03548,17.500,6.05000
60,0.03387,17.500,6.04839
60,0.03226,17.500,6.04516
61,0.02742,17.500,6.04677
62,0.03065,17.500,6.04032
62,0.02258,17.500,6.05161
63,0.04194,17.500,6.04355
63,0.02581,17.500,6.04194
64,0.03226,17.500,6.04194
65,0.03065,17.500,6.04032
65,0.03387,17.500,6.04194
66,0.03387,17.500,6.04032
66,0.02903,17.500,6.04032
67,0.03710,17.500,6.03871
68,0.03065,17.500,6.05161
68,0.02581,17.500,6.04839
69,0.02903,17.500,6.04677
69,0.04032,17.500,6.04516
70,0.03226,17.500,6.04677
71,0.03548,17.500,6.04194
71,0.02419,17.500,6.04355
72,0.02903,17.500,6.04516
72,0.02742,17.500,6.03871
73,0.02258,17.500,6.04194
74,0.03065,17.500,6.04516
74,0.02258,17.500,6.04355
75,0.02097,17.500,6.03871
75,0.03710,17.500,6.04355
76,0.03065,17.500,6.04677
76,0.03226,17.500,6.03710
77,0.03548,17.500,6.04355
78,0.03226,17.500,6.03065
78,0.02903,17.500,6.04032
79,0.03065,17.500,6.04355
79,0.03871,17.500,6.04516
80,0.02742,17.500,6.04032
81,0.03226,17.500,6.03710
81,0.02903,17.500,6.04194
82,0.04032,17.500,6.04032
82,0.02742,17.500,6.04516
83,0.03548,17.500,6.04032
84,0.03548,17.500,6.04032
84,0.03065,17.500,6.04032
85,0.02581,17.500,6.04355
85,0.02097,17.500,6.04194
85,0.04032,17.500,6.04194
86,0.02581,17.500,6.03710
86,0.02581,17.500,6.03710
87,0.03387,17.500,6.04032
87,0.03387,17.500,6.04355
88,0.03065,17.500,6.04839
89,0.03387,17.500,6.04032
89,0.03065,17.500,6.04194
90,0.02903,17.500,6.03871
90,0.02903,17.500,6.03548
91,0.03387,17.500,6.04516
92,0.02742,17.500,6.04516
92,0.02903,17.500,6.04677
93,0.04032,17.500,6.04516
93,0.03871,17.500,6.04516
94,0.03065,17.500,6.03871
