timestamp,tds_v,tempC,ph_v
20,0.03226,17.500,6.04194
21,0.03387,17.500,6.04194
21,0.03871,17.500,6.04677
22,0.02097,17.500,6.05161
22,0.03226,17.500,6.05323
23,0.05323,17.500,6.04355
23,0.04032,17.500,6.04355
24,0.03710,17.500,6.05000
25,0.03065,17.500,6.04194
25,0.02903,17.500,6.05000
26,0.04032,17.500,6.03710
26,0.02742,17.500,6.03871
27,0.03226,17.500,6.03871
28,0.01774,17.500,6.04194
28,0.03226,17.500,6.04516
29,0.03065,17.500,6.05000
29,0.03710,17.500,6.05323
30,0.03065,17.500,6.05161
31,0.03548,17.500,6.04839
31,0.02258,17.500,6.05000
32,0.03548,17.500,6.04032
32,0.02742,17.500,6.04194
33,0.03065,17.500,6.04194
34,0.03065,17.500,6.04355
34,0.03548,17.500,6.04194
35,0.03226,17.500,6.03710
35,0.02742,17.500,6.04194
36,0.03387,17.500,6.04194
37,0.03226,17.500,6.04677
37,0.05323,17.500,6.04194
38,0.02903,17.500,6.04032
38,0.03226,17.500,6.04355
38,0.02742,17.500,6.04839
39,0.03226,17.500,6.03710
39,0.02258,17.500,6.04839
40,0.03065,17.500,6.04194
40,0.01935,17.500,6.04355
41,0.04032,17.500,6.03871
42,0.03871,17.500,6.04355
42,0.02903,17.500,6.04839
43,0.03226,17.500,6.04516
43,0.02581,17.500,6.04355
44,0.02742,17.500,6.03871
44,0.03387,17.500,6.03871
45,0.03710,17.500,6.04194
46,0.03065,17.500,6.03710
46,0.02258,17.500,6.03871
47,0.02581,17.500,6.04194
47,0.03226,17.500,6.04516
48,0.03226,17.500,6.04516
49,0.03065,17.500,6.04355
49,0.07903,17.500,6.04516
50,0.03226,17.500,6.04677
50,0.03226,17.500,6.04677
51,0.03226,17.500,6.04677
52,0.03548,17.500,6.04194
52,0.03226,17.500,6.04516
53,0.04355,17.500,6.05968
53,0.02097,17.500,6.05323
54,0.02258,17.500,6.04194
55,0.03065,17.500,6.04677
55,0.03065,17.500,6.03871
56,0.03548,17.500,6.05161
56,0.03548,17.500,6.04839
57,0.03226,17.500,6.04677
58,0.03226,17.500,6.05000
58,0.03387,17.500,6.04355
59,0.02903,17.500,6.04677
59,0.03387,17.500,6.04839
60,0.03387,17.500,6.04355
61,0.02742,17.500,6.03871
61,0.03065,17.500,6.04355
62,0.03710,17.500,6.05000
62,0.02903,17.500,6.03871
63,0.02903,17.500,6.04355
64,0.03226,17.500,6.04194
64,0.03226,17.500,6.04194
65,0.02903,17.500,6.04355
65,0.03710,17.500,6.04032
66,0.03065,17.500,6.04032
66,0.03387,17.500,6.03710
67,0.03548,17.500,6.04839
68,0.03710,17.500,6.04677
68,0.02903,17.500,6.05161
69,0.03387,17.500,6.04032
69,0.03548,17.500,6.04194
70,0.03226,17.500,6.04677
71,0.03226,17.500,6.05000
71,0.02903,17.500,6.04355
72,0.04194,17.500,6.05000
72,0.03226,17.500,6.05645
73,0.02903,17.500,6.04032
74,0.03548,17.500,6.04032
74,0.02742,17.500,6.04516
75,0.03065,17.500,6.04516
75,0.03710,17.500,6.05161
76,0.02742,17.500,6.04516
77,0.02581,17.500,6.04194
77,0.02419,17.500,6.04355
78,0.03710,17.500,6.04032
78,0.03548,17.500,6.04677
79,0.02903,17.500,6.04516
80,0.05161,17.500,6.04355
80,0.02903,17.500,6.05000
80,0.03226,17.500,6.04839
80,0.03387,17.500,6.04355
81,0.02742,17.500,6.04355
81,0.03387,17.500,6.03710
82,0.02581,17.500,6.03871
83,0.03548,17.500,6.04194
83,0.02419,17.500,6.03548
84,0.03226,17.500,6.04032
84,0.03065,17.500,6.04677
85,0.03226,17.500,6.03871
86,0.01935,17.500,6.03871
86,0.04032,17.500,6.04677
87,0.03226,17.500,6.03871
87,0.03387,17.500,6.04355
88,0.02903,17.500,6.03871
89,0.03065,17.500,6.04839
89,0.02581,17.500,6.04839
90,0.03226,17.500,6.04355
90,0.03226,17.500,6.04839
91,0.02903,17.500,6.04516
92,0.02903,17.500,6.04677
92,0.03226,17.500,6.05161
93,0.03226,17.500,6.04032
93,0.03226,17.500,6.04677
94,0.02742,17.500,6.04032
