timestamp,tds_v,tempC,ph_v
19,0.02903,17.500,6.04032
19,0.03387,17.500,6.02742
20,0.03548,17.500,6.03226
21,0.06129,17.500,6.03065
21,0.03065,17.500,6.03710
22,0.02419,17.500,6.03387
22,0.01935,17.500,6.03226
23,0.02903,17.500,6.03710
24,0.02581,17.500,6.03387
24,0.03226,17.500,6.03065
25,0.02903,17.500,6.03548
25,0.02419,17.500,6.03871
26,0.03226,17.500,6.03871
27,0.02742,17.500,6.03548
27,0.03065,17.500,6.03387
28,0.03226,17.500,6.04032
28,0.02258,17.500,6.03548
29,0.02903,17.500,6.04355
30,0.03548,17.500,6.04355
30,0.02903,17.500,6.03065
31,0.03387,17.500,6.04032
31,0.02903,17.500,6.03710
32,0.02903,17.500,6.03226
33,0.02742,17.500,6.03871
33,0.02903,17.500,6.03548
34,0.02903,17.500,6.03871
34,0.03065,17.500,6.04032
35,0.03065,17.500,6.03226
36,0.02742,17.500,6.03710
36,0.02903,17.500,6.03548
37,0.02581,17.500,6.04032
37,0.03548,17.500,6.03548
38,0.02903,17.500,6.03387
39,0.02742,17.500,6.04355
39,0.02419,17.500,6.04355
40,0.02581,17.500,6.03226
40,0.02742,17.500,6.03548
41,0.02742,17.500,6.03710
42,0.06935,17.500,6.04194
42,0.02903,17.500,6.04516
43,0.02742,17.500,6.04194
43,0.02581,17.500,6.04194
44,0.02903,17.500,6.04194
44,0.03065,17.500,6.03387
45,0.02258,17.500,6.04032
46,0.03065,17.500,6.03871
46,0.02903,17.500,6.03387
47,0.02581,17.500,6.04032
47,0.02258,17.500,6.03871
48,0.03871,17.500,6.04516
49,0.01935,17.500,6.04194
49,0.02903,17.500,6.03226
50,0.03065,17.500,6.03871
50,0.03548,17.500,6.03065
50,0.03387,17.500,6.03387
51,0.02903,17.500,6.03226
51,0.02581,17.500,6.04032
52,0.02742,17.500,6.03871
52,0.02742,17.500,6.04032
53,0.02581,17.500,6.03871
54,0.02581,17.500,6.04194
54,0.03226,17.500,6.03226
55,0.03065,17.500,6.03710
55,0.03226,17.500,6.04032
56,0.02581,17.500,6.04355
57,0.02742,17.500,6.03548
57,0.03226,17.500,6.03710
58,0.03387,17.500,6.04516
58,0.02581,17.500,6.03387
59,0.03226,17.500,6.03226
60,0.02258,17.500,6.03871
60,0.03548,17.500,6.03387
61,0.02903,17.500,6.03871
61,0.03387,17.500,6.03548
62,0.02097,17.500,6.03065
63,0.02742,17.500,6.03710
63,0.07258,17.500,6.04032
64,0.02742,17.500,6.03871
64,0.02742,17.500,6.03226
65,0.03226,17.500,6.04194
65,0.03226,17.500,6.03710
66,0.03226,17.500,6.03548
67,0.02581,17.500,6.03548
67,0.02903,17.500,6.03226
68,0.03226,17.500,6.03871
68,0.03226,17.500,6.03226
69,0.02097,17.500,6.03548
70,0.03710,17.500,6.03871
70,0.02581,17.500,6.03710
71,0.03226,17.500,6.03710
71,0.02258,17.500,6.03387
72,0.04194,17.500,6.03871
72,0.02742,17.500,6.03871
73,0.02097,17.500,6.04032
74,0.02581,17.500,6.04032
74,0.02258,17.500,6.03871
75,0.03226,17.500,6.04032
75,0.02581,17.500,6.03387
76,0.02903,17.500,6.02581
77,0.03065,17.500,6.03387
77,0.01774,17.500,6.04032
78,0.02419,17.500,6.03548
78,0.02581,17.500,6.02903
79,0.02581,17.500,6.03548
80,0.02581,17.500,6.03226
80,0.01452,17.500,6.04032
81,0.01774,17.500,6.04355
81,0.03065,17.500,6.03871
82,0.02419,17.500,6.04194
83,0.02419,17.500,6.02903
83,0.01935,17.500,6.05000
84,0.03387,17.500,6.03548
84,0.03226,17.500,6.03871
85,0.03065,17.500,6.03710
86,0.03065,17.500,6.03548
86,0.01774,17.500,6.04032
87,0.01935,17.500,6.03226
87,0.03387,17.500,6.03065
88,0.02419,17.500,6.03871
89,0.03065,17.500,6.03710
89,0.02903,17.500,6.03710
90,0.02903,17.500,6.03710
90,0.02742,17.500,6.03710
91,0.02903,17.500,6.04032
91,0.03387,17.500,6.03065
91,0.02903,17.500,6.04194
92,0.03387,17.500,6.04032
92,0.03065,17.500,6.02903
93,0.02097,17.500,6.02903
94,0.03226,17.500,6.03387
