timestamp,tds_v,tempC,ph_v
20,0.03065,17.500,6.04677
20,0.03065,17.500,6.03710
21,0.01774,17.500,6.04677
22,0.02903,17.500,6.04194
22,0.04194,17.500,6.05323
23,0.03548,17.500,6.04355
23,0.03226,17.500,6.04516
24,0.02742,17.500,6.04032
25,0.02903,17.500,6.04677
25,0.03226,17.500,6.04516
26,0.02903,17.500,6.04516
26,0.03226,17.500,6.04677
27,0.02903,17.500,6.03871
28,0.02903,17.500,6.04355
28,0.03548,17.500,6.04032
29,0.03387,17.500,6.04677
29,0.02742,17.500,6.04032
30,0.02419,17.500,6.03710
31,0.05806,17.500,6.03710
31,0.02903,17.500,6.04839
32,0.03065,17.500,6.05161
32,0.03387,17.500,6.03871
33,0.02742,17.500,6.04032
34,0.02742,17.500,6.03710
34,0.03226,17.500,6.03871
34,0.03710,17.500,6.04516
34,0.01774,17.500,6.04032
35,0.03710,17.500,6.04516
36,0.02742,17.500,6.03871
36,0.02742,17.500,6.04516
37,0.02581,17.500,6.04355
37,0.03065,17.500,6.04677
38,0.03226,17.500,6.04839
39,0.02742,17.500,6.04516
39,0.03226,17.500,6.04194
40,0.03065,17.500,6.04355
40,0.03226,17.500,6.04839
41,0.02581,17.500,6.04677
42,0.03226,17.500,6.04355
42,0.03387,17.500,6.04839
43,0.02742,17.500,6.04677
43,0.04355,17.500,6.04355
44,0.03710,17.500,6.04839
45,0.02742,17.500,6.04677
45,0.02742,17.500,6.04677
46,0.02581,17.500,6.04516
46,0.02581,17.500,6.04516
47,0.02742,17.500,6.04839
48,0.03065,17.500,6.03871
48,0.03710,17.500,6.05000
49,0.03065,17.500,6.04032
49,0.03065,17.500,6.04677
50,0.02097,17.500,6.04677
51,0.02258,17.500,6.03871
51,0.03548,17.500,6.03548
52,0.03065,17.500,6.04516
52,0.02742,17.500,6.04516
53,0.03871,17.500,6.04516
53,0.02581,17.500,6.04032
54,0.03387,17.500,6.04194
55,0.02581,17.500,6.05161
55,0.02903,17.500,6.04516
56,0.03065,17.500,6.04677
56,0.02903,17.500,6.04194
57,0.03871,17.500,6.04677
58,0.03871,17.500,6.04839
58,0.03226,17.500,6.04032
59,0.03548,17.500,6.04516
59,0.02258,17.500,6.03871
60,0.06774,17.500,6.04516
61,0.03387,17.500,6.04839
61,0.02742,17.500,6.04032
62,0.02258,17.500,6.04516
62,0.02742,17.500,6.04194
63,0.02419,17.500,6.03387
64,0.02419,17.500,6.05000
64,0.03065,17.500,6.03871
65,0.04355,17.500,6.04194
65,0.03226,17.500,6.04194
66,0.03226,17.500,6.03871
67,0.03871,17.500,6.04839
67,0.03065,17.500,6.03871
68,0.03387,17.500,6.04032
68,0.03226,17.500,6.04355
69,0.03226,17.500,6.04355
69,0.02903,17.500,6.04355
70,0.02581,17.500,6.04194
71,0.03387,17.500,6.04194
71,0.04194,17.500,6.03710
72,0.04355,17.500,6.04032
72,0.03548,17.500,6.03871
73,0.03065,17.500,6.04516
74,0.02903,17.500,6.02581
74,0.02903,17.500,6.04032
75,0.03387,17.500,6.04032
75,0.03387,17.500,6.04194
76,0.03387,17.500,6.04677
76,0.03226,17.500,6.04194
76,0.03065,17.500,6.04032
77,0.02258,17.500,6.04194
77,0.03065,17.500,6.04355
78,0.03226,17.500,6.04677
78,0.02419,17.500,6.03871
79,0.02581,17.500,6.03871
79,0.02903,17.500,6.03710
