timestamp,tds_v,tempC,ph_v
20,0.02097,17.500,6.04032
21,0.02581,17.500,6.04677
21,0.03226,17.500,6.04194
21,0.02581,17.500,6.04677
21,0.03387,17.500,6.04516
22,0.02742,17.500,6.04516
23,0.02581,17.500,6.04355
23,0.02903,17.500,6.04032
24,0.03226,17.500,6.03710
24,0.03226,17.500,6.04677
25,0.02581,17.500,6.04839
26,0.01774,17.500,6.03871
26,0.02581,17.500,6.04516
27,0.02742,17.500,6.04355
27,0.03871,17.500,6.05000
28,0.03065,17.500,6.03871
29,0.03226,17.500,6.04516
29,0.03548,17.500,6.04516
30,0.02903,17.500,6.04677
30,0.03065,17.500,6.04355
31,0.03710,17.500,6.03871
32,0.02903,17.500,6.04032
32,0.03065,17.500,6.04677
33,0.02903,17.500,6.03548
33,0.03548,17.500,6.04032
34,0.03065,17.500,6.04355
35,0.03387,17.500,6.05161
35,0.02903,17.500,6.05323
36,0.03065,17.500,6.03710
36,0.02742,17.500,6.04516
37,0.03387,17.500,6.04516
38,0.03226,17.500,6.03710
38,0.03226,17.500,6.04839
39,0.03226,17.500,6.04194
39,0.02903,17.500,6.04355
40,0.02742,17.500,6.04516
40,0.02903,17.500,6.04032
41,0.04194,17.500,6.04516
42,0.03548,17.500,6.04516
42,0.03065,17.500,6.03710
43,0.03226,17.500,6.04032
43,0.03387,17.500,6.04355
44,0.02742,17.500,6.04516
45,0.03065,17.500,6.03548
45,0.01935,17.500,6.04355
46,0.03226,17.500,6.04032
46,0.02903,17.500,6.04032
47,0.04194,17.500,6.04677
48,0.03871,17.500,6.03710
48,0.02581,17.500,6.03387
49,0.03226,17.500,6.04516
49,0.03548,17.500,6.04032
50,0.03226,17.500,6.05323
51,0.03226,17.500,6.04839
51,0.02419,17.500,6.04677
52,0.02258,17.500,6.04516
52,0.02097,17.500,6.04194
53,0.02903,17.500,6.04516
54,0.02097,17.500,6.04194
54,0.03065,17.500,6.03871
55,0.05968,17.500,6.05161
55,0.03226,17.500,6.04194
56,0.03226,17.500,6.04677
57,0.03065,17.500,6.04194
57,0.05484,17.500,6.04194
58,0.03065,17.500,6.05000
58,0.03871,17.500,6.04677
59,0.03387,17.500,6.04194
60,0.02903,17.500,6.04516
60,0.03387,17.500,6.04677
61,0.04032,17.500,6.04677
61,0.03226,17.500,6.04032
62,0.03226,17.500,6.04355
63,0.03226,17.500,6.03871
63,0.02903,17.500,6.04355
63,0.05000,17.500,6.04194
63,0.02742,17.500,6.04355
64,0.02419,17.500,6.05000
65,0.03065,17.500,6.04194
65,0.03387,17.500,6.04355
66,0.03387,17.500,6.05161
66,0.02097,17.500,6.04194
67,0.03226,17.500,6.04355
68,0.03226,17.500,6.04355
68,0.03065,17.500,6.04032
69,0.02258,17.500,6.04032
69,0.03710,17.500,6.05161
70,0.03710,17.500,6.04516
71,0.03548,17.500,6.04194
71,0.02581,17.500,6.04355
72,0.01452,17.500,6.04194
72,0.03226,17.500,6.03710
73,0.03226,17.500,6.04677
74,0.02903,17.500,6.03710
74,0.02742,17.500,6.03710
75,0.02419,17.500,6.04516
75,0.05161,17.500,6.03710
76,0.02903,17.500,6.05645
76,0.03226,17.500,6.04194
77,0.03387,17.500,6.04839
78,0.04194,17.500,6.04194
78,0.03065,17.500,6.04355
79,0.03226,17.500,6.05000
79,0.03226,17.500,6.03871
80,0.04677,17.500,6.04355
81,0.03065,17.500,6.04355
81,0.02581,17.500,6.03871
82,0.03710,17.500,6.04194
82,0.02903,17.500,6.04194
83,0.02742,17.500,6.04355
84,0.02742,17.500,6.04194
84,0.01452,17.500,6.04516
85,0.02742,17.500,6.04839
85,0.03226,17.500,6.04355
86,0.04032,17.500,6.04516
87,0.02258,17.500,6.04677
87,0.02742,17.500,6.04032
88,0.03226,17.500,6.05000
88,0.02742,17.500,6.04194
89,0.03065,17.500,6.04194
90,0.03548,17.500,6.04677
90,0.03065,17.500,6.05000
91,0.03710,17.500,6.04355
91,0.02903,17.500,6.04839
92,0.02742,17.500,6.04032
93,0.01935,17.500,6.04516
93,0.02419,17.500,6.04194
94,0.04355,17.500,6.03871
