timestamp,tds_v,tempC,ph_v
19,0.02903,17.500,6.04677
19,0.04516,17.500,6.05161
20,0.02742,17.500,6.04516
21,0.03065,17.500,6.04194
21,0.03065,17.500,6.04677
22,0.02903,17.500,6.04194
22,0.03387,17.500,6.03548
23,0.03065,17.500,6.04677
24,0.04839,17.500,6.03710
24,0.04032,17.500,6.04677
25,0.02903,17.500,6.03871
25,0.02581,17.500,6.04032
26,0.03387,17.500,6.03871
27,0.04677,17.500,6.04194
27,0.02419,17.500,6.05000
28,0.03548,17.500,6.04516
28,0.02903,17.500,6.04194
29,0.03226,17.500,6.03548
30,0.02419,17.500,6.04032
30,0.03710,17.500,6.04194
31,0.03226,17.500,6.03710
31,0.03548,17.500,6.03871
32,0.02097,17.500,6.03710
33,0.02097,17.500,6.04355
33,0.02581,17.500,6.04194
34,0.03065,17.500,6.03871
34,0.03387,17.500,6.03710
35,0.03226,17.500,6.04355
36,0.03226,17.500,6.04516
36,0.01935,17.500,6.04839
37,0.02903,17.500,6.03548
37,0.03065,17.500,6.04355
38,0.02419,17.500,6.04032
38,0.03065,17.500,6.03871
39,0.04032,17.500,6.03548
40,0.03548,17.500,6.03548
40,0.03387,17.500,6.04194
41,0.03226,17.500,6.04194
41,0.02903,17.500,6.04032
42,0.02903,17.500,6.04516
43,0.03871,17.500,6.04677
43,0.03065,17.500,6.04194
44,0.03871,17.500,6.04032
44,0.02903,17.500,6.04032
45,0.02903,17.500,6.04516
46,0.04194,17.500,6.05161
46,0.03226,17.500,6.04194
47,0.03226,17.500,6.04516
47,0.03548,17.500,6.04677
48,0.03065,17.500,6.04516
49,0.03387,17.500,6.04355
49,0.02258,17.500,6.04516
50,0.01613,17.500,6.04032
50,0.03387,17.500,6.04032
51,0.04032,17.500,6.04677
52,0.03065,17.500,6.03871
52,0.03548,17.500,6.04677
53,0.03065,17.500,6.04032
53,0.02903,17.500,6.04032
54,0.02097,17.500,6.03871
55,0.03871,17.500,6.04194
55,0.03226,17.500,6.04516
55,0.03226,17.500,6.04355
55,0.03548,17.500,6.04194
56,0.03065,17.500,6.03871
57,0.03387,17.500,6.04032
57,0.02903,17.500,6.03710
58,0.01935,17.500,6.03710
58,0.04032,17.500,6.04516
59,0.02903,17.500,6.04032
60,0.02903,17.500,6.04194
60,0.02581,17.500,6.04194
61,0.02742,17.500,6.04516
61,0.03387,17.500,6.05161
62,0.02742,17.500,6.04677
63,0.04355,17.500,6.03548
63,0.03387,17.500,6.04194
64,0.02742,17.500,6.04194
64,0.03226,17.500,6.04355
65,0.04516,17.500,6.04194
66,0.02581,17.500,6.04032
66,0.03226,17.500,6.04677
67,0.02742,17.500,6.04839
67,0.03065,17.500,6.04032
68,0.03226,17.500,6.04355
69,0.02903,17.500,6.04194
69,0.03065,17.500,6.03871
70,0.02742,17.500,6.04032
70,0.02903,17.500,6.04516
71,0.04194,17.500,6.05161
72,0.02903,17.500,6.04032
72,0.03871,17.500,6.04032
73,0.03065,17.500,6.03871
73,0.02903,17.500,6.04355
74,0.05000,17.500,6.05484
74,0.03548,17.500,6.04032
75,0.03226,17.500,6.05000
76,0.02903,17.500,6.04516
76,0.02742,17.500,6.04677
77,0.03065,17.500,6.04516
77,0.02581,17.500,6.04032
78,0.03226,17.500,6.04677
79,0.03226,17.500,6.04677
79,0.03226,17.500,6.04194
80,0.03387,17.500,6.04677
81,0.03226,17.500,6.03710
81,0.02581,17.500,6.04516
82,0.03548,17.500,6.04677
82,0.02742,17.500,6.04355
83,0.02903,17.500,6.05000
84,0.03548,17.500,6.04839
84,0.03387,17.500,6.04194
85,0.03548,17.500,6.04677
85,0.03226,17.500,6.04516
86,0.04032,17.500,6.04355
87,0.02742,17.500,6.04194
87,0.02903,17.500,6.04516
88,0.03065,17.500,6.05323
88,0.02903,17.500,6.04194
89,0.03065,17.500,6.04032
90,0.02903,17.500,6.04516
90,0.03387,17.500,6.04194
91,0.03387,17.500,6.04355
91,0.03226,17.500,6.03871
92,0.03710,17.500,6.04194
92,0.02903,17.500,6.05000
93,0.02903,17.500,6.03710
94,0.03387,17.500,6.03871
