timestamp,tds_v,tempC,ph_v
19,0.02581,17.500,6.03871
20,0.02742,17.500,6.04677
20,0.03548,17.500,6.03710
21,0.02419,17.500,6.04839
21,0.03548,17.500,6.04677
22,0.03871,17.500,6.05161
23,0.02742,17.500,6.04516
24,0.03065,17.500,6.04194
24,0.02742,17.500,6.03548
25,0.02742,17.500,6.04355
25,0.03226,17.500,6.04194
26,0.03548,17.500,6.04032
27,0.02742,17.500,6.03548
27,0.03065,17.500,6.04355
28,0.03226,17.500,6.03710
28,0.02258,17.500,6.03871
29,0.03226,17.500,6.04677
29,0.03065,17.500,6.04032
30,0.03387,17.500,6.04194
31,0.02742,17.500,6.04032
31,0.03387,17.500,6.04677
32,0.02581,17.500,6.04677
32,0.02903,17.500,6.05323
33,0.03226,17.500,6.04355
34,0.03226,17.500,6.04516
34,0.02903,17.500,6.04677
35,0.04355,17.500,6.04839
35,0.02903,17.500,6.04839
36,0.02581,17.500,6.04355
37,0.03710,17.500,6.04355
37,0.04194,17.500,6.04677
38,0.04032,17.500,6.04355
38,0.02903,17.500,6.05000
39,0.02581,17.500,6.03710
39,0.03710,17.500,6.04355
40,0.06290,17.500,6.04355
41,0.04032,17.500,6.04032
41,0.04194,17.500,6.04355
42,0.02903,17.500,6.04839
42,0.03387,17.500,6.04194
43,0.03387,17.500,6.05161
44,0.03710,17.500,6.05806
44,0.03226,17.500,6.04677
45,0.04194,17.500,6.05645
45,0.02903,17.500,6.04355
46,0.03065,17.500,6.04194
47,0.03226,17.500,6.04516
47,0.02903,17.500,6.05806
48,0.03710,17.500,6.04516
48,0.03387,17.500,6.04032
49,0.02581,17.500,6.04355
50,0.04355,17.500,6.04516
50,0.03226,17.500,6.05323
51,0.03065,17.500,6.04516
51,0.03548,17.500,6.05000
52,0.02742,17.500,6.04839
53,0.03710,17.500,6.04355
53,0.02419,17.500,6.04516
53,0.03387,17.500,6.04677
53,0.03387,17.500,6.04516
54,0.02419,17.500,6.04194
55,0.02581,17.500,6.04355
55,0.02742,17.500,6.04516
56,0.02742,17.500,6.04839
57,0.03226,17.500,6.04355
57,0.02742,17.500,6.05484
58,0.02903,17.500,6.04677
58,0.04194,17.500,6.04194
59,0.03710,17.500,6.05000
60,0.03065,17.500,6.04355
60,0.03387,17.500,6.04677
61,0.03065,17.500,6.04194
61,0.03065,17.500,6.04194
62,0.02581,17.500,6.04032
62,0.03387,17.500,6.04516
63,0.02581,17.500,6.05000
64,0.03710,17.500,6.04677
64,0.03065,17.500,6.03710
65,0.03548,17.500,6.04677
65,0.03710,17.500,6.05323
66,0.02258,17.500,6.05000
67,0.02742,17.500,6.04194
67,0.02419,17.500,6.04516
68,0.02581,17.500,6.04032
68,0.03387,17.500,6.04032
69,0.02903,17.500,6.04516
70,0.02581,17.500,6.04677
70,0.03226,17.500,6.04355
71,0.02419,17.500,6.04516
71,0.02742,17.500,6.04194
72,0.03871,17.500,6.04516
73,0.03226,17.500,6.04032
73,0.03548,17.500,6.04516
74,0.03387,17.500,6.04194
74,0.01613,17.500,6.04355
75,0.03226,17.500,6.04839
76,0.02903,17.500,6.04194
76,0.03387,17.500,6.04516
77,0.02419,17.500,6.04355
77,0.03226,17.500,6.04516
78,0.02419,17.500,6.04839
79,0.02742,17.500,6.04839
79,0.03226,17.500,6.04355
80,0.03226,17.500,6.04839
80,0.02903,17.500,6.04194
81,0.02581,17.500,6.05161
82,0.03065,17.500,6.04677
82,0.03065,17.500,6.03548
83,0.03226,17.500,6.04355
83,0.02903,17.500,6.04677
84,0.01452,17.500,6.04677
85,0.03065,17.500,6.04355
85,0.03065,17.500,6.04516
86,0.02903,17.500,6.04355
86,0.03871,17.500,6.04516
87,0.03065,17.500,6.04516
88,0.03710,17.500,6.04839
88,0.03065,17.500,6.04516
89,0.01774,17.500,6.04839
89,0.08226,17.500,6.04355
90,0.02581,17.500,6.05000
91,0.03226,17.500,6.04677
91,0.02903,17.500,6.04839
92,0.04032,17.500,6.04677
92,0.02742,17.500,6.03871
93,0.02742,17.500,6.04677
94,0.03710,17.500,6.04516
