timestamp,tds_v,tempC,ph_v
20,0.03226,17.500,6.03226
21,0.01774,17.500,6.03871
21,0.02903,17.500,6.03065
22,0.02742,17.500,6.02903
22,0.02903,17.500,6.04355
23,0.02258,17.500,6.03548
24,0.02742,17.500,6.03387
24,0.03065,17.500,6.03387
25,0.02903,17.500,6.03226
25,0.02903,17.500,6.04032
26,0.02258,17.500,6.04355
27,0.02258,17.500,6.03871
27,0.02581,17.500,6.02742
28,0.03065,17.500,6.03387
28,0.02097,17.500,6.04032
29,0.03387,17.500,6.03871
30,0.02419,17.500,6.03548
30,0.02258,17.500,6.03226
31,0.02581,17.500,6.04032
31,0.02581,17.500,6.04677
32,0.03387,17.500,6.04194
33,0.02581,17.500,6.04032
33,0.03226,17.500,6.03548
34,0.02258,17.500,6.03226
34,0.02903,17.500,6.04032
35,0.03548,17.500,6.03387
36,0.02903,17.500,6.03871
36,0.02258,17.500,6.03548
36,0.03387,17.500,6.03548
36,0.02903,17.500,6.04032
37,0.02581,17.500,6.03226
38,0.02581,17.500,6.02903
38,0.02581,17.500,6.04194
39,0.01774,17.500,6.03548
39,0.02903,17.500,6.04194
40,0.03226,17.500,6.03871
41,0.02903,17.500,6.03548
41,0.02419,17.500,6.03710
42,0.03387,17.500,6.03226
42,0.02903,17.500,6.03710
43,0.03065,17.500,6.03226
43,0.02903,17.500,6.03387
44,0.03065,17.500,6.02903
45,0.03226,17.500,6.04194
45,0.02903,17.500,6.04194
46,0.02742,17.500,6.03548
46,0.02742,17.500,6.03387
47,0.02742,17.500,6.02903
48,0.02258,17.500,6.03387
48,0.03226,17.500,6.03226
49,0.02258,17.500,6.03710
49,0.03226,17.500,6.03226
50,0.03226,17.500,6.03226
51,0.02097,17.500,6.03548
51,0.03226,17.500,6.02742
52,0.02742,17.500,6.03226
52,0.03226,17.500,6.02903
53,0.02903,17.500,6.04355
54,0.02903,17.500,6.03226
54,0.02742,17.500,6.03387
55,0.02419,17.500,6.03226
55,0.03226,17.500,6.04032
56,0.02742,17.500,6.04194
57,0.03387,17.500,6.03710
57,0.02903,17.500,6.03710
58,0.03548,17.500,6.03871
58,0.03710,17.500,6.04032
59,0.02742,17.500,6.03710
60,0.02903,17.500,6.03710
60,0.02742,17.500,6.03387
61,0.01935,17.500,6.03548
61,0.02742,17.500,6.03548
62,0.03387,17.500,6.03548
63,0.01129,17.500,6.03548
63,0.02258,17.500,6.03065
64,0.08065,17.500,6.03387
64,0.02581,17.500,6.04194
65,0.02419,17.500,6.03710
66,0.03065,17.500,6.03548
66,0.01935,17.500,6.03387
67,0.03548,17.500,6.03065
67,0.03065,17.500,6.03387
68,0.02419,17.500,6.03548
69,0.01452,17.500,6.03548
69,0.02258,17.500,6.03548
70,0.01935,17.500,6.03387
70,0.02903,17.500,6.02903
71,0.03226,17.500,6.03871
72,0.02419,17.500,6.03710
72,0.03226,17.500,6.03226
73,0.02742,17.500,6.03710
73,0.02419,17.500,6.03387
74,0.02097,17.500,6.03871
74,0.02581,17.500,6.03387
75,0.03065,17.500,6.03871
76,0.03065,17.500,6.03548
76,0.02903,17.500,6.02742
77,0.03226,17.500,6.03548
77,0.02419,17.500,6.03871
78,0.02581,17.500,6.03710
78,0.02742,17.500,6.03871
78,0.02903,17.500,6.03548
79,0.03226,17.500,6.03710
79,0.02742,17.500,6.03226
80,0.02903,17.500,6.03548
81,0.06129,17.500,6.04032
81,0.03226,17.500,6.03387
82,0.02903,17.500,6.03065
82,0.02419,17.500,6.03871
83,0.02742,17.500,6.03226
84,0.03226,17.500,6.03710
84,0.02581,17.500,6.02742
85,0.02258,17.500,6.03548
85,0.03226,17.500,6.03548
86,0.01774,17.500,6.04032
86,0.02419,17.500,6.04032
87,0.02742,17.500,6.03226
88,0.03065,17.500,6.03871
88,0.03065,17.500,6.03226
89,0.04032,17.500,6.03710
89,0.02581,17.500,6.03387
90,0.03387,17.500,6.03065
91,0.02258,17.500,6.03226
91,0.03387,17.500,6.03710
92,0.02581,17.500,6.03387
92,0.02258,17.500,6.03871
93,0.02581,17.500,6.03065
94,0.03710,17.500,6.03387
