timestamp,tds_v,tempC,ph_v
19,0.03065,17.500,6.04677
20,0.02903,17.500,6.04677
20,0.03065,17.500,6.04194
21,0.03065,17.500,6.05000
21,0.03548,17.500,6.04839
22,0.03548,17.500,6.04516
23,0.03065,17.500,6.04194
23,0.03065,17.500,6.04355
24,0.03548,17.500,6.04355
24,0.03710,17.500,6.04677
25,0.02742,17.500,6.03710
26,0.03548,17.500,6.05000
26,0.03226,17.500,6.03871
27,0.03065,17.500,6.03871
27,0.03548,17.500,6.05323
28,0.02581,17.500,6.03710
29,0.02097,17.500,6.04032
29,0.01774,17.500,6.05161
30,0.02419,17.500,6.04194
30,0.02581,17.500,6.04839
31,0.02742,17.500,6.02903
32,0.03065,17.500,6.04839
32,0.06613,17.500,6.04677
33,0.02097,17.500,6.04677
33,0.03548,17.500,6.04677
34,0.03226,17.500,6.03871
35,0.02903,17.500,6.04194
35,0.03226,17.500,6.04032
36,0.02742,17.500,6.04839
36,0.03548,17.500,6.04032
37,0.03065,17.500,6.04839
38,0.02903,17.500,6.04194
38,0.03065,17.500,6.04677
39,0.03387,17.500,6.04516
39,0.03387,17.500,6.04355
40,0.01935,17.500,6.04194
41,0.02903,17.500,6.05000
41,0.02419,17.500,6.04194
42,0.02903,17.500,6.04355
42,0.02419,17.500,6.04839
43,0.02903,17.500,6.04516
43,0.03387,17.500,6.04839
44,0.03226,17.500,6.04839
45,0.03387,17.500,6.04516
45,0.03548,17.500,6.05645
46,0.03548,17.500,6.05000
46,0.03387,17.500,6.04839
47,0.02903,17.500,6.04516
48,0.04032,17.500,6.04516
48,0.03226,17.500,6.04355
49,0.02903,17.500,6.04516
49,0.03548,17.500,6.04516
50,0.03226,17.500,6.03710
51,0.05484,17.500,6.04677
51,0.04839,17.500,6.04839
52,0.03871,17.500,6.04677
52,0.03226,17.500,6.04194
53,0.03548,17.500,6.04677
53,0.03387,17.500,6.05161
53,0.04032,17.500,6.04677
54,0.03226,17.500,6.03548
54,0.03065,17.500,6.03548
55,0.03387,17.500,6.03548
56,0.03226,17.500,6.03871
56,0.03548,17.500,6.04839
57,0.05968,17.500,6.04839
57,0.03387,17.500,6.04839
58,0.03387,17.500,6.05484
59,0.02581,17.500,6.04194
59,0.02581,17.500,6.04194
60,0.02581,17.500,6.04194
60,0.03387,17.500,6.04032
61,0.03387,17.500,6.03548
62,0.03226,17.500,6.03871
62,0.02581,17.500,6.04839
63,0.03548,17.500,6.03710
63,0.03710,17.500,6.03710
64,0.02258,17.500,6.04839
65,0.02742,17.500,6.03871
65,0.02097,17.500,6.04194
66,0.02581,17.500,6.04355
66,0.02903,17.500,6.04677
67,0.02903,17.500,6.04516
68,0.03065,17.500,6.05000
68,0.03065,17.500,6.04194
69,0.03226,17.500,6.05000
69,0.02581,17.500,6.04516
70,0.02742,17.500,6.04355
70,0.02742,17.500,6.04516
71,0.03226,17.500,6.04355
72,0.02419,17.500,6.04516
72,0.02419,17.500,6.04677
73,0.02903,17.500,6.04516
73,0.03226,17.500,6.04355
74,0.03387,17.500,6.04516
75,0.03387,17.500,6.04355
75,0.02903,17.500,6.04032
76,0.02903,17.500,6.04516
76,0.03387,17.500,6.04677
77,0.03226,17.500,6.04194
78,0.02903,17.500,6.03710
78,0.02903,17.500,6.04516
79,0.03387,17.500,6.04032
79,0.02903,17.500,6.04194
80,0.03548,17.500,6.03871
81,0.03065,17.500,6.04516
81,0.03226,17.500,6.03710
82,0.03548,17.500,6.05161
82,0.03065,17.500,6.05000
83,0.02581,17.500,6.05000
84,0.03387,17.500,6.05000
84,0.03387,17.500,6.04516
85,0.03387,17.500,6.04194
85,0.03065,17.500,6.04194
86,0.03065,17.500,6.03387
87,0.02258,17.500,6.04355
87,0.02742,17.500,6.04516
88,0.03548,17.500,6.04516
88,0.03065,17.500,6.04194
89,0.03387,17.500,6.05000
90,0.03871,17.500,6.04516
90,0.03065,17.500,6.04677
91,0.02742,17.500,6.04677
91,0.03226,17.500,6.05161
92,0.03548,17.500,6.05161
93,0.03548,17.500,6.04355
93,0.03065,17.500,6.04516
94,0.02581,17.500,6.04839
