timestamp,tds_v,tempC,ph_v
19,0.06613,17.500,6.03710
19,0.03065,17.500,6.03548
20,0.02903,17.500,6.03387
21,0.03710,17.500,6.03226
21,0.03065,17.500,6.04032
22,0.03226,17.500,6.04355
22,0.03226,17.500,6.03226
23,0.02581,17.500,6.03387
24,0.02097,17.500,6.03548
24,0.03065,17.500,6.03226
25,0.02742,17.500,6.03548
25,0.02903,17.500,6.02903
26,0.01613,17.500,6.04194
27,0.03065,17.500,6.03548
27,0.02742,17.500,6.03710
28,0.02581,17.500,6.03387
28,0.02903,17.500,6.04194
29,0.02581,17.500,6.03548
30,0.03065,17.500,6.03710
30,0.02903,17.500,6.04032
31,0.02742,17.500,6.03710
31,0.04032,17.500,6.03710
32,0.02097,17.500,6.04032
33,0.03065,17.500,6.04032
33,0.02419,17.500,6.03871
34,0.01452,17.500,6.03710
34,0.03871,17.500,6.03871
35,0.02258,17.500,6.04194
36,0.02581,17.500,6.03871
36,0.03387,17.500,6.04355
37,0.02903,17.500,6.03710
37,0.02903,17.500,6.03387
38,0.03387,17.500,6.03710
39,0.02903,17.500,6.03387
39,0.03065,17.500,6.04194
40,0.02903,17.500,6.04032
40,0.03065,17.500,6.03710
41,0.02903,17.500,6.03871
42,0.02258,17.500,6.03710
42,0.03065,17.500,6.04032
43,0.02742,17.500,6.03548
43,0.03065,17.500,6.03871
44,0.03710,17.500,6.04032
45,0.01452,17.500,6.03548
45,0.05806,17.500,6.03710
46,0.03226,17.500,6.03548
46,0.03065,17.500,6.03548
47,0.03226,17.500,6.03871
47,0.02581,17.500,6.03065
48,0.02903,17.500,6.03871
48,0.02742,17.500,6.03871
48,0.03065,17.500,6.03387
49,0.02581,17.500,6.03710
49,0.03065,17.500,6.03871
50,0.05806,17.500,6.04194
51,0.03387,17.500,6.04032
51,0.03226,17.500,6.03387
52,0.02419,17.500,6.03871
52,0.02581,17.500,6.04032
53,0.04194,17.500,6.03871
54,0.02903,17.500,6.03387
54,0.02258,17.500,6.03387
55,0.02581,17.500,6.03548
56,0.02581,17.500,6.03226
56,0.02258,17.500,6.03387
57,0.02903,17.500,6.03226
57,0.03226,17.500,6.03387
58,0.02742,17.500,6.03548
59,0.02903,17.500,6.04032
59,0.04194,17.500,6.03387
60,0.02419,17.500,6.04032
60,0.03065,17.500,6.03548
61,0.02903,17.500,6.03871
62,0.02903,17.500,6.03871
62,0.02903,17.500,6.03710
63,0.03226,17.500,6.02742
63,0.03710,17.500,6.02903
64,0.03387,17.500,6.03548
65,0.02419,17.500,6.04355
65,0.02742,17.500,6.02581
66,0.03387,17.500,6.03387
66,0.03387,17.500,6.02903
67,0.04355,17.500,6.04194
68,0.02742,17.500,6.03871
68,0.03387,17.500,6.03387
69,0.02258,17.500,6.03710
69,0.02419,17.500,6.04032
70,0.03065,17.500,6.03387
71,0.02258,17.500,6.04194
71,0.02419,17.500,6.03387
72,0.02419,17.500,6.04032
72,0.02581,17.500,6.02742
73,0.02903,17.500,6.04032
73,0.03226,17.500,6.04194
74,0.02742,17.500,6.03548
75,0.02419,17.500,6.03387
75,0.02742,17.500,6.03710
76,0.03065,17.500,6.04194
76,0.02581,17.500,6.04032
77,0.02419,17.500,6.03710
78,0.03226,17.500,6.03387
78,0.02419,17.500,6.03871
79,0.02258,17.500,6.03548
79,0.02903,17.500,6.03710
80,0.02903,17.500,6.03065
81,0.02097,17.500,6.04032
81,0.02903,17.500,6.03871
82,0.02903,17.500,6.04032
82,0.02419,17.500,6.04355
83,0.02097,17.500,6.03710
84,0.02903,17.500,6.03226
84,0.00806,17.500,6.03387
85,0.01290,17.500,6.03387
85,0.02903,17.500,6.02903
86,0.02903,17.500,6.03710
87,0.03065,17.500,6.03871
87,0.02419,17.500,6.03710
88,0.03710,17.500,6.04355
88,0.02903,17.500,6.03548
89,0.03548,17.500,6.04194
90,0.02419,17.500,6.03710
90,0.02742,17.500,6.03710
90,0.03226,17.500,6.04032
90,0.02742,17.500,6.03710
91,0.02903,17.500,6.03548
92,0.02903,17.500,6.03226
92,0.02581,17.500,6.04032
93,0.03065,17.500,6.04032
93,0.02258,17.500,6.03548
94,0.02742,17.500,6.03065
