timestamp,tds_v,tempC,ph_v
19,0.01935,17.500,6.03871
20,0.03387,17.500,6.03710
20,0.02903,17.500,6.03548
21,0.02258,17.500,6.03226
21,0.03548,17.500,6.03548
22,0.01935,17.500,6.03548
23,0.02581,17.500,6.02581
23,0.02742,17.500,6.03226
24,0.02581,17.500,6.03065
24,0.02581,17.500,6.03226
25,0.04839,17.500,6.03226
26,0.03226,17.500,6.02581
26,0.02419,17.500,6.03871
27,0.02581,17.500,6.04194
27,0.01935,17.500,6.03226
28,0.03065,17.500,6.03387
29,0.02903,17.500,6.03710
29,0.02581,17.500,6.03065
30,0.03065,17.500,6.03387
30,0.03548,17.500,6.04194
31,0.02903,17.500,6.03226
32,0.02742,17.500,6.03710
32,0.02419,17.500,6.03548
33,0.02097,17.500,6.03387
33,0.01613,17.500,6.03387
34,0.03387,17.500,6.03065
35,0.02742,17.500,6.03226
35,0.02903,17.500,6.04032
36,0.03387,17.500,6.03065
36,0.02742,17.500,6.04516
37,0.01935,17.500,6.03387
38,0.03065,17.500,6.03871
38,0.03065,17.500,6.03710
39,0.03548,17.500,6.03710
39,0.04032,17.500,6.04355
40,0.02742,17.500,6.03548
41,0.02742,17.500,6.02742
41,0.01935,17.500,6.03065
42,0.02903,17.500,6.03710
42,0.03548,17.500,6.04032
43,0.02419,17.500,6.03710
44,0.03387,17.500,6.03871
44,0.02581,17.500,6.03710
45,0.03065,17.500,6.03710
45,0.03226,17.500,6.04032
46,0.02419,17.500,6.03710
46,0.02419,17.500,6.02903
46,0.02258,17.500,6.03710
47,0.02903,17.500,6.03548
47,0.03387,17.500,6.04355
48,0.02581,17.500,6.02581
48,0.02581,17.500,6.04194
49,0.03226,17.500,6.03710
50,0.03226,17.500,6.03710
50,0.03226,17.500,6.04032
51,0.03226,17.500,6.03387
51,0.02258,17.500,6.03548
52,0.03387,17.500,6.03871
53,0.02742,17.500,6.04194
53,0.02742,17.500,6.03871
54,0.02581,17.500,6.03548
54,0.02419,17.500,6.03065
55,0.02742,17.500,6.03226
56,0.02581,17.500,6.03710
56,0.02903,17.500,6.03871
57,0.03387,17.500,6.03065
57,0.02742,17.500,6.03226
58,0.03065,17.500,6.03548
59,0.02581,17.500,6.03710
59,0.03065,17.500,6.04355
60,0.03548,17.500,6.03710
60,0.02419,17.500,6.04032
61,0.02903,17.500,6.04194
62,0.02903,17.500,6.03387
62,0.02903,17.500,6.04194
63,0.03065,17.500,6.02903
63,0.03548,17.500,6.04355
64,0.02903,17.500,6.03226
65,0.02581,17.500,6.03226
65,0.03226,17.500,6.03387
66,0.02097,17.500,6.03871
66,0.02419,17.500,6.04032
67,0.03387,17.500,6.03387
68,0.03387,17.500,6.03065
68,0.03065,17.500,6.04194
69,0.02258,17.500,6.03871
69,0.02903,17.500,6.03226
70,0.02903,17.500,6.03548
71,0.03387,17.500,6.04032
71,0.02581,17.500,6.04839
72,0.03387,17.500,6.02742
72,0.02742,17.500,6.04032
73,0.02581,17.500,6.04194
73,0.03387,17.500,6.03387
74,0.02581,17.500,6.04194
75,0.03065,17.500,6.03387
75,0.02097,17.500,6.03065
76,0.02742,17.500,6.03065
76,0.02742,17.500,6.03387
77,0.03548,17.500,6.03548
78,0.02258,17.500,6.02581
78,0.03065,17.500,6.03065
79,0.01935,17.500,6.03387
79,0.03548,17.500,6.03387
80,0.02742,17.500,6.04194
81,0.03548,17.500,6.03710
81,0.02419,17.500,6.03387
82,0.03226,17.500,6.03548
82,0.03065,17.500,6.03387
83,0.02258,17.500,6.04032
84,0.03387,17.500,6.03548
84,0.02419,17.500,6.03226
85,0.03387,17.500,6.03548
85,0.06452,17.500,6.03548
86,0.03710,17.500,6.04516
87,0.02097,17.500,6.03387
87,0.02903,17.500,6.03387
88,0.02581,17.500,6.02903
88,0.03871,17.500,6.03387
88,0.03548,17.500,6.02581
89,0.03226,17.500,6.03387
89,0.02419,17.500,6.03387
90,0.02742,17.500,6.03548
90,0.03548,17.500,6.02742
91,0.01452,17.500,6.03226
92,0.03387,17.500,6.03710
92,0.02581,17.500,6.03387
93,0.01935,17.500,6.04516
93,0.03548,17.500,6.03871
94,0.03387,17.500,6.03387
