timestamp,tds_v,tempC,ph_v
20,0.02419,25.000,6.03710
21,0.02581,25.000,6.03710
21,0.01774,25.000,6.04194
22,0.02742,25.000,6.03548
22,0.02742,25.000,6.03871
23,0.02581,25.000,6.04032
24,0.02903,25.000,6.03387
24,0.02581,25.000,6.03871
25,0.02097,25.000,6.04032
25,0.02742,25.000,6.04194
26,0.02419,25.000,6.03710
27,0.02903,25.000,6.03871
27,0.03548,25.000,6.04032
28,0.02581,25.000,6.04677
28,0.03548,25.000,6.04355
29,0.05000,25.000,6.03226
29,0.03387,25.000,6.03548
29,0.03226,25.000,6.03710
30,0.03387,25.000,6.04032
30,0.02742,25.000,6.04194
31,0.03065,25.000,6.04032
32,0.03065,25.000,6.03710
32,0.03548,25.000,6.04032
33,0.03226,25.000,6.04032
33,0.02419,25.000,6.03871
34,0.03065,25.000,6.04032
35,0.02742,25.000,6.03871
35,0.03226,25.000,6.03871
36,0.02903,25.000,6.03710
36,0.03226,25.000,6.04677
37,0.02903,25.000,6.04194
38,0.02419,25.000,6.04032
38,0.03226,25.000,6.03548
39,0.02581,25.000,6.03710
39,0.02581,25.000,6.04516
40,0.03710,25.000,6.04032
40,0.02419,25.000,6.03548
41,0.02903,25.000,6.03710
42,0.02258,25.000,6.04194
42,0.01935,25.000,6.04355
43,0.03387,25.000,6.03548
43,0.02903,25.000,6.04032
44,0.03387,25.000,6.04516
45,0.02742,25.000,6.04194
45,0.01290,25.000,6.04194
46,0.02742,25.000,6.03871
46,0.01613,25.000,6.04194
47,0.03226,25.000,6.04032
48,0.03871,25.000,6.04032
48,0.02419,25.000,6.04194
49,0.02903,25.000,6.03871
49,0.02419,25.000,6.03871
50,0.02258,25.000,6.03871
51,0.03065,25.000,6.04194
51,0.02903,25.000,6.04194
52,0.03387,25.000,6.04032
52,0.03710,25.000,6.04194
53,0.02903,25.000,6.04194
54,0.02903,25.000,6.04032
54,0.03871,25.000,6.04355
55,0.03226,25.000,6.04194
55,0.02581,25.000,6.03871
56,0.03226,25.000,6.04032
56,0.03226,25.000,6.04032
57,0.03065,25.000,6.03710
58,0.03065,25.000,6.03871
58,0.03065,25.000,6.04194
59,0.02742,25.000,6.03871
59,0.01290,25.000,6.04194
60,0.02903,25.000,6.04677
61,0.02581,25.000,6.04032
61,0.03710,25.000,6.03387
62,0.03226,25.000,6.04032
62,0.03065,25.000,6.04194
63,0.02903,25.000,6.03871
64,0.03065,25.000,6.04355
64,0.02581,25.000,6.03871
65,0.03065,25.000,6.04194
65,0.02742,25.000,6.03710
66,0.02097,25.000,6.04194
67,0.02742,25.000,6.03710
67,0.02742,25.000,6.03226
68,0.05161,25.000,6.03548
68,0.02903,25.000,6.04194
69,0.02419,25.000,6.03710
70,0.03065,25.000,6.04032
70,0.04839,25.000,6.04355
70,0.02742,25.000,6.03710
70,0.03871,25.000,6.03548
71,0.03387,25.000,6.04677
71,0.02903,25.000,6.04194
72,0.02742,25.000,6.03871
73,0.03065,25.000,6.03387
73,0.03548,25.000,6.04194
74,0.04194,25.000,6.03871
74,0.02903,25.000,6.04516
75,0.02581,25.000,6.04839
76,0.02581,25.000,6.03871
76,0.03065,25.000,6.03871
77,0.02742,25.000,6.04032
77,0.02419,25.000,6.03871
78,0.03387,25.000,6.04355
78,0.01774,25.000,6.04677
79,0.03387,25.000,6.04032
80,0.03710,25.000,6.04194
80,0.03226,25.000,6.04032
81,0.02742,25.000,6.04194
81,0.02742,25.000,6.05000
82,0.04355,25.000,6.03871
83,0.03387,25.000,6.04194
83,0.02742,25.000,6.03710
84,0.02903,25.000,6.03548
84,0.03871,25.000,6.04516
85,0.02097,25.000,6.03710
86,0.03226,25.000,6.04355
86,0.03065,25.000,6.03065
87,0.02903,25.000,6.03871
87,0.01935,25.000,6.03871
88,0.03548,25.000,6.03548
89,0.02903,25.000,6.03387
89,0.03871,25.000,6.04032
90,0.05161,25.000,6.03871
90,0.03387,25.000,6.04839
91,0.02419,25.000,6.04194
92,0.02419,25.000,6.03871
92,0.03226,25.000,6.04194
93,0.02097,25.000,6.03710
93,0.03065,25.000,6.04355
94,0.02419,17.500,6.03710
