timestamp,tds_v,tempC,ph_v
20,0.03065,17.500,6.04032
21,0.04516,17.500,6.04032
21,0.03548,17.500,6.04032
22,0.02419,17.500,6.03387
22,0.03226,17.500,6.04839
23,0.02581,17.500,6.04194
24,0.01774,17.500,6.04355
24,0.01452,17.500,6.04516
24,0.03387,17.500,6.03871
24,0.03226,17.500,6.04839
25,0.03710,17.500,6.04677
26,0.03065,17.500,6.04032
26,0.02742,17.500,6.04355
27,0.03387,17.500,6.03871
27,0.03065,17.500,6.04194
28,0.03065,17.500,6.03710
28,0.02258,17.500,6.04032
29,0.02903,17.500,6.04677
30,0.03065,17.500,6.04194
30,0.02581,17.500,6.04032
31,0.03226,17.500,6.03710
31,0.03548,17.500,6.03871
32,0.03387,17.500,6.04677
33,0.03226,17.500,6.03871
33,0.02903,17.500,6.04516
34,0.03065,17.500,6.04194
34,0.02097,17.500,6.03871
35,0.03871,17.500,6.04355
36,0.03226,17.500,6.04355
36,0.03065,17.500,6.04355
37,0.02903,17.500,6.04355
37,0.02742,17.500,6.04194
38,0.03387,17.500,6.04839
39,0.02903,17.500,6.03871
39,0.02419,17.500,6.04516
40,0.03226,17.500,6.04516
40,0.04032,17.500,6.04194
41,0.03548,17.500,6.04355
42,0.03226,17.500,6.04677
42,0.04194,17.500,6.04516
43,0.03065,17.500,6.04194
43,0.03548,17.500,6.04032
44,0.02097,17.500,6.04839
45,0.02903,17.500,6.04839
45,0.03065,17.500,6.04355
46,0.02903,17.500,6.04516
46,0.02742,17.500,6.04032
47,0.02581,17.500,6.04355
48,0.03387,17.500,6.03387
48,0.03226,17.500,6.04355
49,0.03710,17.500,6.04355
49,0.03387,17.500,6.04839
50,0.02742,17.500,6.03710
51,0.03226,17.500,6.04355
51,0.02903,17.500,6.04032
52,0.02742,17.500,6.04516
52,0.02903,17.500,6.03871
53,0.03065,17.500,6.04677
54,0.02581,17.500,6.04677
54,0.08387,17.500,6.04355
55,0.03226,17.500,6.03710
55,0.03065,17.500,6.04516
56,0.04839,17.500,6.04355
57,0.03387,17.500,6.03387
57,0.03065,17.500,6.04032
58,0.02581,17.500,6.04677
58,0.03065,17.500,6.04194
59,0.02903,17.500,6.03226
60,0.03065,17.500,6.03548
60,0.02742,17.500,6.04355
61,0.02742,17.500,6.05000
61,0.03226,17.500,6.05000
62,0.03226,17.500,6.03871
63,0.03065,17.500,6.04032
63,0.03226,17.500,6.03548
64,0.03710,17.500,6.05484
64,0.02258,17.500,6.04355
65,0.01613,17.500,6.04677
66,0.02903,17.500,6.04355
66,0.02903,17.500,6.04677
66,0.03710,17.500,6.04032
66,0.02258,17.500,6.03871
67,0.03387,17.500,6.04516
68,0.03226,17.500,6.05161
68,0.02742,17.500,6.04516
69,0.02903,17.500,6.04677
69,0.02419,17.500,6.03710
70,0.03065,17.500,6.03710
71,0.02419,17.500,6.03871
71,0.03065,17.500,6.04355
72,0.03226,17.500,6.04516
72,0.03226,17.500,6.04194
73,0.03065,17.500,6.04355
73,0.04032,17.500,6.04839
74,0.02581,17.500,6.04839
75,0.04032,17.500,6.04516
75,0.02419,17.500,6.04194
76,0.02581,17.500,6.04355
76,0.02903,17.500,6.04516
77,0.03548,17.500,6.05000
78,0.02742,17.500,6.04677
78,0.02903,17.500,6.04677
79,0.03548,17.500,6.04677
79,0.03226,17.500,6.05484
80,0.02742,17.500,6.04355
81,0.03387,17.500,6.05161
81,0.03387,17.500,6.05484
82,0.03065,17.500,6.04516
82,0.02419,17.500,6.04355
83,0.04194,17.500,6.04355
84,0.03548,17.500,6.04839
84,0.03871,17.500,6.04355
85,0.03226,17.500,6.05323
85,0.04194,17.500,6.04677
86,0.02419,17.500,6.04677
86,0.03710,17.500,6.05000
87,0.03226,17.500,6.05161
88,0.03226,17.500,6.04355
88,0.03387,17.500,6.03871
89,0.02419,17.500,6.04516
89,0.02742,17.500,6.04839
90,0.03710,17.500,6.03871
91,0.03226,17.500,6.04677
91,0.02742,17.500,6.05161
92,0.03226,17.500,6.04032
92,0.02903,17.500,6.05323
93,0.03710,17.500,6.04516
94,0.02742,17.500,6.04194
