timestamp,tds_v,tempC,ph_v
20,0.02742,17.500,6.03548
21,0.02419,17.500,6.03065
21,0.03065,17.500,6.04032
22,0.03548,17.500,6.03710
22,0.02903,17.500,6.03226
23,0.02903,17.500,6.02742
24,0.02903,17.500,6.03387
24,0.02581,17.500,6.03548
25,0.03387,17.500,6.03387
25,0.02097,17.500,6.03065
26,0.02742,17.500,6.03387
27,0.02903,17.500,6.03226
27,0.02742,17.500,6.03710
28,0.02742,17.500,6.03226
28,0.02742,17.500,6.03710
29,0.02419,17.500,6.03226
30,0.02742,17.500,6.03548
30,0.02258,17.500,6.03710
31,0.02903,17.500,6.03710
31,0.02581,17.500,6.04032
32,0.02742,17.500,6.03387
33,0.02097,17.500,6.03710
33,0.03226,17.500,6.03871
34,0.03065,17.500,6.03548
34,0.04032,17.500,6.04677
35,0.02742,17.500,6.03548
36,0.03065,17.500,6.03871
36,0.02903,17.500,6.03065
37,0.01774,17.500,6.03387
37,0.01774,17.500,6.04032
38,0.03226,17.500,6.03548
39,0.02097,17.500,6.03548
39,0.03387,17.500,6.03710
40,0.02903,17.500,6.03387
40,0.02903,17.500,6.02903
41,0.02903,17.500,6.03710
41,0.02581,17.500,6.03871
41,0.02581,17.500,6.03065
42,0.03065,17.500,6.03871
42,0.02903,17.500,6.03548
43,0.02419,17.500,6.03387
43,0.03226,17.500,6.03548
44,0.02742,17.500,6.03548
45,0.02581,17.500,6.03871
45,0.03387,17.500,6.03226
46,0.04516,17.500,6.03548
46,0.02097,17.500,6.03871
47,0.02581,17.500,6.03710
48,0.03226,17.500,6.03871
48,0.01774,17.500,6.03871
49,0.03065,17.500,6.03548
49,0.02903,17.500,6.03710
50,0.02097,17.500,6.03710
51,0.02581,17.500,6.02903
51,0.02742,17.500,6.04194
52,0.03065,17.500,6.03548
52,0.03226,17.500,6.03065
53,0.02742,17.500,6.02742
54,0.03548,17.500,6.03387
54,0.02097,17.500,6.03710
55,0.02903,17.500,6.03226
55,0.02258,17.500,6.03871
56,0.02742,17.500,6.04032
57,0.03387,17.500,6.03871
57,0.03065,17.500,6.04032
58,0.02581,17.500,6.03871
58,0.01935,17.500,6.03226
59,0.02903,17.500,6.03065
60,0.03710,17.500,6.03387
60,0.02742,17.500,6.03871
61,0.02581,17.500,6.03548
61,0.01452,17.500,6.03871
62,0.02581,17.500,6.03710
62,0.02419,17.500,6.03387
63,0.03548,17.500,6.04355
64,0.03871,17.500,6.03710
64,0.04677,17.500,6.04194
65,0.02581,17.500,6.03548
65,0.02742,17.500,6.04032
66,0.01613,17.500,6.03387
67,0.03548,17.500,6.04032
67,0.02903,17.500,6.04355
68,0.03387,17.500,6.03548
68,0.03226,17.500,6.03710
69,0.02581,17.500,6.04516
70,0.03710,17.500,6.03548
70,0.02742,17.500,6.03065
71,0.03065,17.500,6.03548
71,0.03548,17.500,6.03548
72,0.02903,17.500,6.03710
73,0.03226,17.500,6.03548
73,0.02742,17.500,6.03871
74,0.03387,17.500,6.03871
74,0.04839,17.500,6.04194
75,0.03387,17.500,6.03710
76,0.02581,17.500,6.03871
76,0.02742,17.500,6.03871
77,0.03065,17.500,6.03548
77,0.03387,17.500,6.03548
78,0.02903,17.500,6.03871
79,0.03065,17.500,6.03387
79,0.02903,17.500,6.04032
80,0.01452,17.500,6.02903
80,0.02903,17.500,6.03871
81,0.02419,17.500,6.03871
82,0.02419,17.500,6.04032
82,0.02581,17.500,6.03710
83,0.03065,17.500,6.03710
83,0.02258,17.500,6.04032
83,0.02097,17.500,6.04355
84,0.02903,17.500,6.02903
84,0.01452,17.500,6.04194
85,0.02581,17.500,6.03871
85,0.03226,17.500,6.03548
86,0.03387,17.500,6.04032
86,0.03387,17.500,6.04032
87,0.02258,17.500,6.03710
88,0.02097,17.500,6.04032
88,0.02419,17.500,6.04516
89,0.02419,17.500,6.03387
89,0.02742,17.500,6.03871
90,0.02419,17.500,6.03710
91,0.03871,17.500,6.03871
91,0.02258,17.500,6.03871
92,0.02903,17.500,6.04194
92,0.03065,17.500,6.03548
93,0.02097,17.500,6.03548
94,0.03548,17.500,6.03065
