timestamp,tds_v,tempC,ph_v
19,0.02903,17.500,6.04839
19,0.03226,17.500,6.04194
20,0.03226,17.500,6.05161
21,0.03387,17.500,6.06452
21,0.03387,17.500,6.04839
22,0.03065,17.500,6.04677
22,0.02742,17.500,6.04355
23,0.02903,17.500,6.04194
24,0.03387,17.500,6.04516
24,0.02258,17.500,6.04355
25,0.03065,17.500,6.04677
25,0.03065,17.500,6.04677
26,0.03387,17.500,6.04355
27,0.02258,17.500,6.04355
27,0.04032,17.500,6.05000
28,0.03710,17.500,6.05000
28,0.02742,17.500,6.04194
29,0.02903,17.500,6.03871
30,0.04355,17.500,6.04516
30,0.03226,17.500,6.04839
31,0.02903,17.500,6.04839
31,0.03065,17.500,6.03871
32,0.02903,17.500,6.04677
33,0.03548,17.500,6.04194
33,0.02903,17.500,6.04677
34,0.02903,17.500,6.04839
34,0.02742,17.500,6.04355
35,0.03065,17.500,6.04839
36,0.02903,17.500,6.04355
36,0.02581,17.500,6.05000
37,0.03871,17.500,6.04194
37,0.04194,17.500,6.04516
38,0.04032,17.500,6.04677
39,0.03226,17.500,6.05161
39,0.03387,17.500,6.05161
40,0.02742,17.500,6.05161
40,0.04355,17.500,6.04032
41,0.02742,17.500,6.04677
41,0.03548,17.500,6.04355
42,0.02903,17.500,6.04194
43,0.02742,17.500,6.04677
43,0.02742,17.500,6.04839
44,0.02903,17.500,6.05000
44,0.03548,17.500,6.04516
45,0.02903,17.500,6.05645
46,0.02581,17.500,6.04194
46,0.02419,17.500,6.04677
47,0.03710,17.500,6.04516
47,0.01935,17.500,6.03710
48,0.03065,17.500,6.04677
49,0.03065,17.500,6.04355
49,0.05645,17.500,6.04516
50,0.03548,17.500,6.05000
50,0.04032,17.500,6.04839
51,0.03226,17.500,6.05161
52,0.03387,17.500,6.04677
52,0.03065,17.500,6.03710
53,0.02581,17.500,6.04355
53,0.01935,17.500,6.04677
54,0.03548,17.500,6.04194
55,0.02419,17.500,6.04355
55,0.02742,17.500,6.04516
56,0.03548,17.500,6.04516
56,0.03548,17.500,6.03710
57,0.03065,17.500,6.04677
58,0.02742,17.500,6.04194
58,0.03387,17.500,6.04839
59,0.03387,17.500,6.04355
59,0.02419,17.500,6.04677
59,0.02581,17.500,6.04516
60,0.02742,17.500,6.04516
60,0.02903,17.500,6.04194
61,0.03871,17.500,6.04677
61,0.03065,17.500,6.04194
62,0.03548,17.500,6.04839
63,0.03710,17.500,6.04516
63,0.02903,17.500,6.03871
64,0.02581,17.500,6.04677
64,0.01452,17.500,6.04516
65,0.03226,17.500,6.04516
66,0.02258,17.500,6.03871
66,0.03065,17.500,6.03548
67,0.02903,17.500,6.03387
67,0.02581,17.500,6.04677
68,0.03548,17.500,6.04355
69,0.03871,17.500,6.04516
69,0.03710,17.500,6.05000
70,0.02742,17.500,6.04194
70,0.01452,17.500,6.04516
71,0.03065,17.500,6.05000
72,0.02419,17.500,6.04355
72,0.03387,17.500,6.05000
73,0.02742,17.500,6.04355
73,0.03226,17.500,6.04677
74,0.02903,17.500,6.04839
75,0.02903,17.500,6.04194
75,0.01613,17.500,6.04032
76,0.03065,17.500,6.04032
76,0.02419,17.500,6.04839
77,0.04516,17.500,6.04677
78,0.03387,17.500,6.03710
78,0.03065,17.500,6.04194
79,0.04032,17.500,6.03387
79,0.01452,17.500,6.03871
80,0.03387,17.500,6.04194
80,0.03226,17.500,6.04677
81,0.03226,17.500,6.04677
82,0.03065,17.500,6.04194
82,0.02903,17.500,6.04194
83,0.03226,17.500,6.04355
83,0.02742,17.500,6.04839
84,0.03065,17.500,6.04677
85,0.01613,17.500,6.04355
85,0.03226,17.500,6.04839
86,0.02742,17.500,6.05000
86,0.03226,17.500,6.04032
87,0.02581,17.500,6.03871
88,0.02419,17.500,6.04677
88,0.03226,17.500,6.04194
89,0.03871,17.500,6.04194
89,0.02581,17.500,6.04516
90,0.02903,17.500,6.04516
91,0.03710,17.500,6.04194
91,0.02742,17.500,6.04032
92,0.02903,17.500,6.04677
92,0.03226,17.500,6.03710
93,0.02258,17.500,6.03871
94,0.02903,17.500,6.04355
